,Ticker,MarketCap
0,BTC,253805595370.0
1,ETH,70407387740.0
2,XRP,49085983044.0
3,BCH,44805680553.0
4,LTC,14066777476.0
5,ADA,10132325093.0
6,MIOTA,9999165626.0
7,DASH,8552479384.0
8,XEM,8041553999.0
9,XMR,5711323445.0
10,EOS,4875339105.0
11,BTG,4710167090.0
12,NEO,4092926500.0
13,XLM,3780781883.0
14,QTUM,3537244326.0
15,ETC,2885523160.0
16,LSK,2583505973.0
17,BCC,2422246174.0
18,TRX,2188527209.0
19,XVG,1837586074.0
20,ICX,1624595625.0
21,ZEC,1530262486.0
22,XRB,1433938140.0
23,OMG,1429391657.0
24,BTS,1410873585.0
25,ARDR,1306131900.0
26,PPT,1302612054.0
27,HSR,1248893437.0
28,USDT,1242853603.0
29,WAVES,1242010000.0
30,STRAT,1220328472.0
31,BCN,1069388829.0
32,NXT,1001037901.0
33,DOGE,917516671.0
34,BNB,891161645.0
35,KMD,870666766.0
36,REP,846352100.0
37,SC,823049972.0
38,SALT,810662142.0
39,STEEM,715651120.0
40,ARK,654276883.0
41,VERI,643653278.0
42,MONA,606187746.0
43,PIVX,600093390.0
44,GNT,598883319.0
45,DGB,578763023.0
46,DCR,565567421.0
47,VET,515483695.0
48,SNT,499246445.0
49,XZC,443176436.0
50,MAID,409963610.0
51,ETN,408496760.0
52,GBYTE,384687840.0
53,SYS,380768477.0
54,WAX,366719232.0
55,BTM,360785019.0
56,PAY,358327880.0
57,FCT,351783097.0
58,BAT,349040000.0
59,BTCD,345703770.0
60,SAN,336990315.0
61,QASH,328968150.0
62,AE,326424398.0
63,RDD,324973907.0
64,DGD,320712000.0
65,ZRX,312436537.0
66,KNC,306769526.0
67,AION,305523999.0
68,POWR,293275105.0
69,CVC,285003028.0
70,VTC,284254159.0
71,GAS,269040563.0
72,GAME,248777197.0
73,WTC,248208443.0
74,ELF,247132750.0
75,DENT,245439810.0
76,NAV,245038329.0
77,SUB,241999243.0
78,SKY,228669166.0
79,CNX,221390895.0
80,FUN,220179578.0
81,ICN,218107318.0
82,GXS,218098953.0
83,GNO,203307522.0
84,ENG,203228100.0
85,KCS,197188377.0
86,MCO,197039230.0
87,BNT,193127633.0
88,REQ,191215959.0
89,RDN,189996766.0
90,DRGN,189213082.0
91,MANA,184428186.0
92,ETHOS,181833945.0
93,EMC2,181740925.0
94,DCN,173118588.0
95,EDG,172181520.0
96,LINK,171362100.0
97,BAY,169285177.0
98,NXS,161471341.0
99,ADX,160116524.0
