日付,始値,高値,安値,終値,出来高,売買代金
2017-12-26,1501.00,1506.50,1497.00,1498.00,3205500,4808347750
2017-12-25,1503.00,1515.00,1497.00,1501.00,2451900,3682216550
2017-12-22,1498.00,1505.50,1493.50,1501.50,3335300,5004555150
2017-12-21,1504.00,1506.00,1487.00,1498.50,4868800,7289338250
2017-12-20,1498.00,1510.00,1496.00,1505.00,3855000,5798115100
2017-12-19,1511.50,1521.00,1503.00,1505.50,4121100,6221105400
2017-12-18,1515.00,1518.00,1504.00,1510.50,4138000,6253138000
2017-12-15,1511.00,1511.50,1490.50,1500.50,4831200,7245153900
2017-12-14,1516.50,1517.00,1504.50,1515.00,3825200,5779359500
2017-12-13,1529.00,1539.50,1518.50,1523.50,5096000,7786879850
2017-12-12,1511.50,1528.50,1510.00,1521.00,5949600,9046408150
2017-12-11,1487.00,1502.50,1483.50,1500.50,5273100,7888513200
2017-12-08,1476.50,1492.00,1475.00,1480.00,7941500,11770792500
2017-12-07,1480.50,1491.00,1474.00,1478.50,4318400,6397692650
2017-12-06,1490.00,1490.00,1467.50,1473.00,7385300,10907175300
2017-12-05,1489.50,1503.00,1488.00,1500.50,3869800,5793733600
2017-12-04,1493.50,1500.00,1486.50,1492.00,4864600,7258685850
2017-12-01,1506.50,1507.00,1487.50,1500.00,5284200,7921658300
2017-11-30,1499.50,1516.00,1496.00,1503.00,7137600,10749626950
2017-11-29,1494.50,1498.00,1483.50,1488.50,4753800,7080307700
2017-11-28,1481.00,1485.00,1463.00,1474.50,8543200,12587707800
2017-11-27,1507.00,1516.00,1492.00,1494.50,4455700,6685680550
2017-11-24,1510.00,1512.50,1495.00,1502.00,6689400,10043335950
2017-11-22,1523.00,1532.00,1509.50,1512.00,5675700,8606817050
2017-11-21,1523.50,1538.00,1514.00,1516.00,5374400,8170254250
2017-11-20,1513.50,1532.50,1513.00,1522.00,4325000,6584707250
2017-11-17,1536.00,1545.00,1518.00,1522.50,6588800,10072820100
2017-11-16,1520.00,1533.50,1512.00,1517.50,7331800,11144391850
2017-11-15,1550.00,1558.00,1526.50,1538.00,5630400,8665727500
2017-11-14,1550.00,1561.00,1533.00,1554.50,6388800,9906651100
2017-11-13,1564.00,1570.50,1550.50,1552.50,5010000,7806595700
2017-11-10,1547.00,1564.00,1545.50,1558.00,5960300,9268671150
2017-11-09,1576.00,1585.00,1547.50,1562.00,11555000,18135825600
2017-11-08,1583.50,1584.50,1564.00,1577.50,6792200,10676154700
2017-11-07,1577.00,1598.00,1574.50,1585.50,6002700,9530933050
2017-11-06,1635.00,1637.00,1573.00,1582.00,18021400,28750304800
2017-11-02,1641.00,1657.00,1634.00,1653.00,6254400,10305433300
2017-11-01,1639.00,1644.00,1629.00,1633.50,4261100,6967069400
2017-10-31,1615.50,1624.00,1603.50,1622.00,6081700,9820671350
2017-10-30,1643.50,1648.50,1634.00,1636.50,4456600,7311206350
2017-10-27,1645.50,1647.50,1628.00,1637.50,5278400,8642445050
2017-10-26,1628.50,1644.50,1621.00,1636.50,4971500,8121975750
2017-10-25,1640.00,1642.50,1618.50,1623.50,5681600,9256488900
2017-10-24,1601.50,1629.00,1598.00,1625.50,6231400,10092063950
2017-10-23,1612.50,1619.50,1607.50,1610.50,5468600,8818746100
2017-10-20,1595.00,1599.50,1583.00,1597.00,5319900,8474360500
2017-10-19,1619.00,1621.50,1599.00,1600.50,7088700,11384022850
2017-10-18,1613.00,1613.50,1598.00,1607.00,7131400,11438318350
2017-10-17,1621.50,1624.50,1613.00,1614.00,4637700,7497844650
2017-10-16,1618.00,1619.50,1594.50,1607.50,9163100,14756731200
2017-10-13,1617.50,1630.00,1601.50,1620.50,11544600,18662639150
2017-10-12,1679.00,1682.00,1651.50,1657.50,6387700,10619527300
2017-10-11,1698.00,1700.00,1665.50,1673.00,8445600,14140660750
2017-10-10,1714.50,1724.00,1694.50,1707.00,5387200,9192479650
2017-10-06,1719.50,1738.50,1717.00,1730.00,3992300,6901765900
2017-10-05,1740.00,1742.50,1708.00,1712.50,4881000,8378033200
2017-10-04,1755.00,1783.50,1729.50,1734.00,6164900,10792389350
2017-10-03,1725.00,1746.50,1723.00,1743.50,5089100,8846189200
2017-10-02,1719.50,1723.00,1700.50,1718.00,4187000,7172040150
2017-09-29,1725.00,1734.50,1714.50,1725.00,6436000,11085768100
2017-09-28,1699.50,1758.50,1692.00,1740.00,13212500,22879041900
2017-09-27,1686.50,1695.00,1676.00,1688.00,3529800,5956660000
2017-09-26,1679.00,1696.00,1678.00,1693.00,4303000,7277403700
2017-09-25,1698.00,1698.00,1682.00,1686.00,3062000,5169931850
2017-09-22,1695.00,1695.50,1668.00,1682.50,4989100,8384286750
2017-09-21,1675.00,1693.00,1675.00,1685.50,5553500,9365846500
2017-09-20,1656.00,1674.50,1654.00,1660.50,4298900,7148264950
2017-09-19,1657.00,1662.50,1643.50,1659.00,6874600,11371139650
2017-09-15,1591.00,1624.50,1585.50,1623.50,5112000,8252252150
2017-09-14,1613.00,1613.00,1591.00,1596.50,3980900,6370927700
2017-09-13,1608.00,1616.00,1600.50,1608.00,3883500,6252174500
2017-09-12,1587.50,1595.00,1585.00,1590.00,3595800,5719004150
2017-09-11,1557.50,1579.50,1555.50,1569.50,4120900,6473402000
2017-09-08,1554.00,1569.00,1540.50,1543.00,5454100,8464613800
2017-09-07,1561.00,1575.00,1555.00,1559.00,4256700,6656405750
2017-09-06,1550.00,1556.00,1543.00,1554.00,4778500,7405130650
2017-09-05,1595.00,1595.00,1562.50,1569.50,5022600,7897462400
2017-09-04,1600.50,1601.50,1577.00,1584.50,6381500,10120193750
2017-09-01,1625.00,1632.00,1610.00,1619.00,3030300,4906361950
2017-08-31,1613.00,1624.50,1608.50,1619.00,4626100,7488543950
2017-08-30,1601.50,1606.50,1594.50,1594.50,3826000,6122172300
2017-08-29,1585.00,1595.00,1581.50,1588.00,2789500,4429571400
2017-08-28,1605.00,1607.00,1588.50,1597.00,3848200,6140400050
2017-08-25,1605.50,1629.50,1596.50,1607.00,4858800,7842626850
2017-08-24,1585.00,1599.50,1582.00,1592.00,3254300,5184137500
2017-08-23,1615.50,1619.50,1590.00,1592.50,3794200,6084839600
2017-08-22,1588.00,1599.00,1581.50,1598.00,4145100,6602744050
2017-08-21,1605.50,1607.00,1590.50,1593.50,4158700,6636591000
2017-08-18,1608.50,1616.00,1598.50,1615.50,5158500,8291110000
2017-08-17,1624.50,1631.50,1612.50,1630.00,5490800,8916182800
2017-08-16,1648.50,1653.00,1637.50,1645.50,3653700,6013551900
2017-08-15,1649.00,1676.50,1646.50,1650.50,6545900,10874326600
2017-08-14,1650.50,1652.00,1622.50,1630.50,5844400,9555447100
2017-08-10,1669.00,1675.00,1659.50,1664.00,3962300,6597347350
2017-08-09,1695.00,1696.00,1653.00,1669.00,6666200,11132190000
2017-08-08,1705.00,1710.00,1680.50,1689.00,5190700,8778275950
2017-08-07,1707.00,1729.00,1702.50,1711.50,7189900,12326909650
2017-08-04,1700.00,1738.50,1681.00,1688.50,18162800,31047521350
2017-08-03,1652.00,1672.50,1625.50,1642.50,7491900,12337462000
2017-08-02,1660.50,1660.50,1637.50,1639.50,6396500,10535829950
2017-08-01,1666.00,1667.50,1652.50,1665.50,3972000,6597860150
2017-07-31,1665.00,1676.00,1657.00,1664.50,4912000,8188953850
2017-07-28,1661.50,1676.00,1656.00,1661.00,4623900,7687910750
2017-07-27,1665.00,1671.50,1654.00,1663.00,5404100,8992001900
2017-07-26,1650.00,1681.50,1636.50,1672.00,15624900,26051200700
2017-07-25,1592.00,1611.00,1587.50,1588.00,3286900,5250386000
2017-07-24,1582.50,1589.50,1568.00,1585.50,3512700,5550934750
2017-07-21,1601.00,1613.50,1593.00,1597.50,3584600,5734730150
2017-07-20,1594.50,1620.00,1591.00,1606.50,5687600,9157784250
2017-07-19,1592.00,1593.00,1575.50,1588.00,3985400,6314928400
2017-07-18,1595.50,1603.00,1585.50,1600.00,4517500,7205388650
2017-07-14,1591.00,1616.00,1591.00,1608.00,5354400,8603517850
2017-07-13,1610.00,1612.50,1579.00,1584.50,5667000,9015065800
2017-07-12,1609.50,1612.50,1591.00,1609.50,6250700,10010191750
2017-07-11,1619.00,1628.00,1617.50,1623.50,2928000,4753431900
2017-07-10,1640.00,1645.50,1614.00,1620.00,5158400,8396736200
2017-07-07,1598.00,1631.50,1594.00,1629.00,8185600,13258759350
2017-07-06,1603.00,1609.50,1591.00,1608.50,4810400,7712232650
