日付,始値,高値,安値,終値
2017-02-07,18844.12,18970.58,18805.32,18910.78
2017-02-06,19069.72,19075.57,18899.40,18976.71
2017-02-03,18996.74,19061.26,18830.89,18918.20
2017-02-02,19152.79,19170.63,18866.80,18914.58
2017-02-01,18926.97,19155.79,18916.18,19148.08
2017-01-31,19145.35,19199.75,19041.34,19041.34
2017-01-30,19371.28,19390.97,19295.80,19368.85
2017-01-27,19453.51,19486.68,19404.13,19467.40
2017-01-26,19260.67,19405.23,19232.46,19402.39
2017-01-25,19091.23,19133.18,18987.45,19057.50
2017-01-24,18817.42,18915.70,18783.16,18787.99
2017-01-23,18938.45,19024.21,18879.68,18891.03
2017-01-20,19059.15,19176.86,19040.20,19137.91
2017-01-19,19082.83,19122.39,18982.13,19072.25
2017-01-18,18753.96,18941.24,18650.33,18894.37
2017-01-17,19038.45,19043.91,18812.86,18813.53
2017-01-16,19219.13,19255.41,19061.27,19095.24
2017-01-13,19174.97,19299.36,19156.93,19287.28
2017-01-12,19300.19,19300.19,19069.02,19134.70
2017-01-11,19358.64,19402.17,19325.46,19364.67
2017-01-10,19414.83,19484.90,19255.35,19301.44
2017-01-06,19393.55,19472.37,19354.44,19454.33
2017-01-05,19602.10,19615.40,19473.28,19520.69
2017-01-04,19298.68,19594.16,19277.93,19594.16
