日付,始値,高値,安値,終値,出来高,売買代金
2009-12-30,556.00,559.00,547.00,549.00,265900,146536100
2009-12-29,560.00,563.00,551.00,552.00,306200,169794700
2009-12-28,549.00,564.00,549.00,559.00,397600,221441000
2009-12-25,557.00,558.00,545.00,548.00,320700,175984700
2009-12-24,553.00,555.00,541.00,552.00,389300,214089200
2009-12-22,548.00,552.00,541.00,545.00,347100,190228600
2009-12-21,535.00,555.00,535.00,539.00,506500,276136100
2009-12-18,524.00,529.00,516.00,529.00,242900,127337300
2009-12-17,527.00,531.00,520.00,523.00,213600,112134800
2009-12-16,528.00,531.00,522.00,526.00,249800,131094300
2009-12-15,516.00,527.00,513.00,521.00,332500,173400700
2009-12-14,520.00,521.00,507.00,512.00,383800,196544700
2009-12-11,528.00,534.00,519.00,524.00,391200,204564500
2009-12-10,533.00,543.00,525.00,527.00,339300,180296100
2009-12-09,545.00,550.00,533.00,534.00,438200,236572800
2009-12-08,552.00,577.00,552.00,555.00,983300,553517200
2009-12-07,530.00,554.00,526.00,553.00,817000,443383200
2009-12-04,537.00,538.00,519.00,522.00,523800,275900800
2009-12-03,530.00,537.00,527.00,534.00,380100,202600400
2009-12-02,536.00,548.00,522.00,523.00,514000,273806700
2009-12-01,510.00,538.00,508.00,536.00,718100,378766800
2009-11-30,509.00,514.00,504.00,510.00,352300,178951600
2009-11-27,510.00,515.00,500.00,500.00,441400,223763200
2009-11-26,512.00,526.00,506.00,523.00,442700,229667100
2009-11-25,520.00,523.00,512.00,515.00,520600,269157400
2009-11-24,551.00,557.00,515.00,516.00,825900,436649300
2009-11-20,535.00,553.00,526.00,549.00,852100,463821200
2009-11-19,547.00,550.00,528.00,538.00,869500,467712200
2009-11-18,579.00,582.00,553.00,557.00,562100,317474300
2009-11-17,590.00,596.00,580.00,584.00,325700,190715100
2009-11-16,618.00,618.00,591.00,592.00,396300,237293500
2009-11-13,612.00,617.00,606.00,609.00,430300,262962100
2009-11-12,636.00,645.00,621.00,622.00,469800,296669600
2009-11-11,647.00,647.00,633.00,635.00,355500,226819900
2009-11-10,655.00,661.00,644.00,646.00,435600,283623500
2009-11-09,643.00,673.00,632.00,665.00,539200,352639200
2009-11-06,655.00,659.00,646.00,647.00,333200,216888200
2009-11-05,660.00,663.00,647.00,657.00,466400,305371400
2009-11-04,664.00,667.00,657.00,663.00,383600,253810800
2009-11-02,655.00,668.00,655.00,663.00,352800,233375300
2009-10-30,676.00,690.00,668.00,670.00,351200,236868700
2009-10-29,650.00,679.00,646.00,671.00,645500,430458900
2009-10-28,672.00,672.00,658.00,660.00,477400,316576800
2009-10-27,692.00,692.00,670.00,675.00,500700,338391100
2009-10-26,700.00,704.00,690.00,698.00,329000,229175500
2009-10-23,713.00,718.00,705.00,708.00,391100,278017700
2009-10-22,715.00,722.00,703.00,706.00,612900,434486900
2009-10-21,738.00,739.00,725.00,731.00,368000,268541400
2009-10-20,757.00,758.00,737.00,745.00,293300,218498800
2009-10-19,710.00,755.00,702.00,755.00,645000,472302300
2009-10-16,741.00,743.00,719.00,724.00,375300,272569900
2009-10-15,740.00,753.00,738.00,748.00,436100,324507500
2009-10-14,741.00,742.00,731.00,736.00,359100,264094100
2009-10-13,774.00,774.00,751.00,751.00,312100,236375000
2009-10-09,776.00,785.00,774.00,778.00,219600,171052400
2009-10-08,778.00,786.00,772.00,781.00,229700,179294800
2009-10-07,765.00,780.00,755.00,777.00,470300,363020700
2009-10-06,721.00,764.00,712.00,764.00,774200,576904100
2009-10-05,748.00,748.00,723.00,728.00,294500,214910600
2009-10-02,743.00,750.00,732.00,738.00,363700,269029400
2009-10-01,769.00,772.00,749.00,756.00,346200,263234600
2009-09-30,742.00,763.00,740.00,761.00,322700,243278000
2009-09-29,747.00,750.00,738.00,745.00,273300,203248600
2009-09-28,752.00,765.00,731.00,754.00,512200,383373100
2009-09-25,785.00,789.00,767.00,773.00,288200,224032200
2009-09-24,780.00,797.00,762.00,785.00,646200,500461100
2009-09-18,770.00,772.00,747.00,772.00,653500,495357200
2009-09-17,786.00,793.00,777.00,784.00,372500,291474900
2009-09-16,804.00,807.00,780.00,784.00,528200,418316500
2009-09-15,812.00,814.00,794.00,807.00,479800,385541000
2009-09-14,811.00,816.00,791.00,802.00,994600,796949900
2009-09-11,855.00,856.00,830.00,836.00,563000,473930800
2009-09-10,850.00,867.00,832.00,864.00,1043000,890751000
2009-09-09,844.00,849.00,835.00,843.00,392200,330179600
2009-09-08,813.00,839.00,813.00,839.00,599100,496415900
2009-09-07,806.00,826.00,806.00,823.00,377400,308191200
2009-09-04,829.00,829.00,808.00,810.00,285700,233000000
2009-09-03,835.00,837.00,820.00,824.00,399900,330376700
2009-09-02,833.00,840.00,815.00,835.00,473300,393104700
2009-09-01,854.00,857.00,832.00,836.00,772700,651714400
2009-08-31,844.00,847.00,817.00,844.00,1173100,980146200
2009-08-28,805.00,807.00,790.00,802.00,295900,236212600
2009-08-27,813.00,815.00,802.00,810.00,226300,182784500
2009-08-26,805.00,815.00,802.00,814.00,167500,135728700
2009-08-25,818.00,818.00,809.00,810.00,257700,209483200
2009-08-24,825.00,832.00,816.00,823.00,401900,330241000
2009-08-21,812.00,831.00,804.00,821.00,629900,515171800
2009-08-20,800.00,803.00,777.00,800.00,515500,407644600
2009-08-19,816.00,816.00,802.00,806.00,261500,210796300
2009-08-18,812.00,821.00,800.00,810.00,358400,289883800
2009-08-17,827.00,828.00,812.00,817.00,374100,305551000
2009-08-14,829.00,850.00,827.00,830.00,391800,325336500
2009-08-13,850.00,850.00,833.00,836.00,429100,359444500
2009-08-12,851.00,851.00,832.00,842.00,444600,373040000
2009-08-11,842.00,860.00,835.00,856.00,281600,239262800
2009-08-10,840.00,851.00,838.00,849.00,234400,198007900
2009-08-07,845.00,865.00,829.00,850.00,510100,429115400
2009-08-06,843.00,850.00,826.00,842.00,542000,453690700
2009-08-05,867.00,870.00,848.00,853.00,504900,431541400
2009-08-04,869.00,881.00,865.00,875.00,260600,227471300
2009-08-03,886.00,886.00,858.00,869.00,476100,413323100
2009-07-31,883.00,887.00,870.00,878.00,250200,219297800
2009-07-30,881.00,890.00,873.00,877.00,180300,158299500
2009-07-29,871.00,906.00,870.00,885.00,337600,299524400
2009-07-28,883.00,889.00,874.00,881.00,357600,314726700
2009-07-27,897.00,900.00,890.00,897.00,253600,227030300
2009-07-24,926.00,926.00,898.00,904.00,326400,295942500
2009-07-23,934.00,934.00,910.00,919.00,313000,288109600
2009-07-22,931.00,938.00,917.00,926.00,458100,424113700
2009-07-21,905.00,926.00,903.00,926.00,560900,514264500
2009-07-17,888.00,899.00,878.00,895.00,366500,324946000
2009-07-16,898.00,907.00,887.00,890.00,334800,299140600
2009-07-15,879.00,911.00,879.00,897.00,479700,430825800
2009-07-14,876.00,903.00,863.00,888.00,735900,648160300
2009-07-13,902.00,905.00,866.00,876.00,713800,627760400
2009-07-10,910.00,929.00,910.00,912.00,394700,361691000
2009-07-09,913.00,943.00,910.00,920.00,399500,370473100
2009-07-08,937.00,938.00,906.00,915.00,737000,676308100
2009-07-07,940.00,951.00,932.00,938.00,541200,509421600
2009-07-06,937.00,937.00,915.00,925.00,357800,331075200
2009-07-03,947.00,952.00,928.00,936.00,443100,414641400
2009-07-02,960.00,970.00,950.00,957.00,309600,296511200
2009-07-01,967.00,973.00,951.00,959.00,438600,422360000
2009-06-30,964.00,971.00,942.00,961.00,462500,443505800
2009-06-29,949.00,981.00,943.00,948.00,664800,638564000
2009-06-26,944.00,944.00,920.00,929.00,255100,237411500
2009-06-25,923.00,945.00,921.00,929.00,428200,399338500
2009-06-24,941.00,947.00,918.00,933.00,351200,326928300
2009-06-23,955.00,964.00,935.00,947.00,539500,510447100
2009-06-22,959.00,1001.00,954.00,987.00,812700,798531500
2009-06-19,954.00,957.00,931.00,942.00,413700,389932500
2009-06-18,964.00,996.00,948.00,964.00,594500,575052400
2009-06-17,920.00,970.00,912.00,964.00,1281200,1219954600
2009-06-16,927.00,953.00,904.00,910.00,564900,520672100
2009-06-15,913.00,955.00,910.00,926.00,850100,794659400
2009-06-12,903.00,911.00,891.00,906.00,518700,468869400
2009-06-11,909.00,914.00,887.00,891.00,415400,373543700
2009-06-10,876.00,908.00,873.00,900.00,661900,591243800
2009-06-09,891.00,896.00,852.00,858.00,757800,657089700
2009-06-08,895.00,912.00,891.00,895.00,651700,585671400
2009-06-05,895.00,900.00,887.00,895.00,390600,349327400
2009-06-04,905.00,905.00,885.00,892.00,542900,485742800
2009-06-03,893.00,914.00,883.00,909.00,662400,596927000
2009-06-02,923.00,923.00,883.00,892.00,731900,662496000
2009-06-01,888.00,915.00,875.00,911.00,928100,837087000
2009-05-29,890.00,895.00,871.00,884.00,797600,706346100
2009-05-28,850.00,887.00,847.00,882.00,670700,587735600
2009-05-27,879.00,879.00,858.00,870.00,823100,715671400
2009-05-26,842.00,861.00,830.00,860.00,575000,489162800
2009-05-25,834.00,863.00,824.00,841.00,546800,460411400
2009-05-22,847.00,855.00,834.00,844.00,596400,503181800
2009-05-21,862.00,873.00,832.00,837.00,1093500,925285500
2009-05-20,836.00,886.00,833.00,881.00,1919200,1666800300
2009-05-19,815.00,845.00,783.00,835.00,1660300,1348044400
2009-05-18,830.00,830.00,791.00,809.00,947300,767818800
2009-05-15,861.00,882.00,823.00,840.00,1299900,1097615200
2009-05-14,847.00,917.00,833.00,881.00,1888000,1663976400
2009-05-13,860.00,870.00,810.00,851.00,1876000,1582392900
2009-05-12,840.00,870.00,831.00,870.00,1846000,1591514600
2009-05-11,750.00,777.00,745.00,770.00,509900,388425300
2009-05-08,743.00,775.00,733.00,763.00,445400,335495300
