date,timestamp,open,high,low,close,volume
2010-07-17,1279324800,0.04951,0.04951,0.04951,0.04951,0.9902
2010-07-18,1279411200,0.04951,0.08585,0.05941,0.08584,5.09
2010-07-19,1279497600,0.08584,0.09307,0.07723,0.0808,49.66
2010-07-20,1279584000,0.0808,0.08181,0.07426,0.07474,20.59
2010-07-21,1279670400,0.07474,0.07921,0.06634,0.07921,42.26
2010-07-22,1279756800,0.07921,0.08181,0.0505,0.0505,129.78
2010-07-23,1279843200,0.0505,0.06767,0.0505,0.06262,141.07
2010-07-24,1279929600,0.06262,0.06161,0.05049,0.05454,26.73
2010-07-25,1280016000,0.05454,0.05941,0.0505,0.0505,85.06
2010-07-26,1280102400,0.0505,0.056,0.05,0.056,46.91
2010-07-27,1280188800,0.056,0.0605,0.053,0.06,196.92
2010-07-28,1280275200,0.06,0.062,0.054,0.0589,255.76
2010-07-29,1280361600,0.0589,0.0699,0.0571,0.0699,528.32
2010-07-30,1280448000,0.0699,0.0698,0.0582,0.0627,198.53
2010-07-31,1280534400,0.0627,0.06889,0.056,0.06785,243.9
2010-08-01,1280620800,0.06785,0.065,0.06,0.0611,162.65
2010-08-02,1280707200,0.0611,0.0633,0.06,0.06,221.2
2010-08-03,1280793600,0.06,0.065,0.059,0.06,606.05
2010-08-04,1280880000,0.06,0.06231,0.057,0.057,210.77
2010-08-05,1280966400,0.057,0.061,0.058,0.061,303.61
2010-08-06,1281052800,0.061,0.0624,0.0607,0.0623,85.91
2010-08-07,1281139200,0.0623,0.0622,0.059,0.059,157.34
2010-08-08,1281225600,0.059,0.061,0.059,0.0609,132.6
2010-08-09,1281312000,0.0609,0.0735,0.0593,0.071,886.93
2010-08-10,1281398400,0.071,0.0709,0.06651,0.07,88.87
2010-08-11,1281484800,0.07,0.07541,0.06,0.067,1015.64
2010-08-12,1281571200,0.067,0.07,0.06141,0.07,134.49
2010-08-13,1281657600,0.07,0.068,0.0645,0.0645,233.8
2010-08-14,1281744000,0.0645,0.0695,0.0645,0.067,295.31
2010-08-15,1281830400,0.067,0.067,0.065,0.06529,294.95
2010-08-16,1281916800,0.06529,0.0679,0.062,0.0655,696.8
2010-08-17,1282003200,0.0655,0.0769,0.06243,0.07,915
2010-08-18,1282089600,0.07,0.0733,0.067,0.068,203.83
2010-08-19,1282176000,0.068,0.0679,0.0667,0.0667,50.04
2010-08-20,1282262400,0.0667,0.0667,0.065,0.0655,276.41
2010-08-21,1282348800,0.0655,0.0669,0.0644,0.0664,688.51
2010-08-22,1282435200,0.0664,0.0664,0.0612,0.066,1183.64
2010-08-23,1282521600,0.066,0.06689,0.063,0.06491,281.88
2010-08-24,1282608000,0.06491,0.0665,0.06491,0.065,444.66
2010-08-25,1282694400,0.065,0.0665,0.0641,0.0648,278.86
2010-08-26,1282780800,0.0648,0.0658,0.064,0.064,251.56
2010-08-27,1282867200,0.064,0.065,0.063,0.065,583.71
2010-08-28,1282953600,0.065,0.065,0.0641,0.0641,399.45
2010-08-29,1283040000,0.0641,0.0648,0.064,0.064,204.88
2010-08-30,1283126400,0.064,0.069,0.03211,0.06497,2135
2010-08-31,1283212800,0.06497,0.0649,0.06,0.06,933.23
2010-09-01,1283299200,0.06,0.0629,0.05961,0.0629,436.73
2010-09-02,1283385600,0.0629,0.0634,0.0601,0.0634,498.98
2010-09-03,1283472000,0.0634,0.063,0.06085,0.06085,54.61
2010-09-04,1283558400,0.06085,0.06238,0.0612,0.06238,202.27
2010-09-05,1283644800,0.06238,0.064,0.0605,0.0616,527.97
2010-09-06,1283731200,0.0616,0.0627,0.0616,0.0616,56.13
2010-09-07,1283817600,0.0616,0.06201,0.0603,0.061,212.35
2010-09-08,1283904000,0.061,0.062,0.06099,0.062,143.36
2010-09-09,1283990400,0.062,0.0624,0.06109,0.06111,107.68
2010-09-10,1284076800,0.06111,0.0618,0.06014,0.0618,301.8
2010-09-11,1284163200,0.0618,0.065,0.0619,0.06366,491.19
2010-09-12,1284249600,0.06366,0.0621,0.0615,0.0615,48.99
2010-09-13,1284336000,0.0615,0.064,0.0607,0.06219,632.2
2010-09-14,1284422400,0.06219,0.175,0.061,0.06199,876.76
2010-09-15,1284508800,0.06199,0.0625,0.0604,0.0604,223.27
2010-09-16,1284595200,0.0604,0.0619,0.0618,0.0619,45.17
2010-09-17,1284681600,0.0619,0.0609,0.059,0.059,438.94
2010-09-18,1284768000,0.059,0.061,0.05761,0.061,427.76
2010-09-19,1284854400,0.061,0.0627,0.06,0.0627,797.36
2010-09-20,1284940800,0.0627,0.0634,0.062,0.0621,891.19
2010-09-21,1285027200,0.0621,0.0633,0.0623,0.06265,359.82
2010-09-22,1285113600,0.06265,0.0624,0.06147,0.0622,717.33
2010-09-23,1285200000,0.0622,0.063,0.0615,0.06231,970.09
2010-09-24,1285286400,0.06231,0.0624,0.06209,0.0622,42.66
2010-09-25,1285372800,0.0622,0.0624,0.0617,0.06202,133.05
2010-09-26,1285459200,0.06202,0.06228,0.06186,0.062,748.2
2010-09-27,1285545600,0.062,0.06228,0.0619,0.0622,668.53
2010-09-28,1285632000,0.0622,0.06271,0.0617,0.0619,439.05
2010-09-29,1285718400,0.0619,0.062,0.0615,0.06191,1450.79
2010-09-30,1285804800,0.06191,0.0619,0.06155,0.0619,488.15
2010-10-01,1285891200,0.0619,0.062,0.06189,0.06197,106.46
2010-10-02,1285977600,0.06197,0.06191,0.06125,0.0614,802.52
2010-10-03,1286064000,0.0614,0.0614,0.061,0.06111,439.88
2010-10-04,1286150400,0.06111,0.062,0.06081,0.0613,2079.89
2010-10-05,1286236800,0.0613,0.06301,0.0609,0.0614,1699.2
2010-10-06,1286323200,0.0614,0.0635,0.0612,0.06281,2091.28
2010-10-07,1286409600,0.06281,0.067,0.0628,0.067,2812.79
2010-10-08,1286496000,0.067,0.088,0.01,0.08685,10784.23
2010-10-09,1286582400,0.08685,0.12,0.068,0.0938,16104.87
2010-10-10,1286668800,0.0938,0.1301,0.07999,0.0965,4889.35
2010-10-11,1286755200,0.0965,0.103,0.091,0.095,1395.23
2010-10-12,1286841600,0.095,0.099,0.082,0.0949,2396.82
2010-10-13,1286928000,0.0949,0.105,0.092,0.105,4558.52
2010-10-14,1287014400,0.105,0.1045,0.065,0.102,3701.65
2010-10-15,1287100800,0.102,0.119,0.092,0.105,2554.91
2010-10-16,1287187200,0.105,0.103,0.1,0.101,633.63
2010-10-17,1287273600,0.101,0.1045,0.1,0.102,1857.8
2010-10-18,1287360000,0.102,0.103,0.097,0.1024,2591.64
2010-10-19,1287446400,0.1024,0.1019,0.097,0.097,623.34
2010-10-20,1287532800,0.097,0.103,0.094,0.099,3221.08
2010-10-21,1287619200,0.099,0.109,0.097,0.107,4616.85
2010-10-22,1287705600,0.107,0.109,0.1015,0.1025,3665.43
2010-10-23,1287792000,0.1025,0.109,0.1045,0.1055,481.52
2010-10-24,1287878400,0.1055,0.19,0.108,0.115,1560.61
2010-10-25,1287964800,0.115,0.19,0.09009,0.132,4450
2010-10-26,1288051200,0.132,0.18,0.133,0.1503,2995.09
