,Ticker,MarketCap
0,BTC,137161557151.0
1,ETH,45956200043.0
2,XRP,17366091233.0
3,BCH,13825509422.0
4,EOS,7098068552.0
5,XLM,5311162213.0
6,LTC,4808890749.0
7,ADA,4238790835.0
8,MIOTA,2620366040.0
9,USDT,2589440470.0
10,XMR,2229351052.0
11,TRX,2212680374.0
12,NEO,2079161500.0
13,DASH,1977465348.0
14,ETC,1668175334.0
15,XEM,1559295000.0
16,XTZ,1350114019.0
17,BNB,1129168151.0
18,VEN,1040393891.0
19,OMG,953124556.0
20,ZEC,877396017.0
21,QTUM,686818394.0
22,ZRX,598920856.0
23,BTG,567599972.0
24,BCN,544393059.0
25,BTS,534306185.0
26,LSK,530960454.0
27,DCR,522285418.0
28,ZIL,506925209.0
29,ICX,487760560.0
30,DGB,480599723.0
31,ONT,468364263.0
32,AE,439581470.0
33,MKR,407911624.0
34,DOGE,406199608.0
35,SC,359007904.0
36,STEEM,351886612.0
37,BTM,348963983.0
38,XVG,342811767.0
39,BAT,341802000.0
40,REP,337808900.0
41,BCD,334041424.0
42,MITH,326954055.0
43,NANO,289339333.0
44,GNT,275932676.0
45,RHOC,261461523.0
46,WAVES,256459000.0
47,STRAT,247687036.0
48,KCS,246671032.0
49,HSR,242093510.0
50,SNT,234288543.0
51,NPXS,231417820.0
52,WTC,221609881.0
53,PPT,219144878.0
54,XIN,212425278.0
55,WAN,207174635.0
56,GXS,204260400.0
57,MAID,199881992.0
58,DGD,191398600.0
59,IOST,187950000.0
60,ARDR,168867878.0
61,MOAC,168332417.0
62,BTCP,167698398.0
63,HT,166911168.0
64,KMD,154429475.0
65,NAS,152065095.0
66,AION,150838223.0
67,KIN,147804976.0
68,LRC,147731257.0
69,ELF,145842500.0
70,MANA,136243259.0
71,CNX,133966068.0
72,MONA,132704141.0
73,EMC,128792285.0
74,RDD,128735192.0
75,ARK,122620860.0
76,FUN,122050232.0
77,KNC,121235167.0
78,DROP,121011205.0
79,WAX,118820438.0
80,DCN,117165814.0
81,POWR,114848910.0
82,MCO,114780088.0
83,BNT,112663863.0
84,ZEN,108553388.0
85,HOT,107828406.0
86,LOOM,106150328.0
87,NXT,103407483.0
88,PAYX,103384236.0
89,PIVX,102897693.0
90,GAS,102188215.0
91,NULS,98346800.0
92,PAY,97547372.0
93,ETN,97462977.0
94,POLY,97395519.0
95,SMART,96370391.0
96,CMT,95727419.0
97,VERI,93432739.0
98,GBYTE,92347435.0
99,ETP,92095254.0
