Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,900.5,917.0,900.5,917.0,653.15,246000
2000-01-05,902.0,910.0,882.5,890.0,633.92,642000
2000-01-06,892.0,892.5,876.5,876.5,624.3,610000
2000-01-07,876.5,907.5,869.0,881.5,627.86,1040000
2000-01-10,881.5,881.5,881.5,881.5,627.86,0
2000-01-11,890.5,945.0,880.0,907.5,646.38,1170000
2000-01-12,892.5,893.5,875.0,882.5,628.58,964000
2000-01-13,882.5,883.0,855.0,865.0,616.11,1104000
2000-01-14,895.0,947.5,885.0,942.0,670.96,1764000
2000-01-17,950.0,975.0,947.5,975.0,694.46,864000
2000-01-18,987.5,987.5,952.5,962.5,685.56,518000
2000-01-19,947.5,947.5,925.5,925.5,659.2,1012000
2000-01-20,925.0,927.0,905.5,905.5,644.96,608000
2000-01-21,937.5,940.0,920.0,940.0,669.53,362000
2000-01-24,955.0,990.0,950.5,967.5,689.12,852000
2000-01-25,980.0,1000.0,962.5,995.0,708.71,852000
2000-01-26,980.0,985.0,942.5,955.0,680.22,508000
2000-01-27,965.0,965.0,930.0,964.5,686.98,362000
2000-01-28,964.5,965.0,950.0,950.0,676.66,538000
2000-01-31,954.5,974.0,951.0,967.5,689.12,514000
2000-02-01,970.0,970.0,951.0,954.5,679.86,388000
2000-02-02,958.0,990.0,957.5,975.0,694.46,930000
2000-02-03,960.0,960.0,950.0,957.5,682.0,676000
2000-02-04,959.0,959.0,915.0,932.5,664.19,762000
2000-02-07,945.0,945.0,880.5,888.0,632.49,984000
2000-02-08,885.0,889.5,872.5,884.5,630.0,1272000
2000-02-09,863.0,872.0,855.0,857.5,610.77,1048000
2000-02-10,852.5,857.5,832.5,835.0,594.74,882000
2000-02-11,835.0,835.0,835.0,835.0,594.74,0
2000-02-14,835.0,835.0,775.0,782.5,557.35,2570000
2000-02-15,782.5,810.0,780.0,785.0,575.31,2060000
2000-02-16,795.0,795.0,779.0,781.0,572.37,708000
2000-02-17,796.0,800.0,782.5,792.5,580.8,1870000
2000-02-18,807.5,927.5,807.5,887.5,650.42,2988000
2000-02-21,885.0,885.0,827.0,827.0,606.09,680000
2000-02-22,827.5,827.5,790.0,794.0,581.9,826000
2000-02-23,790.0,818.5,790.0,818.5,599.86,996000
2000-02-24,820.0,855.0,800.0,805.0,589.96,586000
2000-02-25,805.5,820.0,805.5,811.0,594.36,406000
2000-02-28,811.0,811.0,770.0,770.0,564.31,1402000
2000-02-29,770.0,787.5,765.0,773.5,566.88,888000
2000-03-01,767.5,773.0,745.0,764.5,560.28,1042000
2000-03-02,760.0,760.0,740.0,745.0,545.99,996000
