Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1118.0,1130.0,1102.0,1108.0,853.16,286000
2000-01-05,1108.0,1137.0,1091.0,1099.0,846.23,996000
2000-01-06,1068.0,1077.0,1050.0,1053.0,810.81,1473000
2000-01-07,1080.0,1095.0,1061.0,1095.0,843.15,1854000
2000-01-10,1095.0,1095.0,1095.0,1095.0,843.15,0
2000-01-11,1080.0,1085.0,1050.0,1060.0,816.2,2415000
2000-01-12,1060.0,1089.0,1060.0,1067.0,821.59,2918000
2000-01-13,1070.0,1080.0,1051.0,1065.0,820.05,2544000
2000-01-14,1080.0,1107.0,1074.0,1107.0,852.39,5476000
2000-01-17,1124.0,1135.0,1103.0,1130.0,870.1,2256000
2000-01-18,1120.0,1120.0,1090.0,1100.0,847.0,1295000
2000-01-19,1100.0,1135.0,1100.0,1135.0,873.95,1359000
2000-01-20,1115.0,1115.0,1080.0,1099.0,846.23,1898000
2000-01-21,1080.0,1085.0,1065.0,1085.0,835.45,1596000
2000-01-24,1075.0,1093.0,1065.0,1065.0,820.05,1081000
2000-01-25,1060.0,1064.0,1052.0,1052.0,810.04,1273000
2000-01-26,1057.0,1057.0,1048.0,1052.0,810.04,1374000
2000-01-27,1050.0,1055.0,1038.0,1040.0,800.8,1424000
2000-01-28,1049.0,1054.0,1041.0,1050.0,808.5,1243000
2000-01-31,1058.0,1058.0,1046.0,1051.0,809.27,978000
2000-02-01,1065.0,1070.0,1050.0,1069.0,823.13,1348000
2000-02-02,1068.0,1069.0,1045.0,1050.0,808.5,1756000
2000-02-03,1050.0,1056.0,1043.0,1045.0,804.65,1195000
2000-02-04,1045.0,1048.0,1013.0,1023.0,787.71,1641000
2000-02-07,1030.0,1043.0,1020.0,1023.0,787.71,921000
2000-02-08,1030.0,1039.0,1025.0,1028.0,791.56,1160000
2000-02-09,1030.0,1030.0,1013.0,1030.0,793.1,1728000
2000-02-10,1023.0,1055.0,1023.0,1030.0,793.1,1208000
2000-02-11,1030.0,1030.0,1030.0,1030.0,793.1,0
2000-02-14,1043.0,1057.0,1036.0,1040.0,800.8,926000
2000-02-15,1060.0,1064.0,1030.0,1034.0,796.18,846000
2000-02-16,1049.0,1057.0,1030.0,1038.0,799.26,798000
2000-02-17,1058.0,1075.0,1048.0,1070.0,823.9,869000
2000-02-18,1051.0,1058.0,1048.0,1054.0,811.58,1183000
2000-02-21,1065.0,1088.0,1062.0,1076.0,828.52,1565000
2000-02-22,1090.0,1095.0,1080.0,1086.0,836.22,1136000
2000-02-23,1098.0,1131.0,1095.0,1130.0,870.1,1428000
2000-02-24,1135.0,1135.0,1101.0,1118.0,860.86,914000
2000-02-25,1106.0,1124.0,1102.0,1122.0,863.94,795000
2000-02-28,1110.0,1110.0,1089.0,1092.0,840.84,820000
2000-02-29,1090.0,1090.0,1052.0,1067.0,821.59,884000
2000-03-01,1053.0,1059.0,1033.0,1039.0,800.03,1359000
2000-03-02,1030.0,1046.0,1018.0,1021.0,786.17,1616000
2000-03-03,1010.0,1024.0,1002.0,1008.0,776.16,1854000
2000-03-06,1010.0,1016.0,1005.0,1008.0,776.16,1854000
2000-03-07,1015.0,1042.0,1011.0,1031.0,793.87,2089000
2000-03-08,1025.0,1025.0,1008.0,1010.0,777.7,1035000
2000-03-09,1013.0,1018.0,1010.0,1012.0,779.24,1018000
2000-03-10,1032.0,1032.0,1015.0,1028.0,791.56,3786000
2000-03-13,1030.0,1042.0,1013.0,1023.0,787.71,1514000
