Date,Open,High,Low,Close,Adj Close,Volume
2006-03-03,198.125,201.561996,196.875,197.5,711544668160.0,454400
2006-03-06,199.061996,200.0,195.0,199.375,718299856896.0,195200
2006-03-07,199.688004,199.688004,195.0,196.875,709292720128.0,150400
2006-03-08,196.561996,197.188004,192.5,192.5,693530787840.0,99200
2006-03-09,192.5,196.561996,192.188004,195.625,704789544960.0,182400
2006-03-10,195.625,198.438004,193.438004,195.311996,703661670400.0,140800
2006-03-13,198.125,201.561996,196.561996,201.561996,726178856960.0,153600
2006-03-14,204.688004,205.625,200.0,201.875,727306534912.0,265600
2006-03-15,205.0,205.0,200.0,200.625,722803228672.0,134400
2006-03-16,201.25,201.561996,197.811996,198.125,713796222976.0,99200
2006-03-17,200.0,202.188004,197.188004,202.188004,728434343936.0,86400
2006-03-20,202.5,209.375,202.5,208.125,749823918080.0,297600
2006-03-22,207.811996,212.188004,205.625,205.625,740817043456.0,147200
2006-03-23,207.5,207.811996,203.438004,203.438004,732937781248.0,182400
2006-03-24,205.625,206.25,203.125,203.438004,732937781248.0,118400
2006-03-27,206.25,208.75,204.061996,207.811996,748696109056.0,320000
2006-03-28,200.0,200.0,187.5,192.5,-80417906688.0,295200
2006-03-29,196.25,202.5,195.0,202.5,-84595458048.0,208000
2006-03-30,202.5,203.75,196.25,197.5,-82506702848.0,160000
2006-03-31,201.25,202.5,197.5,201.25,-84073259008.0,184800
2006-04-03,202.5,203.75,200.0,200.0,-83551076352.0,217600
2006-04-04,202.5,203.75,200.0,200.0,-83551076352.0,176000
2006-04-05,202.5,237.5,202.5,212.5,-88773009408.0,1760000
2006-04-06,217.5,250.0,217.5,250.0,-104438849536.0,4240000
2006-04-07,255.0,295.0,242.5,276.25,-115404931072.0,7680000
2006-04-10,266.25,285.0,260.0,268.75,-112271745024.0,1840000
2006-04-11,267.5,267.5,248.75,261.25,-109138599936.0,880000
2006-04-12,257.5,257.5,250.0,252.5,-105483239424.0,396800
2006-04-13,252.5,252.5,232.5,238.75,-99739107328.0,1029600
2006-04-14,236.25,243.75,231.25,240.0,-100261289984.0,385600
2006-04-17,243.75,247.5,218.75,218.75,-91383980032.0,640000
2006-04-18,218.75,220.0,210.0,218.75,-91383980032.0,480000
2006-04-19,222.5,225.0,212.5,213.75,-89295208448.0,505600
2006-04-20,213.75,215.0,206.25,206.25,-86162046976.0,277600
2006-04-21,207.5,237.5,207.5,222.5,-92950577152.0,1760000
2006-04-24,220.0,223.75,212.5,215.0,-89817415680.0,367200
2006-04-25,216.25,230.0,213.75,227.5,-95039356928.0,260800
2006-04-26,226.25,227.5,218.75,220.0,-91906187264.0,160000
2006-04-27,223.75,226.25,217.5,226.25,-94517157888.0,177600
2006-04-28,225.0,227.5,220.0,221.25,-92428369920.0,124000
2006-05-01,220.0,220.0,215.0,217.5,-90861789184.0,107200
2006-05-02,216.25,220.0,213.75,215.0,-89817415680.0,109600
2006-05-08,216.25,218.75,216.25,218.75,-91383980032.0,86400
2006-05-09,220.0,226.25,217.5,220.0,-91906187264.0,199200
2006-05-10,223.75,225.0,220.0,223.75,-93472768000.0,84800
2006-05-11,225.0,226.25,222.5,223.75,-93472768000.0,103200
2006-05-12,217.5,217.5,208.75,213.75,-89295208448.0,256000
2006-05-15,210.0,212.5,208.75,208.75,-87206436864.0,72000
2006-05-16,210.0,210.0,201.25,202.5,-84595458048.0,160000
2006-05-17,200.0,202.5,195.0,198.75,-83028877312.0,120800
2006-05-18,202.5,202.5,190.0,192.5,-80417906688.0,80000
2006-05-19,195.0,203.75,192.5,203.75,-85117657088.0,80000
2006-05-22,207.5,208.75,202.5,203.75,-85117657088.0,80000
2006-05-23,202.5,202.5,196.25,196.25,-81984495616.0,95200
2006-05-24,198.75,205.0,193.75,205.0,-85639847936.0,95200
2006-05-25,207.5,207.5,200.0,203.75,-85117657088.0,19200
2006-05-26,207.5,207.5,201.25,201.25,-84073259008.0,42400
2006-05-29,201.25,203.75,196.25,197.5,-82506702848.0,54400
2006-05-30,200.0,200.0,193.75,197.5,-82506702848.0,52800
2006-05-31,195.0,195.0,187.5,187.5,-78329126912.0,126400
2006-06-01,190.0,195.0,170.0,175.0,-73107185664.0,236000
2006-06-02,178.75,178.75,150.0,166.25,-69451833344.0,275200
2006-06-05,168.75,168.75,155.0,161.25,-67363061760.0,160000
2006-06-06,158.75,158.75,151.25,155.0,-64752082944.0,185600
2006-06-07,155.0,155.0,150.0,150.0,-62663303168.0,123200
2006-06-08,147.5,148.75,137.5,138.75,-57963552768.0,160000
2006-06-09,143.75,146.25,141.25,141.25,-59007950848.0,124800
2006-06-12,143.75,143.75,140.0,142.5,-59530137600.0,107200
2006-06-13,142.5,146.25,138.75,146.25,-61096722432.0,132000
2006-06-14,143.75,143.75,140.0,141.25,-59007950848.0,320000
2006-06-15,160.0,161.25,153.75,156.25,-65274281984.0,400000
2006-06-16,166.25,166.25,151.25,155.0,-64752082944.0,443200
2006-06-19,155.0,157.5,153.75,157.5,-65796472832.0,99200
2006-06-20,156.25,156.25,151.25,152.5,-63707697152.0,69600
2006-06-21,152.5,153.75,147.5,150.0,-62663303168.0,98400
2006-06-22,152.5,153.75,148.75,151.25,-63185498112.0,114400
2006-06-23,152.5,152.5,147.5,152.5,-63707697152.0,88000
2006-06-26,153.75,155.0,152.5,155.0,-64752082944.0,47200
2006-06-27,156.25,157.5,152.5,155.0,-64752082944.0,121600
2006-06-28,152.5,155.0,150.0,153.75,-64229892096.0,76800
2006-06-29,153.75,157.5,153.75,156.25,-65274281984.0,48800
2006-06-30,160.0,160.0,155.0,155.0,-64752082944.0,91200
2006-07-03,157.5,158.75,153.75,158.75,-66318671872.0,80000
2006-07-04,161.25,161.25,157.5,160.0,-66840850432.0,72000
2006-07-05,156.25,158.75,155.0,156.25,-65274281984.0,96000
2006-07-06,153.75,155.0,151.25,153.75,-64229892096.0,50400
2006-07-07,156.25,156.25,152.5,152.5,-63707697152.0,40000
2006-07-10,152.5,153.75,150.0,150.0,-62663303168.0,33600
2006-07-11,152.5,152.5,145.0,145.0,-60574531584.0,116800
2006-07-12,143.75,143.75,138.75,138.75,-57963552768.0,86400
2006-07-13,138.75,140.0,137.5,138.75,-57963552768.0,33600
2006-07-14,141.25,141.25,138.75,140.0,-58485751808.0,49600
2006-07-18,140.0,140.0,125.0,128.75,-53786005504.0,112800
2006-07-19,131.25,131.25,120.25,121.375,-50705055744.0,130400
2006-07-20,124.5,132.5,121.875,130.0,-54308204544.0,104800
2006-07-21,127.5,127.5,123.75,127.5,-53263818752.0,47200
