Date,Open,High,Low,Close,Adj Close,Volume
2011-09-22,843.33,843.33,843.33,843.33,843.33,0
2011-09-26,1058.33,1166.67,930.0,1166.67,1166.67,3014400
2011-09-27,1058.33,1088.33,916.67,926.67,926.67,1809600
2011-09-28,815.0,851.67,760.0,760.0,760.0,856200
2011-09-29,757.5,799.17,680.0,799.17,799.17,1110000
2011-09-30,800.0,824.17,709.17,720.0,720.0,542400
2011-10-03,685.0,712.5,635.83,682.5,682.5,523800
2011-10-04,659.17,725.0,643.33,667.5,667.5,424200
2011-10-05,700.0,784.17,684.17,784.17,784.17,1117800
2011-10-06,807.5,855.0,724.17,725.0,725.0,1324800
2011-10-07,726.67,741.67,694.17,709.17,709.17,531600
2011-10-11,713.33,726.67,683.33,700.0,700.0,196200
2011-10-12,716.67,733.33,700.0,700.0,700.0,195000
2011-10-13,688.33,698.33,673.33,673.33,673.33,139800
2011-10-14,685.0,716.67,685.0,700.0,700.0,123600
2011-10-17,733.33,793.33,705.0,764.17,764.17,544800
2011-10-18,752.5,826.67,735.83,805.0,805.0,418800
2011-10-19,811.67,836.67,745.0,746.67,746.67,199800
2011-10-20,738.33,746.67,681.67,705.0,705.0,169200
2011-10-21,693.33,726.67,682.5,684.17,684.17,173400
2011-10-24,713.33,725.83,700.0,705.0,705.0,162600
2011-10-25,716.67,718.33,687.5,708.33,708.33,61200
2011-10-26,715.83,720.0,690.0,710.0,710.0,67200
2011-10-27,702.5,703.33,684.17,703.33,703.33,91800
2011-10-28,710.0,711.67,688.33,688.33,688.33,48600
2011-10-31,695.0,705.0,684.17,696.67,696.67,60000
2011-11-01,680.0,680.0,609.17,610.83,610.83,189000
2011-11-02,552.5,575.83,543.33,566.67,566.67,101400
2011-11-04,555.0,591.67,555.0,570.83,570.83,79800
2011-11-07,570.83,648.33,570.83,636.67,636.67,109200
2011-11-08,625.0,640.0,583.33,583.33,583.33,46800
2011-11-09,583.33,601.67,571.67,575.0,575.0,13800
2011-11-10,544.17,558.33,530.0,548.33,548.33,28200
2011-11-11,536.67,548.33,503.33,516.67,516.67,84600
2011-11-14,512.5,526.67,500.0,511.67,511.67,42000
2011-11-15,488.33,495.0,470.17,478.33,478.33,131400
2011-11-16,476.67,476.67,458.33,463.33,463.33,61800
2011-11-17,453.33,458.33,434.17,448.33,448.33,70200
2011-11-18,443.67,443.67,418.33,418.5,418.5,74400
2011-11-21,421.67,450.0,418.5,426.67,426.67,58200
2011-11-22,426.67,446.33,425.0,443.33,443.33,36600
2011-11-24,450.0,450.0,440.0,444.17,444.17,34800
2011-11-25,435.83,445.0,417.5,423.33,423.33,52800
2011-11-28,420.0,434.83,405.0,430.0,430.0,47400
2011-11-29,441.67,455.83,433.33,454.67,454.67,42000
2011-11-30,454.67,538.33,440.83,538.33,538.33,235800
2011-12-01,550.0,625.0,496.83,592.5,592.5,296400
2011-12-02,583.33,608.33,538.33,590.0,590.0,166800
2011-12-05,580.0,588.33,565.0,583.33,583.33,39600
2011-12-06,571.67,582.5,509.17,509.17,509.17,108600
2011-12-07,498.33,625.83,488.33,597.5,597.5,212400
2011-12-08,590.83,592.5,530.0,556.67,556.67,125400
2011-12-09,534.17,550.0,525.0,536.67,536.67,54000
2011-12-12,542.5,548.33,518.33,545.83,545.83,31200
2011-12-13,540.0,548.33,522.5,538.33,538.33,38400
2011-12-14,608.33,623.33,563.33,588.33,588.33,216600
2011-12-15,576.67,583.33,563.33,563.33,563.33,57000
2011-12-16,563.33,570.0,543.33,550.0,550.0,37200
2011-12-19,550.0,550.0,516.67,532.5,532.5,34800
2011-12-20,532.5,608.33,532.5,575.0,575.0,79200
2011-12-21,600.0,691.67,596.67,691.67,691.67,571800
2011-12-22,738.33,758.33,616.67,666.67,666.67,545400
2011-12-26,700.0,781.67,678.33,701.67,701.67,496800
2011-12-27,702.5,743.33,691.67,731.67,731.67,212400
2011-12-28,721.67,722.5,681.67,696.67,696.67,193800
2011-12-29,708.33,709.17,661.67,678.33,678.33,94200
2011-12-30,666.67,722.5,663.33,678.33,678.33,125400
2012-01-04,707.5,733.33,707.5,719.17,719.17,144000
2012-01-05,713.33,713.33,687.5,688.33,688.33,87600
2012-01-06,680.0,695.83,669.17,680.0,680.0,60000
2012-01-10,686.67,687.5,633.33,671.67,671.67,94200
2012-01-11,653.33,658.33,635.83,636.67,636.67,85800
2012-01-12,655.0,689.17,629.17,658.33,658.33,77400
2012-01-13,658.33,666.67,645.0,645.83,645.83,30000
2012-01-16,622.5,629.17,599.17,600.83,600.83,90600
2012-01-17,593.33,616.67,561.67,562.5,562.5,85200
2012-01-18,567.5,597.5,558.33,596.67,596.67,54600
2012-01-19,600.0,600.0,568.33,580.83,580.83,24600
2012-01-20,576.67,696.67,576.67,660.0,660.0,119400
2012-01-23,650.83,660.0,630.0,659.17,659.17,37200
