Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,2735.0,2735.0,2735.0,2735.0,1938.25,0
2001-01-02,2735.0,2735.0,2735.0,2735.0,1938.25,0
2001-01-03,2735.0,2735.0,2735.0,2735.0,1938.25,0
2001-01-04,2700.0,2700.0,2610.0,2620.0,1856.75,9900
2001-01-05,2730.0,2730.0,2695.0,2730.0,1934.71,33000
2001-01-08,2730.0,2730.0,2730.0,2730.0,1934.71,0
2001-01-09,2730.0,2735.0,2720.0,2735.0,1938.25,71100
2001-01-10,2740.0,2780.0,2720.0,2755.0,1952.43,60800
2001-01-11,2735.0,2745.0,2620.0,2665.0,1888.65,58600
2001-01-12,2665.0,2730.0,2665.0,2700.0,1913.45,44400
2001-01-15,2730.0,2730.0,2670.0,2670.0,1892.19,22500
2001-01-16,2730.0,2730.0,2655.0,2680.0,1899.28,25700
2001-01-17,2700.0,2700.0,2650.0,2670.0,1892.19,43300
2001-01-18,2650.0,2680.0,2600.0,2675.0,1895.73,55500
2001-01-19,2675.0,2700.0,2660.0,2670.0,1892.19,55700
2001-01-22,2670.0,2685.0,2645.0,2685.0,1902.82,39100
2001-01-23,2700.0,2705.0,2695.0,2695.0,1909.91,51500
2001-01-24,2700.0,2710.0,2695.0,2700.0,1913.45,73800
2001-01-25,2630.0,2645.0,2600.0,2640.0,1870.93,50700
2001-01-26,2615.0,2645.0,2605.0,2645.0,1874.47,31700
2001-01-29,2620.0,2630.0,2605.0,2605.0,1846.12,17000
2001-01-30,2605.0,2615.0,2600.0,2600.0,1842.58,32300
2001-01-31,2600.0,2600.0,2570.0,2600.0,1842.58,39600
2001-02-01,2590.0,2600.0,2565.0,2570.0,1821.32,32900
2001-02-02,2550.0,2570.0,2545.0,2550.0,1807.15,42700
2001-02-05,2545.0,2550.0,2490.0,2495.0,1768.17,46000
2001-02-06,2545.0,2545.0,2510.0,2510.0,1778.8,25400
2001-02-07,2520.0,2550.0,2520.0,2530.0,1792.97,16200
2001-02-08,2520.0,2550.0,2515.0,2545.0,1803.6,32300
2001-02-09,2550.0,2585.0,2545.0,2585.0,1831.95,27500
2001-02-13,2635.0,2635.0,2600.0,2600.0,1842.58,26800
2001-02-14,2615.0,2615.0,2580.0,2595.0,1839.04,28200
2001-02-15,2635.0,2635.0,2550.0,2560.0,1814.23,30100
2001-02-16,2560.0,2570.0,2520.0,2520.0,1785.89,26900
2001-02-19,2510.0,2515.0,2500.0,2515.0,1782.34,24200
2001-02-20,2510.0,2510.0,2475.0,2475.0,1754.0,38800
2001-02-21,2470.0,2500.0,2465.0,2495.0,1768.17,55500
2001-02-22,2500.0,2565.0,2480.0,2515.0,1782.34,39600
2001-02-23,2515.0,2550.0,2515.0,2550.0,1807.15,33200
2001-02-26,2530.0,2530.0,2475.0,2485.0,1761.08,95300
2001-02-27,2550.0,2550.0,2485.0,2485.0,1761.08,36500
2001-02-28,2495.0,2500.0,2450.0,2450.0,1736.28,60300
2001-03-01,2405.0,2420.0,2370.0,2380.0,1686.67,64700
2001-03-02,2460.0,2460.0,2370.0,2370.0,1679.58,152500
2001-03-05,2390.0,2395.0,2345.0,2345.0,1661.87,51100
2001-03-06,2345.0,2475.0,2340.0,2430.0,1722.1,57600
2001-03-07,2350.0,2360.0,2305.0,2310.0,1637.06,83900
2001-03-08,2310.0,2350.0,2310.0,2345.0,1661.87,40200
2001-03-09,2385.0,2400.0,2345.0,2370.0,1679.58,102100
2001-03-12,2350.0,2370.0,2310.0,2320.0,1644.15,48600
2001-03-13,2350.0,2350.0,2300.0,2310.0,1637.06,82600
2001-03-15,2350.0,2370.0,2280.0,2370.0,1679.58,56500
2001-03-16,2410.0,2410.0,2280.0,2340.0,1658.32,43000
2001-03-19,2350.0,2400.0,2350.0,2390.0,1693.76,22900
2001-03-20,2390.0,2390.0,2390.0,2390.0,1693.76,0
2001-03-21,2390.0,2505.0,2360.0,2505.0,1775.26,52200
2001-03-22,2500.0,2500.0,2350.0,2445.0,1732.74,42600
2001-03-23,2405.0,2445.0,2400.0,2445.0,1732.74,14000
2001-03-26,2450.0,2520.0,2450.0,2520.0,1785.89,60700
2001-03-27,2550.0,2630.0,2550.0,2610.0,1849.67,70800
2001-03-28,2610.0,2680.0,2590.0,2680.0,1899.28,54500
2001-03-29,2615.0,2645.0,2605.0,2615.0,1853.21,42600
2001-03-30,2655.0,2700.0,2640.0,2680.0,1899.28,59300
