Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2445.0,2450.0,2310.0,2310.0,1689.87,572000
2000-01-05,2300.0,2400.0,2300.0,2380.0,1741.08,1056000
2000-01-06,2385.0,2385.0,2235.0,2240.0,1638.67,1004000
2000-01-07,2260.0,2290.0,2240.0,2290.0,1675.24,436000
2000-01-10,2290.0,2290.0,2290.0,2290.0,1675.24,0
2000-01-11,2290.0,2315.0,2230.0,2250.0,1645.98,1630000
2000-01-12,2225.0,2255.0,2185.0,2200.0,1609.4,1467000
2000-01-13,2200.0,2280.0,2200.0,2230.0,1631.35,1223000
2000-01-14,2250.0,2305.0,2245.0,2285.0,1671.59,1347000
2000-01-17,2320.0,2370.0,2250.0,2355.0,1722.79,1166000
2000-01-18,2390.0,2400.0,2300.0,2310.0,1689.87,1018000
2000-01-19,2330.0,2360.0,2305.0,2320.0,1697.19,554000
2000-01-20,2350.0,2360.0,2275.0,2300.0,1682.56,846000
2000-01-21,2290.0,2360.0,2275.0,2360.0,1726.45,817000
2000-01-24,2370.0,2420.0,2350.0,2375.0,1737.43,948000
2000-01-25,2340.0,2360.0,2270.0,2285.0,1671.59,690000
2000-01-26,2325.0,2370.0,2305.0,2355.0,1722.79,554000
2000-01-27,2310.0,2330.0,2290.0,2330.0,1704.51,683000
2000-01-28,2340.0,2400.0,2325.0,2400.0,1755.71,1046000
2000-01-31,2360.0,2410.0,2330.0,2365.0,1730.11,1230000
2000-02-01,2325.0,2400.0,2300.0,2375.0,1737.43,1272000
2000-02-02,2400.0,2420.0,2375.0,2400.0,1755.71,1153000
2000-02-03,2360.0,2420.0,2360.0,2410.0,1763.03,863000
2000-02-04,2410.0,2410.0,2335.0,2335.0,1708.16,1413000
2000-02-07,2300.0,2335.0,2300.0,2335.0,1708.16,613000
2000-02-08,2310.0,2365.0,2310.0,2320.0,1697.19,747000
2000-02-09,2350.0,2360.0,2325.0,2325.0,1700.85,740000
2000-02-10,2285.0,2315.0,2210.0,2230.0,1631.35,1440000
2000-02-11,2230.0,2230.0,2230.0,2230.0,1631.35,0
2000-02-14,2255.0,2320.0,2240.0,2255.0,1649.64,730000
2000-02-15,2255.0,2285.0,2210.0,2250.0,1645.98,955000
2000-02-16,2245.0,2250.0,2190.0,2190.0,1602.09,1576000
2000-02-17,2190.0,2210.0,2180.0,2205.0,1613.06,980000
2000-02-18,2195.0,2200.0,2175.0,2195.0,1605.75,690000
2000-02-21,2195.0,2200.0,2110.0,2110.0,1543.56,492000
2000-02-22,2115.0,2140.0,2090.0,2090.0,1528.93,919000
2000-02-23,2135.0,2150.0,2100.0,2130.0,1558.2,547000
2000-02-24,2150.0,2160.0,2100.0,2105.0,1539.91,482000
2000-02-25,2140.0,2140.0,2100.0,2125.0,1554.54,657000
2000-02-28,2125.0,2130.0,2050.0,2050.0,1499.67,670000
2000-02-29,2070.0,2115.0,2055.0,2055.0,1503.33,801000
2000-03-01,2050.0,2055.0,1991.0,2000.0,1463.09,2520000
2000-03-02,2010.0,2045.0,1996.0,1996.0,1460.17,1218000
2000-03-03,2000.0,2000.0,1991.0,1991.0,1456.51,1317000
2000-03-06,2000.0,2020.0,1995.0,2010.0,1470.41,1265000
