Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,6200.0,6200.0,6200.0,6200.0,4941.690918,0
2001-01-02,6200.0,6200.0,6200.0,6200.0,4941.690918,0
2001-01-03,6200.0,6200.0,6200.0,6200.0,4941.690918,0
2001-01-04,6500.0,6590.0,6300.0,6460.0,5148.92334,51300
2001-01-05,6490.0,6840.0,6450.0,6750.0,5380.067383,78600
2001-01-08,6750.0,6750.0,6750.0,6750.0,5380.067383,0
2001-01-09,6250.0,6500.0,5780.0,6010.0,4790.251465,195200
2001-01-10,6100.0,6120.0,5820.0,5880.0,4686.63623,86100
2001-01-11,6170.0,6170.0,5890.0,6070.0,4838.075195,121500
2001-01-12,6470.0,7070.0,6370.0,7070.0,5635.122559,279800
2001-01-15,7210.0,7800.0,7200.0,7790.0,6208.995117,125200
2001-01-16,7690.0,7780.0,7200.0,7650.0,6097.408203,141800
2001-01-17,7550.0,7700.0,7250.0,7700.0,6137.263672,142500
2001-01-18,8200.0,8380.0,8070.0,8250.0,6575.638184,180000
2001-01-19,8450.0,8500.0,8100.0,8260.0,6583.60791,166600
2001-01-22,8060.0,8100.0,7800.0,8100.0,6456.080078,75100
2001-01-23,7800.0,7970.0,7800.0,7890.0,6288.699707,40100
2001-01-24,7890.0,8100.0,7850.0,7900.0,6296.671875,51900
2001-01-25,7910.0,8040.0,7900.0,7970.0,6352.465332,41300
2001-01-26,7950.0,7950.0,7700.0,7890.0,6288.699707,64100
2001-01-29,7410.0,7600.0,7410.0,7570.0,6033.644531,67700
2001-01-30,7620.0,7810.0,7610.0,7800.0,6216.966797,34400
2001-01-31,8000.0,8100.0,7900.0,8050.0,6416.227051,93600
2001-02-01,8150.0,8170.0,7970.0,8150.0,6495.933105,73000
2001-02-02,8250.0,8280.0,8190.0,8260.0,6583.60791,58400
2001-02-05,7760.0,7860.0,7490.0,7600.0,6057.556152,89500
2001-02-06,7600.0,7800.0,7200.0,7450.0,5937.999022999999,122800
2001-02-07,7300.0,7490.0,7300.0,7400.0,5898.146484000001,46600
2001-02-08,7300.0,7350.0,7200.0,7220.0,5754.679688,62000
2001-02-09,7300.0,7830.0,7200.0,7810.0,6224.936035,67100
2001-02-13,8010.0,8010.0,7690.0,7690.0,6129.290039,37300
2001-02-14,7500.0,7810.0,7400.0,7600.0,6057.556152,28400
2001-02-15,7850.0,8000.0,7800.0,8000.0,6376.375,49500
2001-02-16,8160.0,8300.0,7970.0,8300.0,6615.489746,121000
2001-02-19,7800.0,8070.0,7740.0,8070.0,6432.168945,32900
2001-02-20,8170.0,8250.0,8090.0,8230.0,6559.696777,35800
2001-02-21,8100.0,8180.0,7900.0,8180.0,6519.84375,27400
2001-02-22,8100.0,8150.0,7900.0,8120.0,6472.022461,49800
2001-02-23,8110.0,8350.0,8100.0,8290.0,6607.518555,39000
2001-02-26,8460.0,8480.0,8140.0,8150.0,6495.933105,21500
2001-02-27,8210.0,8300.0,8010.0,8020.0,6392.316406,53600
2001-02-28,8100.0,8340.0,7770.0,8200.0,6535.78418,123900
2001-03-01,8100.0,8160.0,7820.0,7970.0,6352.465332,47400
2001-03-02,7770.0,7890.0,7700.0,7700.0,6137.263672,47900
2001-03-05,7500.0,7850.0,7500.0,7740.0,6169.143066,36000
2001-03-06,7900.0,8100.0,7900.0,8100.0,6456.080078,36400
2001-03-07,8400.0,8430.0,8290.0,8400.0,6695.194336,87900
2001-03-08,8360.0,8360.0,8180.0,8310.0,6623.459961,30900
2001-03-09,8380.0,8390.0,8290.0,8340.0,6647.370605,79300
