Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1660.0,1709.0,1646.0,1690.0,1319.293945,11304000
2000-01-05,1540.0,1600.0,1512.0,1575.0,1229.5198970000001,12855000
2000-01-06,1580.0,1590.0,1485.0,1496.0,1167.848389,8441000
2000-01-07,1460.0,1484.0,1425.0,1464.0,1142.867798,10571000
2000-01-10,1464.0,1464.0,1464.0,1464.0,1142.867798,0
2000-01-11,1654.0,1654.0,1595.0,1625.0,1268.552124,17573000
2000-01-12,1565.0,1598.0,1554.0,1575.0,1229.5198970000001,9584000
2000-01-13,1550.0,1570.0,1538.0,1570.0,1225.616089,5026000
2000-01-14,1600.0,1605.0,1546.0,1575.0,1229.5198970000001,9853000
2000-01-17,1594.0,1595.0,1560.0,1572.0,1227.17749,8373000
2000-01-18,1600.0,1604.0,1561.0,1582.0,1234.9842529999999,11692000
2000-01-19,1582.0,1592.0,1530.0,1549.0,1209.223145,10621000
2000-01-20,1570.0,1618.0,1570.0,1585.0,1237.32605,15884000
2000-01-21,1600.0,1614.0,1590.0,1600.0,1249.036011,7381000
2000-01-24,1600.0,1615.0,1585.0,1601.0,1249.8165279999998,7711000
2000-01-25,1580.0,1611.0,1572.0,1581.0,1234.203491,7391000
2000-01-26,1589.0,1596.0,1558.0,1563.0,1220.151733,6806000
2000-01-27,1570.0,1578.0,1561.0,1568.0,1224.055054,4902000
2000-01-28,1590.0,1590.0,1547.0,1550.0,1210.00354,7270000
2000-01-31,1545.0,1569.0,1521.0,1521.0,1187.3647460000002,6332000
2000-02-01,1530.0,1556.0,1520.0,1551.0,1210.784302,7217000
2000-02-02,1570.0,1593.0,1551.0,1586.0,1238.106934,7972000
2000-02-03,1589.0,1610.0,1586.0,1600.0,1249.036011,11477000
2000-02-04,1600.0,1609.0,1579.0,1590.0,1241.229492,8149000
2000-02-07,1600.0,1644.0,1600.0,1643.0,1282.60376,11614000
2000-02-08,1660.0,1666.0,1621.0,1635.0,1276.358276,11845000
2000-02-09,1640.0,1650.0,1606.0,1625.0,1268.552124,7423000
2000-02-10,1600.0,1612.0,1588.0,1601.0,1249.8165279999998,7715000
2000-02-11,1601.0,1601.0,1601.0,1601.0,1249.8165279999998,0
2000-02-14,1594.0,1635.0,1582.0,1616.0,1261.526245,9054000
2000-02-15,1615.0,1634.0,1565.0,1573.0,1227.958862,9502000
2000-02-16,1573.0,1576.0,1543.0,1548.0,1208.442261,5596000
2000-02-17,1548.0,1600.0,1529.0,1579.0,1232.642212,10567000
2000-02-18,1609.0,1609.0,1542.0,1543.0,1204.538818,8196000
2000-02-21,1536.0,1543.0,1512.0,1520.0,1186.584351,4507000
2000-02-22,1520.0,1523.0,1488.0,1500.0,1170.971191,11360000
2000-02-23,1482.0,1488.0,1456.0,1476.0,1152.235596,7924000
2000-02-24,1496.0,1496.0,1481.0,1491.0,1163.945068,6080000
2000-02-25,1495.0,1500.0,1472.0,1494.0,1166.2871089999999,8731000
2000-02-28,1499.0,1528.0,1484.0,1510.0,1178.777466,9631000
2000-02-29,1510.0,1510.0,1469.0,1499.0,1170.190552,8026000
2000-03-01,1509.0,1520.0,1496.0,1507.0,1176.435425,9676000
2000-03-02,1397.0,1432.0,1397.0,1419.0,1107.73877,17927000
2000-03-03,1399.0,1415.0,1365.0,1385.0,1081.196899,10032000
2000-03-06,1420.0,1437.0,1400.0,1401.0,1093.686768,8540000
2000-03-07,1405.0,1422.0,1403.0,1420.0,1108.518677,7008000
2000-03-08,1400.0,1437.0,1396.0,1430.0,1116.325684,5658000
2000-03-09,1435.0,1445.0,1411.0,1413.0,1103.0546880000002,5073000
2000-03-10,1400.0,1405.0,1355.0,1364.0,1064.8027339999999,16742000
2000-03-13,1304.0,1324.0,1181.0,1200.0,936.7768550000001,17342000
2000-03-14,1190.0,1243.0,1176.0,1210.0,944.5831300000001,11178000
2000-03-15,1190.0,1200.0,1170.0,1180.0,921.1636960000001,12408000
2000-03-16,1200.0,1269.0,1198.0,1269.0,990.6414179999999,10184000
2000-03-17,1290.0,1290.0,1261.0,1285.0,1003.1317140000001,6706000
2000-03-20,1285.0,1285.0,1285.0,1285.0,1003.1317140000001,0
2000-03-21,1245.0,1247.0,1218.0,1247.0,973.467224,6710000
2000-03-22,1247.0,1255.0,1213.0,1238.0,966.441406,7104000
2000-03-23,1247.0,1260.0,1230.0,1254.0,978.931702,4347000
2000-03-24,1234.0,1250.0,1198.0,1250.0,975.8093869999999,6374000
2000-03-27,1270.0,1270.0,1226.0,1260.0,983.615723,5890000
2000-03-28,1260.0,1262.0,1220.0,1260.0,985.9633789999999,4164000
2000-03-29,1250.0,1315.0,1248.0,1297.0,1014.91571,6945000
2000-03-30,1301.0,1318.0,1265.0,1275.0,997.700989,5307000
2000-03-31,1250.0,1255.0,1218.0,1219.0,953.8801880000001,8981000
2000-04-03,1267.0,1298.0,1248.0,1284.0,1004.743408,5995000
2000-04-04,1295.0,1295.0,1266.0,1270.0,993.788452,3663000
2000-04-05,1279.0,1279.0,1260.0,1277.0,999.265625,4343000
2000-04-06,1320.0,1339.0,1301.0,1310.0,1025.088257,8788000
2000-04-07,1330.0,1358.0,1325.0,1326.0,1037.6092529999999,9445000
2000-04-10,1359.0,1409.0,1357.0,1401.0,1096.2973630000001,13475000
2000-04-11,1390.0,1405.0,1375.0,1405.0,1099.42749,6445000
2000-04-12,1390.0,1403.0,1384.0,1395.0,1091.602295,5800000
2000-04-13,1335.0,1360.0,1270.0,1310.0,1025.088257,13540000
2000-04-14,1260.0,1283.0,1250.0,1250.0,978.1383060000001,12992000
2000-04-17,1170.0,1198.0,1158.0,1195.0,935.100159,9881000
2000-04-18,1235.0,1242.0,1210.0,1235.0,966.400269,5898000
2000-04-19,1275.0,1293.0,1265.0,1279.0,1000.8311769999999,8576000
2000-04-20,1277.0,1317.0,1266.0,1277.0,999.265625,5298000
2000-04-21,1285.0,1298.0,1245.0,1245.0,974.2256470000001,5166000
2000-04-24,1270.0,1300.0,1270.0,1298.0,1015.698669,5278000
2000-04-25,1278.0,1304.0,1271.0,1295.0,1013.350952,3388000
2000-04-26,1315.0,1334.0,1291.0,1291.0,1010.220886,4999000
2000-04-27,1275.0,1285.0,1264.0,1265.0,989.875549,4989000
2000-04-28,1287.0,1305.0,1272.0,1290.0,1009.4382929999999,7631000
2000-05-01,1350.0,1404.0,1340.0,1389.0,1086.906982,13969000
2000-05-02,1410.0,1432.0,1392.0,1427.0,1116.642334,14301000
2000-05-03,1427.0,1427.0,1427.0,1427.0,1116.642334,0
2000-05-04,1427.0,1427.0,1427.0,1427.0,1116.642334,0
2000-05-05,1427.0,1427.0,1427.0,1427.0,1116.642334,0
2000-05-08,1447.0,1453.0,1425.0,1433.0,1121.337524,9972000
2000-05-09,1433.0,1433.0,1433.0,1433.0,1121.337524,0
2000-05-10,1342.0,1384.0,1337.0,1371.0,1072.8217769999999,7341000
2000-05-11,1331.0,1343.0,1320.0,1333.0,1043.086426,4873000
2000-05-12,1345.0,1354.0,1323.0,1337.0,1046.216431,4135000
2000-05-15,1365.0,1383.0,1359.0,1370.0,1072.039307,5038000
2000-05-16,1390.0,1407.0,1381.0,1400.0,1095.514771,4783000
2000-05-17,1440.0,1440.0,1370.0,1387.0,1085.342285,6789000
2000-05-18,1367.0,1372.0,1340.0,1356.0,1061.084351,5385000
2000-05-19,1350.0,1355.0,1304.0,1310.0,1025.088257,5626000
2000-05-22,1270.0,1282.0,1242.0,1270.0,993.788452,6971000
2000-05-23,1250.0,1258.0,1220.0,1235.0,966.400269,7086000
2000-05-24,1236.0,1257.0,1213.0,1246.0,975.007935,6375000
2000-05-25,1286.0,1286.0,1253.0,1264.0,989.0931400000001,5146000
2000-05-26,1264.0,1295.0,1255.0,1285.0,1005.526184,4289000
2000-05-29,1304.0,1322.0,1292.0,1317.0,1030.566284,3104000
2000-05-30,1317.0,1317.0,1317.0,1317.0,1030.566284,0
2000-05-31,1350.0,1350.0,1307.0,1334.0,1043.8686519999999,6271000
2000-06-01,1311.0,1330.0,1304.0,1330.0,1040.739136,2482000
2000-06-02,1350.0,1370.0,1340.0,1370.0,1072.039307,6482000
2000-06-05,1400.0,1405.0,1385.0,1400.0,1095.514771,5840000
2000-06-06,1360.0,1380.0,1345.0,1370.0,1072.039307,3777000
2000-06-07,1351.0,1351.0,1326.0,1350.0,1056.389526,4020000
2000-06-08,1330.0,1346.0,1326.0,1337.0,1046.216431,3266000
2000-06-09,1317.0,1351.0,1317.0,1343.0,1050.911377,4702000
2000-06-12,1351.0,1363.0,1335.0,1355.0,1060.301758,1611000
2000-06-13,1337.0,1370.0,1337.0,1370.0,1072.039307,4253000
2000-06-14,1380.0,1380.0,1348.0,1350.0,1056.389526,3093000
2000-06-15,1338.0,1370.0,1313.0,1317.0,1030.566284,4353000
2000-06-16,1330.0,1371.0,1327.0,1350.0,1056.389526,4574000
2000-06-19,1350.0,1370.0,1350.0,1370.0,1072.039307,3806000
2000-06-20,1390.0,1394.0,1380.0,1390.0,1087.689697,5043000
2000-06-21,1410.0,1455.0,1410.0,1452.0,1136.204956,16718000
2000-06-22,1472.0,1495.0,1460.0,1480.0,1158.1157230000001,23470000
2000-06-23,1460.0,1479.0,1458.0,1469.0,1149.508179,6851000
2000-06-26,1449.0,1474.0,1448.0,1473.0,1152.637695,4151000
2000-06-27,1470.0,1495.0,1453.0,1495.0,1169.8532710000002,7590000
2000-06-28,1490.0,1495.0,1474.0,1493.0,1168.288086,5832000
2000-06-29,1490.0,1515.0,1490.0,1509.0,1180.80835,16241000
2000-06-30,1505.0,1540.0,1501.0,1530.0,1197.241089,10580000
2000-07-03,1530.0,1540.0,1523.0,1535.0,1201.153442,6558000
2000-07-04,1544.0,1549.0,1526.0,1531.0,1198.023804,6868000
2000-07-05,1510.0,1529.0,1486.0,1529.0,1196.4584960000002,7889000
2000-07-06,1459.0,1464.0,1410.0,1410.0,1103.3397220000002,11790000
2000-07-07,1430.0,1439.0,1400.0,1400.0,1095.514771,5864000
2000-07-10,1419.0,1429.0,1380.0,1380.0,1079.86438,6312000
2000-07-11,1380.0,1400.0,1369.0,1380.0,1079.86438,5222000
2000-07-12,1400.0,1420.0,1399.0,1405.0,1099.42749,5164000
2000-07-13,1418.0,1430.0,1401.0,1410.0,1103.3397220000002,4523000
2000-07-14,1390.0,1399.0,1373.0,1382.0,1081.4295650000001,5318000
2000-07-17,1372.0,1387.0,1372.0,1380.0,1079.86438,3116000
2000-07-18,1383.0,1383.0,1347.0,1360.0,1064.214355,4974000
2000-07-19,1383.0,1383.0,1347.0,1360.0,1064.214355,4974000
2000-07-20,1360.0,1360.0,1360.0,1360.0,1064.214355,0
2000-07-21,1358.0,1358.0,1315.0,1319.0,1032.1313480000001,4429000
2000-07-24,1309.0,1309.0,1278.0,1297.0,1014.91571,5686000
2000-07-25,1260.0,1278.0,1260.0,1274.0,996.918518,6476000
2000-07-26,1294.0,1308.0,1280.0,1300.0,1017.263367,4602000
2000-07-27,1280.0,1284.0,1264.0,1271.0,994.570435,7383000
2000-07-28,1253.0,1285.0,1242.0,1267.0,991.4406740000001,9694000
2000-07-31,1241.0,1310.0,1241.0,1310.0,1025.088257,8501000
2000-08-01,1300.0,1308.0,1274.0,1303.0,1019.611267,7069000
2000-08-02,1280.0,1286.0,1275.0,1280.0,1001.613708,4460000
2000-08-03,1256.0,1262.0,1248.0,1250.0,978.1383060000001,8124000
2000-08-04,1238.0,1241.0,1230.0,1238.0,968.747864,9701000
2000-08-07,1235.0,1252.0,1221.0,1233.0,964.8353880000001,7476000
2000-08-08,1253.0,1256.0,1236.0,1249.0,977.356018,5416000
2000-08-09,1242.0,1258.0,1236.0,1245.0,974.2256470000001,2882000
2000-08-10,1265.0,1267.0,1245.0,1253.0,980.4857789999999,4677000
2000-08-11,1250.0,1253.0,1223.0,1237.0,967.9656369999999,4101000
2000-08-14,1220.0,1224.0,1205.0,1213.0,949.185364,4967000
2000-08-15,1233.0,1236.0,1212.0,1220.0,954.662598,6642000
2000-08-16,1240.0,1254.0,1230.0,1244.0,973.442993,5746000
2000-08-17,1248.0,1249.0,1238.0,1245.0,974.2256470000001,4870000
2000-08-18,1244.0,1244.0,1227.0,1233.0,964.8353880000001,4549000
2000-08-21,1253.0,1261.0,1240.0,1259.0,985.1808470000001,6317000
2000-08-22,1253.0,1259.0,1238.0,1259.0,985.1808470000001,7348000
2000-08-23,1263.0,1296.0,1258.0,1291.0,1010.220886,13458000
2000-08-24,1288.0,1316.0,1285.0,1309.0,1024.3063960000002,12651000
2000-08-25,1309.0,1311.0,1295.0,1310.0,1025.088257,7309000
2000-08-28,1330.0,1346.0,1316.0,1341.0,1049.346802,11278000
2000-08-29,1341.0,1345.0,1333.0,1343.0,1050.911377,8477000
2000-08-30,1325.0,1325.0,1296.0,1305.0,1021.1764529999999,6645000
2000-08-31,1300.0,1302.0,1258.0,1263.0,988.310486,8391000
2000-09-01,1280.0,1280.0,1230.0,1240.0,970.312744,9477000
2000-09-04,1260.0,1284.0,1251.0,1264.0,989.0931400000001,6941000
2000-09-05,1245.0,1250.0,1214.0,1220.0,954.662598,9449000
2000-09-06,1200.0,1216.0,1198.0,1201.0,939.794922,8643000
2000-09-07,1200.0,1208.0,1192.0,1205.0,942.9251710000001,9949000
2000-09-08,1210.0,1230.0,1208.0,1225.0,958.5753779999999,9513000
2000-09-11,1205.0,1225.0,1201.0,1211.0,947.6200560000001,11986000
2000-09-12,1206.0,1213.0,1195.0,1202.0,940.577759,6728000
2000-09-13,1208.0,1260.0,1208.0,1259.0,985.1808470000001,8238000
2000-09-14,1295.0,1323.0,1294.0,1315.0,1029.001099,13241000
2000-09-15,1315.0,1315.0,1315.0,1315.0,1029.001099,0
2000-09-18,1300.0,1325.0,1295.0,1311.0,1025.8713380000002,9956000
2000-09-19,1266.0,1277.0,1257.0,1275.0,997.700989,8747000
2000-09-20,1280.0,1309.0,1277.0,1298.0,1015.698669,6452000
2000-09-21,1298.0,1324.0,1278.0,1297.0,1014.91571,6013000
2000-09-22,1263.0,1275.0,1252.0,1260.0,985.9633789999999,7300000
2000-09-25,1280.0,1289.0,1236.0,1240.0,970.312744,4816000
2000-09-26,1245.0,1265.0,1222.0,1224.0,962.0601199999999,4002000
2000-09-27,1204.0,1214.0,1203.0,1207.0,948.6979980000001,4939000
2000-09-28,1219.0,1240.0,1198.0,1206.0,947.9123539999999,5972000
2000-09-29,1246.0,1260.0,1230.0,1254.0,985.640198,8619000
2000-10-02,1220.0,1229.0,1203.0,1229.0,965.98999,7662000
2000-10-03,1215.0,1238.0,1209.0,1230.0,966.776184,7000000
2000-10-04,1243.0,1273.0,1236.0,1265.0,994.2860109999999,5378000
2000-10-05,1275.0,1281.0,1265.0,1265.0,994.2860109999999,3814000
2000-10-06,1264.0,1282.0,1260.0,1275.0,1002.1459960000001,3561000
2000-10-09,1275.0,1275.0,1275.0,1275.0,1002.1459960000001,0
2000-10-10,1265.0,1297.0,1264.0,1285.0,1010.005859,6163000
2000-10-11,1285.0,1285.0,1258.0,1274.0,1001.3598630000001,5885000
2000-10-12,1250.0,1284.0,1249.0,1270.0,998.215942,6918000
2000-10-13,1250.0,1260.0,1241.0,1258.0,988.783691,5921000
2000-10-16,1258.0,1258.0,1258.0,1258.0,988.783691,0
2000-10-17,1275.0,1280.0,1260.0,1280.0,1006.076172,3163000
2000-10-18,1240.0,1240.0,1224.0,1234.0,969.920288,6737000
2000-10-19,1235.0,1245.0,1210.0,1224.0,962.0601199999999,4949000
2000-10-20,1252.0,1255.0,1235.0,1249.0,981.710327,5700000
2000-10-23,1235.0,1249.0,1231.0,1233.0,969.1336060000001,2847000
2000-10-24,1230.0,1236.0,1225.0,1228.0,965.2039789999999,2024000
2000-10-25,1225.0,1225.0,1213.0,1213.0,953.414185,2254000
2000-10-26,1201.0,1235.0,1196.0,1229.0,965.98999,3473000
2000-10-27,1229.0,1229.0,1229.0,1229.0,965.98999,0
2000-10-30,1200.0,1205.0,1178.0,1183.0,929.834106,4063000
2000-10-31,1195.0,1208.0,1162.0,1170.0,919.6162109999999,7628000
2000-11-01,1185.0,1204.0,1181.0,1195.0,939.2661130000001,5650000
2000-11-02,1187.0,1213.0,1184.0,1207.0,948.6979980000001,4252000
2000-11-03,1207.0,1207.0,1207.0,1207.0,948.6979980000001,0
2000-11-06,1229.0,1242.0,1222.0,1241.0,975.422058,4369000
2000-11-07,1244.0,1244.0,1216.0,1225.0,962.845825,3184000
2000-11-08,1220.0,1230.0,1207.0,1224.0,962.0601199999999,4568000
