Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1925.0,1930.0,1885.0,1915.0,1274.900024,1888000
2000-01-05,1875.0,1885.0,1840.0,1885.0,1254.927856,4564000
2000-01-06,1865.0,1865.0,1810.0,1810.0,1204.996826,5352000
2000-01-07,1815.0,1880.0,1795.0,1845.0,1228.298462,5984000
2000-01-10,922.5,922.5,922.5,922.5,614.149231,0
2000-01-11,1920.0,1945.0,1900.0,1920.0,1278.228882,8104000
2000-01-12,1950.0,2050.0,1950.0,2015.0,1341.4748539999998,17496000
2000-01-13,2010.0,2035.0,1970.0,2015.0,1341.4748539999998,5568000
2000-01-14,1990.0,1995.0,1945.0,1975.0,1314.845093,7352000
2000-01-17,1930.0,1950.0,1915.0,1950.0,1298.200806,3408000
2000-01-18,1950.0,1950.0,1905.0,1925.0,1281.557983,5492000
2000-01-19,1885.0,1890.0,1845.0,1865.0,1241.6132810000001,4748000
2000-01-20,1865.0,1865.0,1830.0,1840.0,1224.969849,4296000
2000-01-21,1855.0,1890.0,1840.0,1885.0,1254.927856,4800000
2000-01-24,1905.0,1925.0,1880.0,1880.0,1251.599243,2544000
2000-01-25,1860.0,1860.0,1830.0,1840.0,1224.969849,3552000
2000-01-26,1860.0,1875.0,1815.0,1830.0,1218.3123779999999,3052000
2000-01-27,1825.0,1845.0,1815.0,1815.0,1208.32605,2760000
2000-01-28,1805.0,1815.0,1750.0,1790.0,1191.6821289999998,6672000
2000-01-31,1725.0,1735.0,1690.0,1715.0,1141.751709,8340000
2000-02-01,1750.0,1805.0,1750.0,1800.0,1198.3400880000002,8844000
2000-02-02,1875.0,1930.0,1855.0,1875.0,1248.270142,13924000
2000-02-03,1970.0,2035.0,1960.0,2025.0,1348.13208,18804000
2000-02-04,2075.0,2075.0,2010.0,2040.0,1358.118286,9124000
2000-02-07,2020.0,2020.0,1950.0,1980.0,1318.173828,3780000
2000-02-08,2000.0,2030.0,1990.0,2005.0,1334.817139,6412000
2000-02-09,2035.0,2060.0,2030.0,2040.0,1358.118286,7988000
2000-02-10,2040.0,2070.0,2000.0,2020.0,1344.803711,6112000
2000-02-11,1010.0,1010.0,1010.0,1010.0,672.401855,0
2000-02-14,1875.0,1875.0,1815.0,1860.0,1238.28418,6924000
2000-02-15,1910.0,1915.0,1840.0,1850.0,1231.626587,5196000
2000-02-16,1875.0,1920.0,1865.0,1905.0,1268.243042,5932000
2000-02-17,1900.0,1930.0,1875.0,1930.0,1284.8867189999999,6884000
2000-02-18,1955.0,1975.0,1945.0,1975.0,1314.845093,5736000
2000-02-21,1985.0,2005.0,1980.0,2000.0,1331.4884029999998,6840000
2000-02-22,2000.0,2020.0,1960.0,1975.0,1314.845093,5688000
2000-02-23,1985.0,2000.0,1975.0,2000.0,1331.4884029999998,4192000
2000-02-24,1995.0,1995.0,1945.0,1950.0,1298.200806,4200000
2000-02-25,1900.0,1930.0,1860.0,1925.0,1281.557983,4560000
2000-02-28,1825.0,1850.0,1815.0,1825.0,1214.983398,5420000
2000-02-29,1800.0,1855.0,1770.0,1800.0,1198.3400880000002,6832000
2000-03-01,1780.0,1800.0,1750.0,1790.0,1191.6821289999998,6592000
2000-03-02,1815.0,1830.0,1785.0,1795.0,1195.011108,3724000
2000-03-03,1820.0,1850.0,1800.0,1810.0,1204.996826,3748000
2000-03-06,1830.0,1850.0,1820.0,1820.0,1211.654541,4244000
2000-03-07,1895.0,1900.0,1865.0,1885.0,1254.927856,4772000
2000-03-08,1870.0,1875.0,1850.0,1850.0,1231.626587,3308000
2000-03-09,1900.0,1920.0,1870.0,1890.0,1258.25647,7392000
2000-03-10,1965.0,1990.0,1915.0,1925.0,1281.557983,14340000
2000-03-13,1925.0,1955.0,1915.0,1940.0,1291.544312,4732000
2000-03-14,1930.0,1955.0,1885.0,1900.0,1264.9140630000002,3840000
2000-03-15,1875.0,1875.0,1760.0,1805.0,1201.668701,4668000
2000-03-16,1760.0,1820.0,1755.0,1820.0,1211.654541,6508000
2000-03-17,1870.0,1905.0,1775.0,1850.0,1231.626587,4584000
2000-03-20,925.0,925.0,925.0,925.0,615.8132929999999,0
2000-03-21,1845.0,1850.0,1820.0,1850.0,1231.626587,3892000
2000-03-22,1850.0,1945.0,1845.0,1945.0,1294.872559,4840000
2000-03-23,1930.0,1930.0,1880.0,1920.0,1278.228882,4164000
2000-03-24,1965.0,2000.0,1955.0,1985.0,1321.502441,6876000
2000-03-27,1985.0,2100.0,1985.0,2070.0,1378.09021,5812000
2000-03-28,2070.0,2150.0,2045.0,2115.0,1416.2592769999999,3756000
2000-03-29,2100.0,2150.0,2075.0,2135.0,1429.6521,3684000
2000-03-30,2050.0,2090.0,2030.0,2035.0,1362.689209,4324000
2000-03-31,2010.0,2120.0,2010.0,2120.0,1419.607544,3052000
2000-04-03,2080.0,2130.0,2070.0,2120.0,1419.607544,3712000
2000-04-04,2170.0,2230.0,2150.0,2170.0,1453.088867,6196000
2000-04-05,2195.0,2220.0,2125.0,2170.0,1453.088867,3060000
2000-04-06,2170.0,2190.0,2095.0,2110.0,1412.9116210000002,5272000
2000-04-07,2160.0,2185.0,2110.0,2110.0,1412.9116210000002,2980000
2000-04-10,2130.0,2175.0,2130.0,2165.0,1449.7404789999998,5656000
2000-04-11,2145.0,2150.0,2110.0,2115.0,1416.2592769999999,3848000
2000-04-12,2150.0,2260.0,2150.0,2250.0,1506.658936,7720000
2000-04-13,2225.0,2285.0,2225.0,2250.0,1506.658936,7564000
2000-04-14,2225.0,2310.0,2210.0,2300.0,1540.139893,7876000
2000-04-17,2200.0,2260.0,2145.0,2175.0,1456.43689,4972000
2000-04-18,2175.0,2230.0,2115.0,2230.0,1493.266602,4744000
2000-04-19,2180.0,2190.0,2130.0,2150.0,1439.696045,5064000
2000-04-20,2125.0,2225.0,2115.0,2195.0,1469.829346,6656000
2000-04-21,2220.0,2225.0,2010.0,2075.0,1389.4741210000002,12436000
2000-04-24,2125.0,2280.0,2125.0,2240.0,1499.9626460000002,6128000
2000-04-25,2265.0,2310.0,2250.0,2295.0,1536.792114,4444000
2000-04-26,2320.0,2320.0,2210.0,2280.0,1526.748291,5672000
2000-04-27,2305.0,2460.0,2300.0,2410.0,1613.799194,10332000
2000-04-28,2420.0,2460.0,2400.0,2415.0,1617.1467289999998,8960000
2000-05-01,2390.0,2500.0,2390.0,2470.0,1653.9766849999999,7812000
2000-05-02,2470.0,2470.0,2395.0,2410.0,1613.799194,4352000
2000-05-03,1205.0,1205.0,1205.0,1205.0,806.899597,0
2000-05-04,1205.0,1205.0,1205.0,1205.0,806.899597,0
2000-05-05,1205.0,1205.0,1205.0,1205.0,806.899597,0
2000-05-08,2360.0,2375.0,2325.0,2350.0,1573.621216,5908000
2000-05-09,1175.0,1175.0,1175.0,1175.0,786.810608,0
2000-05-10,2250.0,2350.0,2165.0,2325.0,1556.880249,6276000
2000-05-11,2250.0,2345.0,2205.0,2320.0,1553.532471,5580000
2000-05-12,2340.0,2370.0,2265.0,2300.0,1540.139893,8668000
2000-05-15,2050.0,2050.0,2050.0,2050.0,1372.733398,592000
2000-05-16,1850.0,1915.0,1825.0,1875.0,1255.549316,44316000
2000-05-17,1960.0,2000.0,1945.0,1995.0,1335.904175,18388000
2000-05-18,1945.0,1985.0,1940.0,1985.0,1329.208008,8640000
2000-05-19,1925.0,1995.0,1905.0,1945.0,1302.422852,9368000
2000-05-22,1900.0,1930.0,1860.0,1880.0,1258.897095,4768000
2000-05-23,1880.0,1945.0,1880.0,1920.0,1285.682251,4632000
2000-05-24,1915.0,1970.0,1890.0,1945.0,1302.422852,6016000
2000-05-25,1975.0,1985.0,1950.0,1955.0,1309.119263,6216000
2000-05-26,1905.0,1910.0,1820.0,1850.0,1238.80835,9532000
