Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,509.0,518.0,501.0,503.0,310.7966,2187000
2000-01-05,483.0,492.0,480.0,490.0,302.76409900000004,5203000
2000-01-06,485.0,486.0,448.0,455.0,281.138062,6090000
2000-01-07,450.0,452.0,435.0,440.0,271.86972000000003,6037000
2000-01-10,440.0,440.0,440.0,440.0,271.86972000000003,0
2000-01-11,480.0,495.0,470.0,481.0,297.203094,5549000
2000-01-12,479.0,512.0,472.0,510.0,315.121826,7922000
2000-01-13,499.0,500.0,485.0,488.0,301.528259,3435000
2000-01-14,497.0,499.0,477.0,488.0,301.528259,4432000
2000-01-17,498.0,500.0,494.0,500.0,308.942841,4500000
2000-01-18,495.0,496.0,487.0,490.0,302.76409900000004,1600000
2000-01-19,490.0,495.0,460.0,465.0,287.316925,3304000
2000-01-20,462.0,465.0,453.0,460.0,284.227448,4062000
2000-01-21,455.0,463.0,447.0,450.0,278.048676,3563000
2000-01-24,443.0,448.0,420.0,428.0,264.45507799999996,7966000
2000-01-25,418.0,437.0,417.0,426.0,263.21932999999996,6098000
2000-01-26,430.0,446.0,419.0,446.0,275.577087,4671000
2000-01-27,451.0,454.0,442.0,446.0,275.577087,5050000
2000-01-28,451.0,463.0,447.0,462.0,285.46322599999996,5208000
2000-01-31,457.0,461.0,450.0,456.0,281.755951,4327000
2000-02-01,458.0,466.0,449.0,449.0,277.430695,5879000
2000-02-02,453.0,466.0,442.0,458.0,282.99169900000004,4484000
2000-02-03,463.0,463.0,449.0,450.0,278.048676,2996000
2000-02-04,455.0,459.0,449.0,453.0,279.902252,3082000
2000-02-07,458.0,478.0,443.0,478.0,295.349396,5777000
2000-02-08,483.0,491.0,466.0,486.0,300.292511,10097000
2000-02-09,486.0,503.0,479.0,503.0,310.7966,8080000
2000-02-10,533.0,556.0,518.0,551.0,340.455017,32791000
2000-02-11,551.0,551.0,551.0,551.0,340.455017,0
2000-02-14,561.0,574.0,555.0,564.0,348.487549,19231000
2000-02-15,570.0,573.0,544.0,549.0,339.21936,13066000
2000-02-16,539.0,543.0,525.0,534.0,329.95105,5589000
2000-02-17,534.0,550.0,523.0,550.0,339.837128,6103000
2000-02-18,560.0,560.0,539.0,547.0,337.98358199999996,8214000
2000-02-21,537.0,559.0,533.0,552.0,341.072968,6680000
2000-02-22,552.0,552.0,530.0,532.0,328.715302,4883000
2000-02-23,540.0,550.0,535.0,538.0,332.422577,7039000
2000-02-24,550.0,570.0,545.0,562.0,347.251892,12446000
2000-02-25,565.0,579.0,561.0,568.0,350.959137,11737000
2000-02-28,574.0,593.0,573.0,586.0,362.081055,21401000
2000-02-29,586.0,600.0,577.0,600.0,370.731537,14401000
2000-03-01,607.0,623.0,602.0,608.0,375.674622,20379000
2000-03-02,618.0,625.0,607.0,618.0,381.853394,15788000
2000-03-03,615.0,616.0,585.0,585.0,361.46322599999996,6547000
2000-03-06,598.0,602.0,546.0,550.0,339.837128,7189000
2000-03-07,540.0,557.0,536.0,547.0,337.98358199999996,4711000
2000-03-08,556.0,556.0,542.0,544.0,336.129913,2876000
2000-03-09,546.0,547.0,533.0,535.0,330.568939,3505000
2000-03-10,545.0,549.0,535.0,544.0,336.129913,5785000
2000-03-13,540.0,540.0,515.0,522.0,322.536407,5997000
2000-03-14,511.0,523.0,510.0,515.0,318.211212,5143000
2000-03-15,515.0,538.0,506.0,538.0,332.422577,6065000
2000-03-16,538.0,552.0,526.0,545.0,336.747772,4717000
2000-03-17,557.0,565.0,554.0,560.0,346.016052,6291000
