Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,550.0,550.0,550.0,550.0,409.55,0
2001-01-02,550.0,550.0,550.0,550.0,409.55,0
2001-01-03,550.0,550.0,550.0,550.0,409.55,0
2001-01-04,570.0,572.0,552.0,568.0,422.95,1136000
2001-01-05,566.0,568.0,530.0,548.0,408.06,1283000
2001-01-08,548.0,548.0,548.0,548.0,408.06,0
2001-01-09,543.0,543.0,526.0,531.0,395.4,1411000
2001-01-10,526.0,526.0,503.0,510.0,379.76,2008000
2001-01-11,510.0,513.0,497.0,509.0,379.02,2333000
2001-01-12,515.0,545.0,511.0,543.0,404.34,2809000
2001-01-15,546.0,552.0,524.0,545.0,405.83,1557000
2001-01-16,548.0,548.0,525.0,534.0,397.63,879000
2001-01-17,525.0,539.0,521.0,539.0,401.36,1095000
2001-01-18,520.0,527.0,518.0,526.0,391.68,1312000
2001-01-19,530.0,530.0,502.0,502.0,373.81,1458000
2001-01-22,518.0,518.0,505.0,510.0,379.76,954000
2001-01-23,508.0,525.0,504.0,521.0,387.95,1393000
2001-01-24,524.0,524.0,510.0,513.0,382.0,582000
2001-01-25,510.0,512.0,507.0,512.0,381.25,793000
2001-01-26,516.0,530.0,513.0,529.0,393.91,1405000
2001-01-29,532.0,543.0,522.0,543.0,404.34,1711000
2001-01-30,540.0,540.0,530.0,539.0,401.36,1238000
2001-01-31,531.0,537.0,522.0,531.0,395.4,1329000
2001-02-01,528.0,530.0,524.0,530.0,394.66,963000
2001-02-02,528.0,529.0,520.0,525.0,390.93,1105000
2001-02-05,524.0,528.0,516.0,527.0,392.42,1133000
2001-02-06,518.0,529.0,518.0,521.0,387.95,1311000
2001-02-07,528.0,533.0,525.0,527.0,392.42,1218000
2001-02-08,532.0,534.0,521.0,528.0,393.17,1191000
2001-02-09,528.0,535.0,528.0,530.0,394.66,1511000
2001-02-13,539.0,545.0,531.0,542.0,403.59,2149000
2001-02-14,549.0,573.0,546.0,572.0,425.93,3599000
