Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,230.62,237.5,229.38,237.5,1528.56,1305600
2005-09-30,243.75,251.25,239.38,250.0,1609.01,1862400
2005-10-03,253.12,269.38,251.25,264.38,1701.53,2936000
2005-10-04,266.25,268.12,259.38,263.12,1693.49,1129600
2005-10-05,260.62,261.25,253.12,256.25,1649.24,963200
2005-10-06,253.75,254.38,247.5,249.38,1604.99,1217600
2005-10-07,243.75,255.62,243.75,250.0,1609.01,798400
2005-10-11,250.62,251.88,245.0,251.88,1621.08,443200
2005-10-12,251.88,253.12,249.38,253.12,1629.13,600000
2005-10-13,253.12,253.75,249.38,253.75,1633.15,486400
2005-10-14,253.75,253.75,249.38,250.0,1609.01,476800
2005-10-17,250.0,252.5,243.75,247.5,1592.92,728000
2005-10-18,249.38,250.0,246.25,247.5,1592.92,528000
2005-10-19,249.38,251.25,245.0,246.88,1588.9,689600
2005-10-20,248.75,253.12,246.25,251.25,1617.06,560000
2005-10-21,251.88,251.88,248.12,249.38,1604.99,452800
2005-10-24,250.0,250.0,247.5,247.5,1592.92,216000
2005-10-25,246.88,250.0,246.25,246.88,1588.9,209600
2005-10-26,246.88,250.62,246.88,249.38,1604.99,345600
2005-10-27,250.0,251.25,249.38,250.62,1613.04,328000
2005-10-28,248.75,249.38,246.25,246.25,1584.88,265600
2005-10-31,248.12,250.0,248.12,250.0,1609.01,326400
2005-11-01,250.0,250.62,248.75,249.38,1604.99,126400
2005-11-02,250.0,250.62,245.62,248.12,1596.95,411200
2005-11-04,248.12,248.75,246.25,248.75,1600.97,216000
2005-11-07,248.75,248.75,246.25,247.5,1592.92,172800
2005-11-08,246.25,247.5,244.38,246.25,1584.88,214400
2005-11-09,246.25,246.25,241.25,242.5,1560.74,256000
2005-11-10,236.25,241.88,236.25,239.38,1540.63,337600
2005-11-11,240.0,243.12,238.12,240.62,1548.68,1252800
2005-11-14,243.75,243.75,240.62,241.88,1556.72,388800
2005-11-15,241.88,241.88,235.62,236.25,1520.52,632000
2005-11-16,236.25,236.88,231.88,232.5,1496.38,684800
2005-11-17,235.62,237.5,233.12,237.5,1528.56,638400
2005-11-18,239.38,241.25,233.12,236.88,1524.54,1172800
2005-11-21,236.25,236.25,232.5,233.12,1500.4,692800
2005-11-22,234.38,234.38,227.5,229.38,1476.27,1438400
2005-11-24,230.0,231.25,226.25,226.88,1460.18,1156800
2005-11-25,226.88,233.75,226.25,233.12,1500.4,1259200
2005-11-28,235.0,235.62,230.0,231.25,1488.34,763200
2005-11-29,231.25,233.12,228.75,230.0,1480.29,606400
2005-11-30,228.75,229.38,220.62,220.62,1419.95,2008000
2005-12-01,225.0,243.12,222.5,243.12,1564.77,5272000
2005-12-02,242.5,242.5,235.62,238.12,1532.59,2217600
2005-12-05,238.75,240.62,237.5,239.38,1540.63,1676800
2005-12-06,241.88,242.5,236.25,236.25,1520.52,2206400
2005-12-07,236.88,240.62,236.88,238.12,1532.59,1409600
2005-12-08,239.38,240.0,235.62,235.62,1516.49,3280000
2005-12-12,240.0,240.62,238.75,239.38,1540.63,2238400
2005-12-13,242.5,248.75,241.88,248.12,1596.95,4774400
2005-12-14,251.25,262.5,251.25,261.88,1685.44,6260800
2005-12-15,261.88,290.0,258.12,283.75,1826.23,11387200
2005-12-16,289.38,313.12,284.38,312.5,2011.27,14094400
2005-12-19,315.62,328.12,301.25,301.88,1942.88,10481600
2005-12-20,298.75,310.62,289.38,306.25,1971.04,3948800
2005-12-21,312.5,337.5,311.88,337.5,2172.17,8712000
2005-12-27,338.12,340.0,326.25,326.88,2103.78,2169600
2005-12-28,321.88,349.38,319.38,345.62,2224.46,5150400
2005-12-29,350.0,372.5,346.88,368.12,2369.27,7870400
2005-12-30,377.5,377.5,356.88,361.25,2325.02,2969600
2006-01-04,373.75,373.75,356.88,358.12,2304.91,1524800
2006-01-05,356.25,360.62,344.38,345.0,2220.44,2280000
2006-01-06,346.88,360.62,346.88,355.0,2284.8,1992000
2006-01-10,356.25,356.88,338.12,340.0,2188.26,1720000
2006-01-11,335.0,345.0,322.5,342.5,2204.35,1993600
2006-01-12,340.62,340.62,331.25,340.0,2188.26,1332800
2006-01-13,340.62,372.5,335.0,361.88,2329.05,5105600
2006-01-16,366.88,371.25,363.12,365.62,2353.18,2953600
2006-01-17,334.38,362.5,320.62,325.0,2091.72,4649600
2006-01-18,287.5,288.75,262.5,270.0,1737.73,7484800
2006-01-19,268.75,301.25,268.75,301.25,1938.86,4865600
2006-01-20,326.25,326.25,300.0,303.75,1954.95,4372800
2006-01-23,287.5,288.75,272.5,276.88,1781.98,2641600
2006-01-24,298.75,308.12,288.12,307.5,1979.09,2603200
2006-01-25,314.38,318.75,309.38,309.38,1991.15,1932800
2006-01-26,318.75,318.75,310.62,311.25,2003.22,1344000
2006-01-27,317.5,317.5,311.88,316.25,2035.4,1124800
2006-01-30,322.5,323.75,316.88,317.5,2043.45,1200000
2006-01-31,317.5,318.75,306.25,309.38,1991.15,1184000
2006-02-01,305.62,315.0,305.62,310.62,1999.2,763200
2006-02-02,313.12,315.62,305.0,306.88,1975.06,873600
2006-02-03,309.38,310.62,302.5,309.38,1991.15,553600
2006-02-06,312.5,314.38,306.25,313.75,2019.31,1112000
2006-02-07,318.12,340.0,313.75,337.5,2172.17,3896000
2006-02-08,334.38,349.38,325.0,326.25,2099.76,3494400
2006-02-09,333.12,334.38,319.38,321.88,2071.6,1393600
2006-02-10,323.12,330.0,291.88,310.0,1995.18,2185600
2006-02-13,301.25,302.5,278.75,280.0,1802.09,3379200
2006-02-14,280.0,295.0,255.0,292.5,1882.55,3555200
2006-02-15,298.12,300.0,275.62,279.38,1798.07,1889600
2006-02-16,273.12,273.12,256.25,257.5,1657.28,4763200
2006-02-17,258.12,267.5,255.0,255.62,1645.22,3236800
2006-02-20,248.12,255.0,232.5,246.25,1584.88,3372800
2006-02-21,249.38,277.5,246.88,277.5,1786.0,3718400
