Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,2400.0,2516.67,2383.33,2400.0,-15638709248.0,4926600
2000-01-05,2316.67,2416.67,2283.33,2366.67,-15421531136.0,3225600
2000-01-06,2400.0,2433.33,2300.0,2333.33,-15204278272.0,4278000
2000-01-07,2266.67,2266.67,2183.33,2200.0,-14335484928.0,6285600
2000-01-10,2200.0,2200.0,2200.0,2200.0,-14335484928.0,0
2000-01-11,2300.0,2333.33,2250.0,2266.67,-14769911808.0,5393400
2000-01-12,2216.67,2233.33,2150.0,2183.33,-14226863104.0,4602600
2000-01-13,2150.0,2166.67,2033.33,2083.33,-13575250944.0,5423400
2000-01-14,2100.0,2116.67,2033.33,2066.67,-13466683392.0,4999800
2000-01-17,2133.33,2166.67,2100.0,2133.33,-13901059072.0,6234000
2000-01-18,2166.67,2166.67,2050.0,2100.0,-13683873792.0,3696000
2000-01-19,2100.0,2116.67,2066.67,2100.0,-13683873792.0,2999400
2000-01-20,2116.67,2166.67,2116.67,2116.67,-13792493568.0,4534800
2000-01-21,2133.33,2133.33,2033.33,2050.0,-13358067712.0,3354600
2000-01-24,2050.0,2083.33,2033.33,2083.33,-13575250944.0,2682600
2000-01-25,2066.67,2100.0,2033.33,2050.0,-13358067712.0,3615600
2000-01-26,2066.67,2083.33,2016.67,2050.0,-13358067712.0,2560200
2000-01-27,2050.0,2133.33,2050.0,2083.33,-13575250944.0,5578800
2000-01-28,2116.67,2116.67,2083.33,2083.33,-13575250944.0,2309400
2000-01-31,2100.0,2100.0,2033.33,2033.33,-13249442816.0,2794800
2000-02-01,2033.33,2050.0,2000.0,2016.67,-13140878336.0,2556000
2000-02-02,2033.33,2050.0,2016.67,2033.33,-13249442816.0,3854400
2000-02-03,2050.0,2066.67,2016.67,2050.0,-13358067712.0,3153000
2000-02-04,2066.67,2116.67,2050.0,2083.33,-13575250944.0,5527200
2000-02-07,2116.67,2166.67,2100.0,2150.0,-14009680896.0,6704400
2000-02-08,2183.33,2200.0,2150.0,2166.67,-14118302720.0,4338600
2000-02-09,2200.0,2200.0,2100.0,2116.67,-13792493568.0,3862200
2000-02-10,2083.33,2100.0,2033.33,2066.67,-13466683392.0,2716800
2000-02-11,2066.67,2066.67,2066.67,2066.67,-13466683392.0,0
2000-02-14,2033.33,2066.67,1983.33,1983.33,-12923631616.0,3700800
2000-02-15,2016.67,2033.33,1950.0,1966.67,-12815078400.0,5115600
2000-02-16,1933.33,1966.67,1916.67,1916.67,-12489267200.0,2825400
2000-02-17,1950.0,1966.67,1916.67,1950.0,-12706455552.0,3654600
2000-02-18,1983.33,2016.67,1950.0,2000.0,-13032259584.0,4123800
2000-02-21,1950.0,1966.67,1850.0,1883.33,-12272019456.0,6104400
2000-02-22,1850.0,1866.67,1733.33,1766.67,-11511854080.0,4881000
2000-02-23,1750.0,1833.33,1733.33,1833.33,-11946215424.0,5286000
2000-02-24,1866.67,1866.67,1783.33,1800.0,-11729028096.0,3109800
2000-02-25,1833.33,1850.0,1800.0,1816.67,-11837655040.0,3712800
2000-02-28,1783.33,1800.0,1716.67,1750.0,-11403224064.0,5489400
2000-02-29,1733.33,1733.33,1666.67,1700.0,-11077417984.0,4539000
2000-03-01,1666.67,1733.33,1663.33,1716.67,-11186041856.0,6921000
2000-03-02,1733.33,1816.67,1700.0,1766.67,-11511854080.0,3769200
2000-03-03,1733.33,1750.0,1660.0,1666.67,-10860238848.0,7836000
2000-03-06,1683.33,1683.33,1593.33,1633.33,-10642993152.0,4053600
2000-03-07,1600.0,1616.67,1566.67,1616.67,-10534432768.0,2536800
2000-03-08,1550.0,1590.0,1491.67,1516.67,-9882819584.0,5356800
2000-03-09,1483.33,1515.0,1478.33,1515.0,-9871937536.0,5420400
2000-03-10,1486.67,1505.0,1475.0,1496.67,-9752497152.0,7949400
2000-03-13,1496.67,1500.0,1330.0,1330.0,-8666451968.0,3639000
2000-03-14,1333.33,1466.67,1330.0,1466.67,-9557012480.0,8139600
2000-03-15,1466.67,1543.33,1366.67,1543.33,-10056535040.0,7792800
2000-03-16,1541.67,1581.67,1460.0,1581.67,-10306366464.0,5512200
2000-03-17,1615.0,1663.33,1581.67,1616.67,-10534432768.0,5620200
2000-03-20,1616.67,1616.67,1616.67,1616.67,-10534432768.0,0
2000-03-21,1600.0,1600.0,1558.33,1566.67,-10208625664.0,3633600
2000-03-22,1558.33,1565.0,1466.67,1483.33,-9665571840.0,2755800
2000-03-23,1500.0,1516.67,1433.33,1443.33,-9404924928.0,3054600
2000-03-24,1401.67,1413.33,1380.0,1400.0,-9122581504.0,4310400
2000-03-27,1400.0,1400.0,1333.33,1350.0,-8796773376.0,2870400
2000-03-28,1365.0,1433.33,1363.33,1428.33,-27614717952.0,1706400
2000-03-29,1435.0,1463.33,1423.33,1441.67,-27872630784.0,3567600
2000-03-30,1491.67,1546.67,1476.67,1483.33,-28678068224.0,5188800
2000-03-31,1450.0,1465.0,1316.67,1398.33,-27034707968.0,4702200
2000-04-03,1381.67,1483.33,1381.67,1463.33,-28291397632.0,3240000
2000-04-04,1465.0,1475.0,1376.67,1405.0,-27163668480.0,2498400
2000-04-05,1405.0,1470.0,1385.0,1450.0,-28033673216.0,2280600
2000-04-06,1533.33,1583.33,1483.33,1513.33,-29258072064.0,5481000
2000-04-07,1583.33,1683.33,1575.0,1683.33,-32544778240.0,9393600
2000-04-10,1783.33,1883.33,1766.67,1866.67,-36089405440.0,8599800
2000-04-11,1816.67,1900.0,1783.33,1866.67,-36089405440.0,6612600
2000-04-12,1883.33,1933.33,1866.67,1916.67,-37056069632.0,6620400
2000-04-13,1850.0,1866.67,1733.33,1816.67,-35122712576.0,8262600
2000-04-14,1750.0,1866.67,1733.33,1850.0,-35767103488.0,6276600
2000-04-17,1883.33,1900.0,1658.33,1766.67,-34156050432.0,15579000
2000-04-18,1866.67,1916.67,1783.33,1916.67,-37056069632.0,10597800
2000-04-19,1916.67,2066.67,1916.67,2016.67,-38989422592.0,12391800
2000-04-20,2083.33,2166.67,2066.67,2166.67,-41889472512.0,16583400
2000-04-21,2166.67,2350.0,2133.33,2350.0,-45433892864.0,46534800
2000-04-24,2216.67,2250.0,2150.0,2166.67,-41889472512.0,16369800
2000-04-25,2133.33,2200.0,2100.0,2100.0,-40600506368.0,11433600
2000-04-26,2116.67,2133.33,2033.33,2133.33,-41244905472.0,11501400
2000-04-27,2066.67,2083.33,1950.0,2000.0,-38667145216.0,9760800
2000-04-28,2000.0,2150.0,2000.0,2066.67,-39956094976.0,9103800
2000-05-01,2066.67,2150.0,2033.33,2150.0,-41567186944.0,3265200
2000-05-02,2183.33,2200.0,2150.0,2166.67,-41889472512.0,4172400
2000-05-03,2166.67,2166.67,2166.67,2166.67,-41889472512.0,0
2000-05-04,2166.67,2166.67,2166.67,2166.67,-41889472512.0,0
2000-05-05,2166.67,2166.67,2166.67,2166.67,-41889472512.0,0
2000-05-08,2116.67,2150.0,2016.67,2016.67,-38989422592.0,5440200
2000-05-09,2016.67,2016.67,2016.67,2016.67,-38989422592.0,0
2000-05-10,1966.67,1983.33,1883.33,1950.0,-37700472832.0,6587400
2000-05-11,1816.67,1833.33,1683.33,1683.33,-32544778240.0,6511200
2000-05-12,1816.67,1866.67,1766.67,1800.0,-34800414720.0,9636600
2000-05-15,1850.0,1866.67,1800.0,1866.67,-36089405440.0,4015200
2000-05-16,1833.33,1850.0,1766.67,1783.33,-34478149632.0,4197600
2000-05-17,1766.67,1783.33,1630.0,1666.67,-32222689280.0,8872800
2000-05-18,1666.67,1683.33,1651.67,1655.0,-31997061120.0,6601800
2000-05-19,1618.33,1620.0,1530.0,1538.33,-29741410304.0,6289800
2000-05-22,1605.0,1658.33,1593.33,1651.67,-31932686336.0,4117200
2000-05-23,1666.67,1700.0,1600.0,1651.67,-31932686336.0,4246800
2000-05-24,1535.0,1575.0,1533.33,1550.0,-29967034368.0,6148200
2000-05-25,1650.0,1683.33,1641.67,1656.67,-32029353984.0,5562000
2000-05-26,1658.33,1661.67,1570.0,1586.67,-30675998720.0,4733400
2000-05-29,1603.33,1716.67,1603.33,1683.33,-32544778240.0,4584600
2000-05-30,1683.33,1683.33,1683.33,1683.33,-32544778240.0,0
2000-05-31,1833.33,1883.33,1750.0,1833.33,-35444817920.0,9988800
2000-06-01,1833.33,1833.33,1750.0,1833.33,-35444817920.0,3726000
2000-06-02,1816.67,1833.33,1766.67,1800.0,-34800414720.0,3018000
2000-06-05,1866.67,1966.67,1816.67,1916.67,-37056069632.0,4604400
2000-06-06,1866.67,1900.0,1833.33,1866.67,-36089405440.0,3643800
2000-06-07,1833.33,1883.33,1833.33,1866.67,-36089405440.0,3670200
2000-06-08,1766.67,1783.33,1700.0,1716.67,-33189355520.0,3785400
2000-06-09,1650.0,1683.33,1638.33,1643.33,-31771435008.0,14680800
2000-06-12,1666.67,1683.33,1611.67,1625.0,-31417053184.0,3002400
2000-06-13,1583.33,1591.67,1500.0,1516.67,-29322651648.0,5175000
2000-06-14,1516.67,1533.33,1445.0,1505.0,-29097021440.0,6305400
2000-06-15,1516.67,1593.33,1508.33,1581.67,-30579329024.0,5911800
2000-06-16,1583.33,1586.67,1525.0,1538.33,-29741410304.0,2339400
2000-06-19,1571.67,1581.67,1541.67,1571.67,-30385999872.0,2689200
2000-06-20,1605.0,1616.67,1586.67,1616.67,-31256010752.0,2866800
2000-06-21,1583.33,1683.33,1541.67,1660.0,-32093732864.0,3559200
2000-06-22,1683.33,1733.33,1666.67,1700.0,-32867065856.0,5409600
2000-06-23,1683.33,1750.0,1658.33,1716.67,-33189355520.0,10022400
2000-06-26,1700.0,1733.33,1635.0,1655.0,-31997061120.0,2062200
2000-06-27,1666.67,1700.0,1653.33,1700.0,-32867065856.0,1637400
2000-06-28,1683.33,1716.67,1666.67,1716.67,-33189355520.0,1974000
2000-06-29,1716.67,1733.33,1666.67,1700.0,-32867065856.0,1672800
2000-06-30,1683.33,1716.67,1666.67,1700.0,-32867065856.0,2087400
2000-07-03,1716.67,1800.0,1716.67,1800.0,-34800414720.0,3746400
2000-07-04,1816.67,1816.67,1766.67,1766.67,-34156050432.0,3900000
2000-07-05,1766.67,1783.33,1683.33,1700.0,-32867065856.0,2957400
2000-07-06,1666.67,1666.67,1640.0,1665.0,-32190400512.0,3009600
2000-07-07,1683.33,1683.33,1655.0,1658.33,-32061442048.0,4013400
2000-07-10,1666.67,1666.67,1593.33,1611.67,-31159339008.0,4062600
2000-07-11,1625.0,1626.67,1611.67,1615.0,-31223715840.0,2517600
2000-07-12,1616.67,1616.67,1575.0,1595.0,-30837041152.0,2500800
2000-07-13,1611.67,1625.0,1591.67,1595.0,-30837041152.0,4113600
2000-07-14,1583.33,1600.0,1498.33,1531.67,-29612648448.0,7058400
2000-07-17,1581.67,1610.0,1571.67,1583.33,-30611431424.0,3526200
2000-07-18,1591.67,1595.0,1570.0,1570.0,-30353711104.0,4084800
2000-07-19,1591.67,1595.0,1570.0,1570.0,-30353711104.0,4084800
2000-07-20,1570.0,1570.0,1570.0,1570.0,-30353711104.0,0
2000-07-21,1600.0,1606.67,1583.33,1583.33,-30611431424.0,2353800
2000-07-24,1556.67,1575.0,1548.33,1561.67,-30192652288.0,2363400
2000-07-25,1575.0,1586.67,1560.0,1581.67,-30579329024.0,3408600
2000-07-26,1575.0,1580.0,1510.0,1516.67,-29322651648.0,2772000
2000-07-27,1516.67,1543.33,1508.33,1531.67,-29612648448.0,3676200
2000-07-28,1516.67,1525.0,1503.33,1505.0,-29097021440.0,3065400
2000-07-31,1471.67,1478.33,1416.67,1416.67,-27389286400.0,3228600
2000-08-01,1416.67,1441.67,1395.0,1408.33,-27228045312.0,6304200
2000-08-02,1438.33,1450.0,1415.0,1418.33,-27421382656.0,2947800
2000-08-03,1451.67,1451.67,1408.33,1425.0,-27550328832.0,2314200
2000-08-04,1441.67,1441.67,1376.67,1376.67,-26615949312.0,3651000
2000-08-07,1381.67,1398.33,1331.67,1366.67,-26422616064.0,3177600
2000-08-08,1350.0,1365.0,1330.0,1336.67,-25842601984.0,4583400
2000-08-09,1348.33,1371.67,1341.67,1353.33,-26164699136.0,3261600
2000-08-10,1366.67,1366.67,1333.33,1333.33,-25778028544.0,2154000
2000-08-11,1300.0,1333.33,1291.67,1315.0,-25423654912.0,7747800
2000-08-14,1308.33,1321.67,1266.67,1293.33,-25004691456.0,3985200
2000-08-15,1300.0,1303.33,1268.33,1281.67,-24779268096.0,3975000
2000-08-16,1266.67,1280.0,1238.33,1245.0,-24070297600.0,4913400
2000-08-17,1211.67,1216.67,1160.0,1171.67,-22652559360.0,10220400
2000-08-18,1171.67,1241.67,1158.33,1240.0,-23973632000.0,8311200
2000-08-21,1256.67,1286.67,1246.67,1278.33,-24714682368.0,7656600
2000-08-22,1300.0,1365.0,1280.0,1365.0,-26390321152.0,6436200
2000-08-23,1375.0,1456.67,1358.33,1455.0,-28130344960.0,11068800
2000-08-24,1448.33,1458.33,1391.67,1396.67,-27002619904.0,5893800
2000-08-25,1408.33,1456.67,1383.33,1456.67,-28162633728.0,3426600
2000-08-28,1441.67,1543.33,1416.67,1518.33,-29354741760.0,7398600
2000-08-29,1501.67,1513.33,1463.33,1470.0,-28420349952.0,3380400
2000-08-30,1436.67,1436.67,1378.33,1380.0,-26680332288.0,2881200
2000-08-31,1380.0,1408.33,1373.33,1400.0,-27066998784.0,2807400
2000-09-01,1416.67,1425.0,1378.33,1383.33,-26744707072.0,2095200
2000-09-04,1383.33,1408.33,1376.67,1376.67,-26615949312.0,1381200
2000-09-05,1378.33,1408.33,1376.67,1376.67,-26615949312.0,3649800
2000-09-06,1376.67,1376.67,1338.33,1350.0,-26100318208.0,3307800
2000-09-07,1333.33,1351.67,1323.33,1333.33,-25778028544.0,3482400
2000-09-08,1333.33,1350.0,1258.33,1286.67,-24875929600.0,13777200
2000-09-11,1266.67,1295.0,1266.67,1280.0,-24746973184.0,4059600
2000-09-12,1270.0,1271.67,1246.67,1250.0,-24166963200.0,3891600
2000-09-13,1253.33,1323.33,1253.33,1308.33,-25294692352.0,3660000
2000-09-14,1358.33,1385.0,1346.67,1360.0,-26293655552.0,7044600
2000-09-15,1360.0,1360.0,1360.0,1360.0,-26293655552.0,0
2000-09-18,1376.67,1388.33,1316.67,1350.0,-26100318208.0,5321400
2000-09-19,1323.33,1331.67,1305.0,1315.0,-25423654912.0,3052800
2000-09-20,1331.67,1376.67,1320.0,1355.0,-26196983808.0,5034000
2000-09-21,1365.0,1365.0,1325.0,1333.33,-25778028544.0,3381000
2000-09-22,1283.33,1295.0,1250.0,1256.67,-24295923712.0,4939200
2000-09-25,1270.0,1275.0,1183.33,1208.33,-23361329152.0,6458400
2000-09-26,1190.0,1198.33,1161.67,1188.33,-88599797760.0,7515000
2000-09-27,1183.33,1183.33,1155.0,1171.67,-87357652992.0,3341400
2000-09-28,1148.33,1156.67,1075.0,1083.33,-80771162112.0,5974800
2000-09-29,1100.0,1191.67,1070.0,1183.33,-88227012608.0,8391600
2000-10-02,1150.0,1150.0,1078.33,1125.0,-83878019072.0,7740600
2000-10-03,1116.67,1118.33,1088.33,1098.33,-81889550336.0,4365000
2000-10-04,1098.33,1140.0,1086.67,1140.0,-84996440064.0,4372200
2000-10-05,1173.33,1241.67,1170.0,1213.33,-90463756288.0,8950800
2000-10-06,1221.67,1236.67,1173.33,1190.0,-88724307968.0,3655800
2000-10-09,1190.0,1190.0,1190.0,1190.0,-88724307968.0,0
2000-10-10,1150.0,1190.0,1141.67,1178.33,-87854219264.0,2453400
2000-10-11,1145.0,1155.0,1130.0,1140.0,-84996440064.0,2511000
2000-10-12,1103.33,1116.67,1080.0,1095.0,-81641324544.0,4704000
2000-10-13,1061.67,1066.67,1025.0,1046.67,-78037893120.0,7559400
2000-10-16,1046.67,1046.67,1046.67,1046.67,-78037893120.0,0
2000-10-17,1083.33,1136.67,1075.0,1128.33,-84126294016.0,4927200
2000-10-18,1116.67,1116.67,1071.67,1083.33,-80771162112.0,4771200
2000-10-19,1071.67,1078.33,1033.33,1033.33,-77043269632.0,3098400
2000-10-20,1083.33,1093.33,991.67,1021.67,-76173918208.0,6679200
2000-10-23,1038.33,1091.67,1011.67,1021.67,-76173918208.0,6496200
2000-10-24,1021.67,1023.33,996.67,1011.67,-75428356096.0,2751000
2000-10-25,978.33,993.33,931.67,941.67,-70209044480.0,6817200
2000-10-26,891.67,920.0,883.33,908.33,-67723739136.0,5572800
2000-10-27,908.33,908.33,908.33,908.33,-67723739136.0,0
2000-10-30,883.33,896.67,851.67,865.0,-64492883968.0,4393800
2000-10-31,848.33,858.33,840.0,853.33,-63623020544.0,3974400
2000-11-01,866.67,960.0,861.67,940.0,-70084763648.0,8332200
2000-11-02,906.67,935.0,893.33,923.33,-68842078208.0,4318800
2000-11-03,923.33,923.33,923.33,923.33,-68842078208.0,0
2000-11-06,956.67,978.33,948.33,968.33,-72197234688.0,4762200
2000-11-07,976.67,1006.67,968.33,996.67,-74309713920.0,4029600
2000-11-08,966.67,1016.67,961.67,991.67,-73936945152.0,5045400
2000-11-09,958.33,986.67,950.0,963.33,-71824416768.0,3831600
2000-11-10,946.67,958.33,931.67,958.33,-71451631616.0,5283000
2000-11-13,896.67,901.67,876.67,895.0,-66729623552.0,3655800
2000-11-14,878.33,906.67,868.33,876.67,-65362763776.0,2241600
2000-11-15,896.67,906.67,851.67,856.67,-63871590400.0,4588800
2000-11-16,840.0,858.33,818.33,818.33,-61013475328.0,4689600
2000-11-17,801.67,830.0,800.0,830.0,-61883359232.0,9923400
2000-11-20,828.33,828.33,813.33,818.33,-61013475328.0,2592000
2000-11-21,801.67,823.33,770.0,783.33,-58403942400.0,6561000
2000-11-22,791.67,805.0,783.33,796.67,-59398078464.0,2595600
2000-11-23,796.67,796.67,796.67,796.67,-59398078464.0,0
2000-11-24,780.0,791.67,770.0,771.67,-57534140416.0,3529800
2000-11-27,786.67,813.33,773.33,801.67,-59770888192.0,5504400
2000-11-28,808.33,841.67,808.33,828.33,-61759066112.0,4091400
2000-11-29,803.33,825.0,800.0,823.33,-61386260480.0,3391200
2000-11-30,840.0,876.67,833.33,870.0,-64865681408.0,5683200
2000-12-01,866.67,1036.67,861.67,990.0,-73812688896.0,11301000
2000-12-04,1023.33,1038.33,983.33,1006.67,-75055554560.0,4884600
2000-12-05,1023.33,1023.33,925.0,950.0,-70830350336.0,5544000
2000-12-06,983.33,1020.0,978.33,1006.67,-75055554560.0,5019000
2000-12-07,1000.0,1000.0,963.33,976.67,-72818589696.0,2479800
2000-12-08,1010.0,1078.33,1001.67,1066.67,-79529041920.0,20481000
2000-12-11,1050.0,1158.33,1036.67,1123.33,-83753508864.0,11640000
2000-12-12,1140.0,1140.0,1101.67,1116.67,-83256958976.0,4036200
