Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,674.0,699.0,668.0,691.0,511.63,3592000
2000-01-05,671.0,680.0,655.0,680.0,503.48,5472000
2000-01-06,680.0,680.0,650.0,666.0,493.12,3990000
2000-01-07,676.0,693.0,666.0,691.0,511.63,7633000
2000-01-10,691.0,691.0,691.0,691.0,511.63,0
2000-01-11,706.0,715.0,696.0,715.0,529.4,10224000
2000-01-12,706.0,708.0,695.0,700.0,518.29,6542000
2000-01-13,701.0,707.0,695.0,699.0,517.55,4580000
2000-01-14,700.0,702.0,684.0,700.0,518.29,6994000
2000-01-17,690.0,700.0,684.0,686.0,507.93,3453000
2000-01-18,686.0,686.0,673.0,677.0,501.26,2868000
2000-01-19,667.0,675.0,658.0,661.0,489.42,1997000
2000-01-20,651.0,661.0,639.0,645.0,477.57,2926000
2000-01-21,642.0,644.0,630.0,640.0,473.87,2108000
2000-01-24,638.0,658.0,632.0,641.0,474.61,3748000
2000-01-25,631.0,635.0,620.0,620.0,459.06,4514000
2000-01-26,660.0,717.0,651.0,695.0,514.59,13730000
2000-01-27,725.0,752.0,714.0,746.0,552.35,24564000
2000-01-28,752.0,752.0,718.0,729.0,539.77,7270000
2000-01-31,729.0,746.0,725.0,742.0,549.39,4703000
2000-02-01,739.0,758.0,731.0,756.0,559.76,7829000
2000-02-02,758.0,763.0,742.0,742.0,549.39,8511000
2000-02-03,768.0,800.0,766.0,800.0,592.33,21037000
2000-02-04,800.0,810.0,785.0,810.0,599.74,9787000
2000-02-07,840.0,910.0,830.0,900.0,666.38,20690000
2000-02-08,910.0,915.0,865.0,885.0,655.27,13299000
2000-02-09,890.0,893.0,838.0,860.0,636.76,6731000
2000-02-10,899.0,900.0,880.0,880.0,651.57,7535000
2000-02-11,880.0,880.0,880.0,880.0,651.57,0
2000-02-14,860.0,866.0,856.0,859.0,636.02,4267000
2000-02-15,839.0,845.0,810.0,829.0,613.81,6096000
2000-02-16,820.0,905.0,810.0,905.0,670.08,13359000
2000-02-17,885.0,904.0,867.0,900.0,666.38,12419000
2000-02-18,900.0,903.0,880.0,887.0,656.75,4124000
2000-02-21,867.0,876.0,850.0,860.0,636.76,2823000
2000-02-22,850.0,855.0,830.0,840.0,621.95,2084000
2000-02-23,842.0,848.0,814.0,848.0,627.88,4463000
2000-02-24,856.0,860.0,843.0,850.0,629.36,4254000
2000-02-25,860.0,892.0,850.0,866.0,641.2,4967000
2000-02-28,912.0,950.0,910.0,938.0,694.51,20416000
2000-02-29,940.0,999.0,933.0,973.0,720.43,22777000
2000-03-01,1000.0,1006.0,934.0,989.0,732.27,12902000
2000-03-02,985.0,988.0,960.0,960.0,710.8,3413000
2000-03-03,950.0,960.0,930.0,945.0,699.7,3251000
2000-03-06,950.0,959.0,915.0,915.0,677.48,3133000
2000-03-07,917.0,960.0,883.0,910.0,673.78,5732000
2000-03-08,915.0,944.0,915.0,927.0,686.37,4012000
2000-03-09,931.0,945.0,925.0,927.0,686.37,2843000
2000-03-10,947.0,960.0,930.0,960.0,710.8,8148000
2000-03-13,950.0,960.0,920.0,938.0,694.51,6064000
2000-03-14,908.0,917.0,883.0,883.0,653.79,5015000
2000-03-15,833.0,865.0,828.0,850.0,629.36,7426000
2000-03-16,862.0,930.0,862.0,930.0,688.59,5675000
2000-03-17,949.0,960.0,922.0,960.0,710.8,7391000
2000-03-20,960.0,960.0,960.0,960.0,710.8,0
2000-03-21,970.0,990.0,945.0,948.0,701.92,6938000
2000-03-22,950.0,966.0,947.0,965.0,714.5,6437000
2000-03-23,955.0,960.0,926.0,960.0,710.8,4175000
2000-03-24,970.0,971.0,955.0,960.0,710.8,5751000
2000-03-27,960.0,964.0,941.0,950.0,703.4,3233000
2000-03-28,950.0,960.0,945.0,953.0,707.48,2535000
2000-03-29,960.0,998.0,960.0,990.0,734.95,7508000
2000-03-30,987.0,996.0,955.0,960.0,712.68,3095000
2000-03-31,970.0,987.0,963.0,968.0,718.62,2848000
2000-04-03,968.0,983.0,965.0,983.0,729.75,5405000
2000-04-04,973.0,975.0,948.0,951.0,706.0,3723000
2000-04-05,930.0,982.0,923.0,970.0,720.1,4734000
2000-04-06,960.0,963.0,915.0,944.0,700.8,3096000
2000-04-07,944.0,965.0,935.0,948.0,703.77,2976000
2000-04-10,968.0,984.0,958.0,976.0,724.56,2813000
2000-04-11,974.0,999.0,974.0,995.0,738.66,6416000
2000-04-12,990.0,998.0,978.0,985.0,731.24,4803000
2000-04-13,980.0,982.0,963.0,975.0,723.81,3706000
2000-04-14,955.0,972.0,942.0,945.0,701.54,3826000
2000-04-17,845.0,882.0,845.0,882.0,654.77,6709000
2000-04-18,892.0,898.0,841.0,878.0,651.8,5940000
2000-04-19,900.0,948.0,898.0,923.0,685.21,5585000
2000-04-20,925.0,950.0,922.0,950.0,705.25,2344000
2000-04-21,944.0,950.0,902.0,950.0,705.25,3200000
2000-04-24,946.0,969.0,925.0,964.0,715.65,4584000
2000-04-25,934.0,945.0,927.0,933.0,692.63,2713000
2000-04-26,950.0,960.0,940.0,953.0,707.48,2948000
2000-04-27,945.0,960.0,934.0,942.0,699.31,3187000
2000-04-28,944.0,947.0,923.0,923.0,685.21,2637000
2000-05-01,943.0,989.0,936.0,987.0,732.72,5409000
2000-05-02,990.0,1015.0,977.0,1000.0,742.37,11744000
2000-05-03,1000.0,1000.0,1000.0,1000.0,742.37,0
2000-05-04,1000.0,1000.0,1000.0,1000.0,742.37,0
2000-05-05,1000.0,1000.0,1000.0,1000.0,742.37,0
2000-05-08,1008.0,1028.0,1003.0,1022.0,758.7,10125000
2000-05-09,1022.0,1022.0,1022.0,1022.0,758.7,0
2000-05-10,1000.0,1048.0,999.0,1048.0,778.01,6621000
2000-05-11,1008.0,1040.0,1005.0,1040.0,772.07,6124000
2000-05-12,1026.0,1030.0,1014.0,1015.0,753.51,3601000
2000-05-15,975.0,999.0,973.0,997.0,740.15,3628000
2000-05-16,996.0,1020.0,986.0,1010.0,749.8,3515000
