Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,3150.0,3150.0,3000.0,3080.0,2495.001465,514000
2000-01-05,2940.0,2955.0,2650.0,2855.0,2312.736572,771000
2000-01-06,2815.0,2855.0,2700.0,2715.0,2199.327393,607000
2000-01-07,2710.0,2740.0,2610.0,2640.0,2138.572754,603000
2000-01-10,2640.0,2640.0,2640.0,2640.0,2138.572754,0
2000-01-11,2920.0,2980.0,2845.0,2850.0,2308.686279,911000
2000-01-12,2890.0,2890.0,2730.0,2820.0,2284.38501,657000
2000-01-13,2855.0,2900.0,2680.0,2720.0,2203.37793,662000
2000-01-14,2745.0,2850.0,2720.0,2850.0,2308.686279,993000
2000-01-17,2985.0,3250.0,2970.0,3220.0,2608.4111329999996,1576000
2000-01-18,3170.0,3200.0,2980.0,3170.0,2567.907959,1124000
2000-01-19,3140.0,3210.0,3120.0,3140.0,2543.605225,891000
2000-01-20,3200.0,3340.0,3200.0,3260.0,2640.813232,1276000
2000-01-21,3410.0,3470.0,3340.0,3370.0,2729.920166,1493000
2000-01-24,3400.0,3400.0,3320.0,3340.0,2705.619141,1099000
2000-01-25,3400.0,3640.0,3400.0,3500.0,2835.229004,2211000
2000-01-26,3600.0,4000.0,3580.0,4000.0,3240.262451,1833000
2000-01-27,3990.0,4120.0,3770.0,3970.0,3215.959229,1243000
2000-01-28,4020.0,4190.0,4010.0,4120.0,3337.469482,1451000
2000-01-31,4100.0,4320.0,4040.0,4320.0,3499.483154,1165000
2000-02-01,4370.0,4370.0,4040.0,4100.0,3321.268799,1213000
2000-02-02,4120.0,4140.0,4010.0,4020.0,3256.463135,998000
2000-02-03,4020.0,4110.0,3860.0,4050.0,3280.764648,1048000
2000-02-04,4080.0,4100.0,3910.0,4100.0,3321.268799,662000
2000-02-07,4050.0,4080.0,3920.0,3920.0,3175.45752,465000
2000-02-08,3880.0,3950.0,3830.0,3830.0,3102.55127,561000
2000-02-09,3860.0,3940.0,3830.0,3940.0,3191.657227,328000
2000-02-10,3890.0,3940.0,3850.0,3940.0,3191.657227,697000
2000-02-11,3940.0,3940.0,3940.0,3940.0,3191.657227,0
2000-02-14,3930.0,3930.0,3840.0,3900.0,3159.254639,456000
2000-02-15,3800.0,3840.0,3710.0,3750.0,3037.745361,782000
2000-02-16,3750.0,4040.0,3750.0,4020.0,3256.463135,946000
2000-02-17,4130.0,4150.0,4060.0,4070.0,3296.966797,1034000
2000-02-18,4070.0,4100.0,3940.0,4070.0,3296.966797,726000
2000-02-21,4020.0,4020.0,3850.0,3850.0,3118.752686,405000
2000-02-22,3900.0,4050.0,3860.0,3980.0,3224.060791,577000
2000-02-23,3920.0,3930.0,3810.0,3850.0,3118.752686,415000
2000-02-24,3880.0,3920.0,3800.0,3800.0,3078.248291,320000
2000-02-25,3800.0,3910.0,3760.0,3890.0,3151.154785,435000
2000-02-28,4010.0,4150.0,3660.0,3660.0,2964.8396,836000
2000-02-29,3870.0,3910.0,3710.0,3710.0,3005.342773,574000
2000-03-01,3880.0,3920.0,3760.0,3860.0,3126.852295,528000
2000-03-02,3900.0,4040.0,3830.0,4000.0,3240.262451,526000
2000-03-03,4000.0,4070.0,3970.0,4070.0,3296.966797,555000
2000-03-06,4100.0,4100.0,4030.0,4080.0,3305.06665,648000
2000-03-07,4080.0,4130.0,4020.0,4100.0,3321.268799,501000
2000-03-08,4000.0,4090.0,3920.0,3930.0,3183.557129,555000
2000-03-09,3880.0,3950.0,3670.0,3750.0,3037.745361,985000
2000-03-10,3800.0,3800.0,3710.0,3710.0,3005.342773,2483000
2000-03-13,3810.0,3950.0,3530.0,3670.0,2972.940674,1191000
2000-03-14,3700.0,3820.0,3700.0,3790.0,3070.1479489999997,521000
2000-03-15,3700.0,3860.0,3700.0,3810.0,3086.349854,481000
2000-03-16,3760.0,3760.0,3670.0,3670.0,2972.940674,734000
2000-03-17,3720.0,3800.0,3700.0,3790.0,3070.1479489999997,448000
2000-03-20,3790.0,3790.0,3790.0,3790.0,3070.1479489999997,0
2000-03-21,3700.0,3720.0,3570.0,3590.0,2908.134033,835000
2000-03-22,3540.0,3580.0,3330.0,3450.0,2794.726318,1696000
2000-03-23,3380.0,3670.0,3340.0,3650.0,2956.738281,1336000
2000-03-24,3650.0,3780.0,3610.0,3630.0,2940.538086,1031000
2000-03-27,3530.0,3590.0,3450.0,3450.0,2794.726318,808000
2000-03-28,3600.0,3730.0,3550.0,3710.0,3007.521729,577000
2000-03-29,3810.0,3980.0,3760.0,3930.0,3185.865723,613000
2000-03-30,3880.0,4020.0,3860.0,3860.0,3129.119873,889000
2000-03-31,3860.0,3950.0,3800.0,3940.0,3193.971924,408000
2000-04-03,3810.0,3980.0,3710.0,3900.0,3161.546143,718000
2000-04-04,3850.0,3950.0,3740.0,3950.0,3202.078857,1005000
2000-04-05,3750.0,4060.0,3730.0,3990.0,3234.505127,1169000
2000-04-06,4100.0,4220.0,4050.0,4150.0,3364.209961,1721000
2000-04-07,4100.0,4140.0,3990.0,4000.0,3242.611816,577000
2000-04-10,4020.0,4200.0,4020.0,4190.0,3396.635254,542000
2000-04-11,4180.0,4430.0,4160.0,4350.0,3526.3398439999996,1224000
2000-04-12,4350.0,4430.0,4210.0,4340.0,3518.23291,962000
2000-04-13,4190.0,4230.0,4080.0,4130.0,3347.99707,840000
2000-04-14,4030.0,4300.0,4000.0,4200.0,3404.742432,1080000
2000-04-17,4050.0,4110.0,3700.0,3700.0,2999.415527,1127000
2000-04-18,3800.0,3930.0,3450.0,3600.0,2918.351318,1122000
2000-04-19,3590.0,3780.0,3540.0,3600.0,2918.351318,1174000
2000-04-20,3660.0,3940.0,3650.0,3780.0,3064.268066,2090000
2000-04-21,3890.0,4000.0,3670.0,3780.0,3064.268066,3351000
2000-04-24,3830.0,4110.0,3820.0,4000.0,3242.611816,2216000
2000-04-25,3900.0,3920.0,3830.0,3920.0,3177.759521,1521000
2000-04-26,3950.0,3980.0,3860.0,3920.0,3177.759521,1237000
2000-04-27,3890.0,3910.0,3700.0,3780.0,3064.268066,1634000
2000-04-28,3820.0,3980.0,3800.0,3800.0,3080.480713,1107000
2000-05-01,3900.0,4100.0,3850.0,4100.0,3323.6767579999996,938000
2000-05-02,4150.0,4250.0,4020.0,4060.0,3291.2504879999997,1182000
2000-05-03,4060.0,4060.0,4060.0,4060.0,3291.2504879999997,0
2000-05-04,4060.0,4060.0,4060.0,4060.0,3291.2504879999997,0
2000-05-05,4060.0,4060.0,4060.0,4060.0,3291.2504879999997,0
2000-05-08,4100.0,4100.0,3960.0,4000.0,3242.611816,661000
2000-05-09,4000.0,4000.0,4000.0,4000.0,3242.611816,0
2000-05-10,3800.0,3810.0,3690.0,3800.0,3080.480713,702000
2000-05-11,3650.0,3690.0,3410.0,3470.0,2812.965332,1320000
2000-05-12,3520.0,3600.0,3380.0,3450.0,2796.75293,2495000
2000-05-15,3500.0,3500.0,3370.0,3430.0,2780.539795,495000
2000-05-16,3430.0,3490.0,3370.0,3490.0,2829.178467,603000
2000-05-17,3550.0,3650.0,3550.0,3600.0,2918.351318,1486000
2000-05-18,3530.0,3550.0,3390.0,3450.0,2796.75293,612000
2000-05-19,3500.0,3550.0,3410.0,3550.0,2877.818115,684000
2000-05-22,3300.0,3300.0,3050.0,3050.0,2472.491455,1273000
2000-05-23,3150.0,3250.0,3070.0,3120.0,2529.236816,787000
2000-05-24,3000.0,3080.0,2905.0,2925.0,2371.159668,1010000
2000-05-25,2965.0,2975.0,2725.0,2890.0,2342.7861329999996,1870000
2000-05-26,2810.0,2915.0,2770.0,2890.0,2342.7861329999996,1113000
2000-05-29,2880.0,2890.0,2850.0,2875.0,2330.627197,357000
2000-05-30,2875.0,2875.0,2875.0,2875.0,2330.627197,0
2000-05-31,3050.0,3170.0,2970.0,2970.0,2407.639404,1371000
2000-06-01,3060.0,3100.0,3030.0,3050.0,2472.491455,1192000
2000-06-02,3150.0,3230.0,3130.0,3190.0,2585.98291,1441000
2000-06-05,3420.0,3470.0,3380.0,3400.0,2756.220215,1497000
2000-06-06,3400.0,3430.0,3370.0,3400.0,2756.220215,821000
2000-06-07,3440.0,3510.0,3350.0,3420.0,2772.432861,767000
2000-06-08,3360.0,3390.0,3320.0,3350.0,2715.6870120000003,583000
2000-06-09,3300.0,3350.0,3270.0,3300.0,2675.154541,1696000
2000-06-12,3310.0,3500.0,3310.0,3500.0,2837.28418,628000
2000-06-13,3450.0,3490.0,3390.0,3460.0,2804.8588870000003,887000
2000-06-14,3420.0,3470.0,3360.0,3390.0,2748.11377,737000
2000-06-15,3410.0,3470.0,3390.0,3400.0,2756.220215,1027000
2000-06-16,3390.0,3480.0,3340.0,3440.0,2788.646484,839000
2000-06-19,3450.0,3510.0,3450.0,3510.0,2845.391357,739000
2000-06-20,3550.0,3550.0,3500.0,3540.0,2869.7109379999997,661000
2000-06-21,3580.0,3650.0,3540.0,3650.0,2958.8833010000003,1001000
2000-06-22,3750.0,3900.0,3730.0,3900.0,3161.546143,2109000
2000-06-23,3800.0,3810.0,3680.0,3740.0,3031.841309,615000
2000-06-26,3770.0,3880.0,3770.0,3880.0,3145.332764,583000
2000-06-27,3870.0,3930.0,3860.0,3860.0,3129.119873,1106000
2000-06-28,3920.0,3970.0,3900.0,3950.0,3202.078857,861000
2000-06-29,3970.0,3980.0,3870.0,3940.0,3193.971924,549000
2000-06-30,3890.0,3940.0,3820.0,3930.0,3185.865723,562000
2000-07-03,3880.0,3930.0,3750.0,3880.0,3145.332764,563000
2000-07-04,3900.0,3910.0,3730.0,3810.0,3088.587646,492000
