Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,402.0,407.0,395.0,400.0,244.673523,1806000
2000-01-05,404.0,420.0,401.0,420.0,256.907227,2734000
2000-01-06,430.0,458.0,430.0,453.0,277.09274300000004,8390000
2000-01-07,475.0,485.0,472.0,480.0,293.608185,10556000
2000-01-10,480.0,480.0,480.0,480.0,293.608185,0
2000-01-11,500.0,505.0,490.0,490.0,299.725037,11073000
2000-01-12,490.0,512.0,477.0,500.0,305.841919,7178000
2000-01-13,494.0,516.0,491.0,505.0,308.900391,5670000
2000-01-14,515.0,520.0,503.0,512.0,313.18212900000003,5760000
2000-01-17,512.0,512.0,495.0,500.0,305.841919,2683000
2000-01-18,491.0,500.0,488.0,500.0,305.841919,4586000
2000-01-19,504.0,504.0,497.0,502.0,307.065247,3810000
2000-01-20,495.0,502.0,495.0,500.0,305.841919,4974000
2000-01-21,505.0,527.0,503.0,516.0,315.628845,11157000
2000-01-24,519.0,519.0,491.0,498.0,304.61852999999996,4133000
2000-01-25,489.0,489.0,453.0,467.0,285.65631099999996,8410000
2000-01-26,468.0,480.0,461.0,469.0,286.879608,6564000
2000-01-27,474.0,474.0,456.0,469.0,286.879608,3846000
2000-01-28,470.0,470.0,455.0,470.0,287.49136400000003,4344000
2000-01-31,480.0,511.0,480.0,510.0,311.958679,11519000
2000-02-01,505.0,505.0,486.0,490.0,299.725037,4137000
2000-02-02,489.0,491.0,473.0,481.0,294.21994,3989000
2000-02-03,466.0,472.0,436.0,438.0,267.917511,7853000
2000-02-04,438.0,449.0,426.0,449.0,274.646027,5060000
2000-02-07,453.0,455.0,442.0,442.0,270.364258,2174000
2000-02-08,435.0,436.0,420.0,423.0,258.742279,4950000
2000-02-09,418.0,418.0,401.0,411.0,251.40206899999998,3706000
2000-02-10,411.0,425.0,410.0,410.0,250.790405,2727000
2000-02-11,410.0,410.0,410.0,410.0,250.790405,0
2000-02-14,419.0,420.0,395.0,400.0,244.673523,2995000
2000-02-15,395.0,397.0,351.0,359.0,219.594498,5036000
2000-02-16,362.0,377.0,358.0,374.0,228.76972999999998,8879000
2000-02-17,389.0,399.0,374.0,376.0,229.993118,6024000
2000-02-18,401.0,415.0,394.0,415.0,253.848846,9247000
2000-02-21,420.0,426.0,407.0,419.0,256.295502,5742000
2000-02-22,410.0,413.0,398.0,408.0,249.56706200000002,4407000
2000-02-23,413.0,429.0,413.0,429.0,262.412415,8297000
2000-02-24,430.0,466.0,429.0,460.0,281.37463399999996,8147000
2000-02-25,465.0,474.0,460.0,462.0,282.59787,5761000
2000-02-28,460.0,460.0,422.0,427.0,261.18899500000003,5050000
2000-02-29,422.0,449.0,412.0,415.0,253.848846,4542000
2000-03-01,420.0,429.0,420.0,424.0,259.353973,3846000
2000-03-02,424.0,449.0,422.0,425.0,259.965546,4440000
2000-03-03,430.0,438.0,425.0,430.0,263.02398700000003,3122000
2000-03-06,431.0,444.0,431.0,439.0,268.529205,2612000
2000-03-07,430.0,434.0,428.0,432.0,264.247406,3145000
2000-03-08,420.0,440.0,414.0,432.0,264.247406,4267000
2000-03-09,427.0,428.0,414.0,421.0,257.51889,6236000
2000-03-10,430.0,440.0,423.0,433.0,264.859161,12073000
2000-03-13,440.0,440.0,426.0,435.0,266.08252000000005,5216000
2000-03-14,425.0,430.0,399.0,415.0,253.848846,4461000
2000-03-15,400.0,400.0,390.0,397.0,242.83851600000003,3408000
2000-03-16,396.0,397.0,382.0,394.0,241.003418,3307000
2000-03-17,424.0,450.0,422.0,439.0,268.529205,10936000
2000-03-20,439.0,439.0,439.0,439.0,268.529205,0
2000-03-21,422.0,423.0,411.0,420.0,256.907227,3703000
2000-03-22,415.0,428.0,398.0,422.0,258.130554,4999000
2000-03-23,410.0,411.0,398.0,403.0,246.50859100000002,2832000
2000-03-24,410.0,412.0,405.0,408.0,249.56706200000002,2549000
2000-03-27,413.0,415.0,402.0,402.0,245.89678999999998,3650000
2000-03-28,400.0,416.0,395.0,405.0,247.73194900000001,3548000
