Date,Open,High,Low,Close,Adj Close,Volume
2001-01-04,22250.0,22250.0,21020.0,21200.0,13505.71,57400
2001-01-05,21200.0,21800.0,21200.0,21650.0,13792.39,68500
2001-01-09,20780.0,21100.0,20550.0,20910.0,13320.96,88400
2001-01-10,20550.0,20670.0,19800.0,20100.0,12804.95,158500
2001-01-11,19990.0,20000.0,17600.0,18210.0,11600.9,291500
2001-01-12,18610.0,19150.0,18060.0,18250.0,11626.38,178900
2001-01-15,19160.0,20250.0,19010.0,20250.0,12900.5,181300
2001-01-16,20850.0,21000.0,20050.0,20500.0,13059.77,224900
2001-01-17,20800.0,22400.0,20600.0,21910.0,13958.03,255600
2001-01-18,24000.0,24700.0,23110.0,23160.0,14754.35,418700
2001-01-19,24060.0,24200.0,23200.0,23500.0,14970.96,236500
2001-01-22,23700.0,24440.0,23200.0,24140.0,15378.68,158400
2001-01-23,23240.0,23500.0,22480.0,22900.0,14588.72,140500
2001-01-24,22670.0,23090.0,22180.0,22800.0,14525.01,212800
2001-01-25,22900.0,24570.0,22850.0,24180.0,15404.16,289800
2001-01-26,23580.0,23800.0,22990.0,23400.0,14907.25,201800
2001-01-29,22800.0,23000.0,22320.0,22600.0,14397.6,103400
2001-01-30,22800.0,23200.0,22480.0,23090.0,14709.76,104900
2001-01-31,23600.0,24190.0,23000.0,23990.0,15283.12,222500
2001-02-01,23090.0,23760.0,23090.0,23640.0,15060.15,118200
2001-02-02,23800.0,23870.0,23360.0,23360.0,14881.77,92300
2001-02-05,22460.0,22910.0,22420.0,22610.0,14403.97,137600
2001-02-06,22500.0,22610.0,22010.0,22600.0,14397.6,142100
2001-02-07,22400.0,23000.0,22350.0,22990.0,14646.05,109900
2001-02-08,22510.0,22520.0,21990.0,22250.0,14174.63,119100
2001-02-09,21950.0,22480.0,21870.0,22330.0,14225.59,98900
2001-02-13,21730.0,21990.0,20900.0,20980.0,13365.56,122000
2001-02-14,20700.0,20850.0,20250.0,20790.0,13244.52,159200
2001-02-15,20790.0,21490.0,20790.0,21070.0,13422.9,119100
2001-02-16,21670.0,21800.0,21010.0,21080.0,13429.27,65100
2001-02-19,20620.0,20620.0,20190.0,20510.0,13066.14,95800
2001-02-20,20200.0,20960.0,20200.0,20960.0,13352.82,55600
2001-02-21,20650.0,20650.0,19990.0,20250.0,12900.5,100700
2001-02-22,19800.0,20240.0,19520.0,20210.0,12875.02,80000
2001-02-23,19710.0,20930.0,19710.0,20930.0,13333.71,81200
2001-02-26,20630.0,20890.0,20300.0,20730.0,13206.29,65300
2001-02-27,21050.0,21270.0,20910.0,21190.0,13499.34,117500
2001-02-28,20050.0,20400.0,19900.0,19950.0,12709.39,115300
2001-03-01,19060.0,19060.0,17950.0,17950.0,11435.26,291100
2001-03-02,16350.0,17000.0,16000.0,16400.0,10447.82,526900
2001-03-05,16000.0,16000.0,14600.0,14900.0,9492.22,481700
2001-03-06,15400.0,16900.0,15400.0,16890.0,10759.98,329200
2001-03-07,18090.0,18200.0,16800.0,17690.0,11269.62,274600
2001-03-08,17490.0,17490.0,16710.0,17340.0,11046.66,149600
2001-03-09,16800.0,16820.0,16340.0,16550.0,10543.38,221500
2001-03-12,15500.0,15960.0,14910.0,14950.0,9524.08,193000
2001-03-13,12950.0,14270.0,12950.0,13730.0,8746.86,341700
2001-03-15,12000.0,13690.0,11600.0,13300.0,8472.93,289600
2001-03-16,13200.0,14200.0,13000.0,13900.0,8855.16,229000
2001-03-19,13500.0,14700.0,13500.0,13980.0,8906.13,140900
2001-03-21,13580.0,14990.0,13560.0,14990.0,9549.56,197000
2001-03-22,14800.0,15300.0,14200.0,14470.0,9218.29,178100
2001-03-23,15270.0,16470.0,15080.0,16300.0,10384.11,381400
