Date,Open,High,Low,Close,Adj Close,Volume
2017-09-22,2740.0,3100.0,2445.0,2920.0,2920.0,4661600
2017-09-25,3270.0,3420.0,3240.0,3420.0,3420.0,1131600
2017-09-26,3670.0,3760.0,3425.0,3525.0,3525.0,4241600
2017-09-27,3600.0,4275.0,3400.0,4275.0,4275.0,4314800
2017-09-28,4150.0,4940.0,4120.0,4265.0,4265.0,6483600
2017-09-29,4385.0,4685.0,4255.0,4675.0,4675.0,3480000
2017-10-02,4825.0,5385.0,4775.0,5385.0,5385.0,4460000
2017-10-03,5250.0,5570.0,4990.0,5030.0,5030.0,3903200
2017-10-04,5275.0,5440.0,5060.0,5160.0,5160.0,2917200
2017-10-05,4995.0,5290.0,4960.0,5215.0,5215.0,1811400
2017-10-06,5315.0,6085.0,5280.0,5900.0,5900.0,5224000
2017-10-09,5900.0,5900.0,5900.0,5900.0,5900.0,0
2017-10-10,6150.0,7225.0,6150.0,7120.0,7120.0,5643400
2017-10-11,6875.0,7195.0,6290.0,6480.0,6480.0,3970000
2017-10-12,6685.0,6725.0,5665.0,5740.0,5740.0,3222800
2017-10-13,5995.0,6370.0,5480.0,6270.0,6270.0,3940400
2017-10-16,6595.0,7115.0,6455.0,6520.0,6520.0,4342600
2017-10-17,6595.0,7090.0,5955.0,6950.0,6950.0,4932200
2017-10-18,7080.0,7250.0,6310.0,6745.0,6745.0,5443000
2017-10-19,6900.0,6915.0,6530.0,6700.0,6700.0,1613400
2017-10-20,6600.0,6720.0,6150.0,6405.0,6405.0,2090000
2017-10-23,6520.0,6520.0,6080.0,6150.0,6150.0,1131400
2017-10-24,6020.0,6265.0,5720.0,5735.0,5735.0,1806000
2017-10-25,5620.0,5975.0,5515.0,5655.0,5655.0,1500800
2017-10-26,5700.0,6210.0,5565.0,6190.0,6190.0,1618600
2017-10-27,6095.0,6360.0,6035.0,6290.0,6290.0,1773000
2017-10-30,6370.0,6565.0,6290.0,6445.0,6445.0,1067200
2017-10-31,6400.0,6670.0,6270.0,6375.0,6375.0,1190200
2017-11-01,6405.0,6450.0,6120.0,6185.0,6185.0,559000
2017-11-02,6155.0,6175.0,6010.0,6040.0,6040.0,426800
2017-11-03,6040.0,6040.0,6040.0,6040.0,6040.0,0
2017-11-06,5925.0,5980.0,5570.0,5640.0,5640.0,694000
2017-11-07,5565.0,6025.0,5550.0,5925.0,5925.0,807600
2017-11-08,6000.0,6150.0,5790.0,5930.0,5930.0,632600
2017-11-09,5895.0,6025.0,5750.0,5815.0,5815.0,456000
2017-11-10,6000.0,6395.0,5700.0,5815.0,5815.0,2359800
2017-11-13,5775.0,5800.0,5515.0,5545.0,5545.0,648800
2017-11-14,5525.0,5635.0,5275.0,5275.0,5275.0,601400
2017-11-15,5290.0,5295.0,4700.0,4960.0,4960.0,1037200
2017-11-16,5005.0,5215.0,4990.0,5160.0,5160.0,630800
2017-11-17,5250.0,5330.0,4975.0,5055.0,5055.0,476000
2017-11-20,4965.0,5060.0,4800.0,5000.0,5000.0,421400
2017-11-21,5150.0,5425.0,5055.0,5305.0,5305.0,726600
2017-11-22,5440.0,5625.0,5405.0,5555.0,5555.0,767800
2017-11-23,5555.0,5555.0,5555.0,5555.0,5555.0,0
2017-11-24,5600.0,6000.0,5590.0,5925.0,5925.0,851400
2017-11-27,6140.0,6215.0,5860.0,6045.0,6045.0,980200
2017-11-28,6120.0,6165.0,5765.0,5900.0,5900.0,525800
2017-11-29,5955.0,5995.0,5690.0,5745.0,5745.0,349800
2017-11-30,5620.0,5655.0,5385.0,5515.0,5515.0,328600
2017-12-01,5655.0,5775.0,5455.0,5775.0,5775.0,333600
2017-12-04,5775.0,5855.0,5550.0,5555.0,5555.0,213000
2017-12-05,5400.0,5555.0,5275.0,5410.0,5410.0,220800
2017-12-06,5250.0,5465.0,5045.0,5100.0,5100.0,384400
2017-12-07,5320.0,5340.0,5130.0,5245.0,5245.0,218800
2017-12-08,5310.0,5440.0,5175.0,5275.0,5275.0,194400
2017-12-11,5235.0,5250.0,5100.0,5125.0,5125.0,204600
2017-12-12,5045.0,5200.0,5040.0,5175.0,5175.0,133000
2017-12-13,5190.0,5215.0,5010.0,5195.0,5195.0,222400
2017-12-14,5080.0,5170.0,5060.0,5090.0,5090.0,151200
2017-12-15,5065.0,5115.0,5030.0,5050.0,5050.0,173200
2017-12-18,5075.0,5080.0,4935.0,4980.0,4980.0,256000
2017-12-19,5050.0,5725.0,4995.0,5650.0,5650.0,887600
2017-12-20,5560.0,5925.0,5555.0,5700.0,5700.0,820200
2017-12-21,5725.0,5750.0,5415.0,5500.0,5500.0,295200
2017-12-22,5575.0,5660.0,5465.0,5565.0,5565.0,263200
2017-12-25,5625.0,6110.0,5615.0,6100.0,6100.0,1072400
2017-12-26,6095.0,6290.0,5870.0,5935.0,5935.0,937600
2017-12-27,6130.0,6600.0,6040.0,6475.0,6475.0,1860200
2017-12-28,6545.0,6770.0,6205.0,6245.0,6245.0,1282000
2017-12-29,6410.0,6845.0,6355.0,6725.0,6725.0,1761800
2018-01-01,6725.0,6725.0,6725.0,6725.0,6725.0,0
2018-01-02,6725.0,6725.0,6725.0,6725.0,6725.0,0
2018-01-03,6725.0,6725.0,6725.0,6725.0,6725.0,0
2018-01-04,7125.0,7385.0,6885.0,7020.0,7020.0,1880400
2018-01-05,7100.0,7110.0,6775.0,6880.0,6880.0,721200
2018-01-08,6880.0,6880.0,6880.0,6880.0,6880.0,0
2018-01-09,7000.0,7610.0,6930.0,7605.0,7605.0,2216400
2018-01-10,7500.0,7820.0,7320.0,7710.0,7710.0,1788400
2018-01-11,7655.0,8240.0,7465.0,7765.0,7765.0,2919400
2018-01-12,7865.0,7920.0,7575.0,7755.0,7755.0,869800
2018-01-15,7790.0,8290.0,7755.0,7890.0,7890.0,2083800
2018-01-16,7995.0,8280.0,7955.0,8200.0,8200.0,1435000
2018-01-17,8075.0,8340.0,8040.0,8150.0,8150.0,1076200
2018-01-18,8295.0,8325.0,7665.0,7735.0,7735.0,1144600
2018-01-19,7575.0,7780.0,7425.0,7680.0,7680.0,833600
2018-01-22,7750.0,7770.0,7430.0,7605.0,7605.0,453400
2018-01-23,7800.0,8140.0,7700.0,8095.0,8095.0,1109000
2018-01-24,8075.0,8270.0,7865.0,7950.0,7950.0,836400
2018-01-25,8050.0,8235.0,7905.0,8065.0,8065.0,623400
2018-01-26,8165.0,8210.0,7990.0,8085.0,8085.0,397200
2018-01-29,8165.0,8365.0,7825.0,7870.0,7870.0,1010200
2018-01-30,7850.0,7945.0,7560.0,7900.0,7900.0,527400
2018-01-31,7700.0,7985.0,7615.0,7650.0,7650.0,376600
2018-02-01,7700.0,8085.0,7700.0,8025.0,8025.0,653000
2018-02-02,8035.0,8200.0,7945.0,8070.0,8070.0,557600
2018-02-05,7800.0,7945.0,7515.0,7705.0,7705.0,664400
2018-02-06,6905.0,7230.0,6355.0,6985.0,6985.0,1321600
2018-02-07,7500.0,7570.0,7010.0,7010.0,7010.0,639600
2018-02-08,7180.0,7575.0,7150.0,7565.0,7565.0,551200
2018-02-09,6900.0,7775.0,6865.0,7690.0,7690.0,830800
2018-02-12,7690.0,7690.0,7690.0,7690.0,7690.0,0
2018-02-13,7490.0,7650.0,7075.0,7095.0,7095.0,690600
