Date,Open,High,Low,Close,Adj Close,Volume
2000-04-19,398.0,644.0,360.0,600.0,706.34,4000000
2000-04-20,610.0,808.0,606.0,800.0,941.79,3000000
2000-04-21,792.0,980.0,790.0,860.0,1012.42,2000000
2000-04-24,870.0,910.0,790.0,790.0,930.01,1000000
2000-04-25,790.0,866.0,700.0,850.0,1000.65,1000000
2000-04-26,910.0,970.0,900.0,948.0,1116.02,2000000
2000-04-27,940.0,960.0,870.0,880.0,1035.96,1000000
2000-04-28,890.0,988.0,890.0,980.0,1153.69,1000000
2000-05-01,1006.0,1126.0,990.0,1126.0,1325.56,2000000
2000-05-02,1180.0,1290.0,1160.0,1190.0,1400.91,1000000
2000-05-03,1190.0,1190.0,1190.0,1190.0,1400.91,0
2000-05-04,1190.0,1190.0,1190.0,1190.0,1400.91,0
2000-05-05,1190.0,1190.0,1190.0,1190.0,1400.91,0
2000-05-08,1200.0,1280.0,1200.0,1220.0,1436.22,880000
2000-05-09,1220.0,1220.0,1220.0,1220.0,1436.22,0
2000-05-10,1080.0,1120.0,1048.0,1062.0,1250.22,1000000
2000-05-11,1050.0,1060.0,940.0,980.0,1153.69,1000000
2000-05-12,1060.0,1150.0,1050.0,1100.0,1294.95,980000
2000-05-15,1120.0,1190.0,1080.0,1120.0,1318.5,1000000
2000-05-16,1320.0,1400.0,880.0,900.0,1059.51,4000000
2000-05-17,820.0,980.0,800.0,880.0,1035.96,1000000
2000-05-18,840.0,860.0,700.0,740.0,871.15,2000000
2000-05-19,720.0,850.0,600.0,830.0,977.1,1000000
2000-05-22,740.0,770.0,660.0,710.0,835.83,900000
2000-05-23,690.0,740.0,640.0,640.0,753.43,1000000
2000-05-24,600.0,680.0,580.0,640.0,753.43,2000000
2000-05-25,680.0,750.0,640.0,700.0,824.06,2000000
2000-05-26,600.0,740.0,565.0,710.0,835.83,8000000
2000-05-29,694.0,805.0,680.0,795.0,935.9,4000000
2000-05-30,795.0,795.0,795.0,795.0,935.9,0
2000-05-31,850.0,880.0,750.0,780.0,918.24,4000000
2000-06-01,750.0,785.0,700.0,750.0,882.92,4000000
2000-06-02,781.0,800.0,740.0,760.0,894.7,2000000
2000-06-05,790.0,805.0,765.0,775.0,912.35,1000000
2000-06-06,775.0,780.0,750.0,755.0,888.81,1000000
2000-06-07,739.0,740.0,715.0,720.0,847.61,1000000
2000-06-08,710.0,720.0,665.0,685.0,806.4,1000000
2000-06-09,680.0,690.0,640.0,647.0,761.67,1000000
2000-06-12,653.0,695.0,645.0,685.0,806.4,960000
2000-06-13,679.0,680.0,660.0,665.0,782.86,530000
