Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,3640.0,3760.0,3570.0,3700.0,-3.81,521000.0
2005-09-30,3730.0,3780.0,3660.0,3750.0,-3.86,268600.0
2005-10-03,3800.0,3830.0,3750.0,3800.0,-3.92,481400.0
2005-10-04,3820.0,3850.0,3780.0,3800.0,-3.92,311000.0
2005-10-05,3840.0,3910.0,3810.0,3840.0,-3.96,609100.0
2005-10-06,3880.0,4010.0,3870.0,4000.0,-4.12,1335600.0
2005-10-07,3980.0,3980.0,3890.0,3920.0,-4.04,381500.0
2005-10-11,3870.0,4040.0,3870.0,4040.0,-4.16,527500.0
2005-10-12,4120.0,4130.0,4030.0,4130.0,-4.26,493200.0
2005-10-13,4110.0,4150.0,4040.0,4070.0,-4.19,386400.0
2005-10-14,4080.0,4160.0,4070.0,4130.0,-4.26,283500.0
2005-10-17,4130.0,4230.0,4120.0,4190.0,-4.32,321300.0
2005-10-18,4240.0,4300.0,4220.0,4270.0,-4.4,470500.0
2005-10-19,4260.0,4270.0,4180.0,4240.0,-4.37,282800.0
2005-10-20,4220.0,4230.0,4090.0,4160.0,-4.29,315100.0
2005-10-21,4090.0,4180.0,4070.0,4180.0,-4.31,219300.0
2005-10-24,4200.0,4340.0,4200.0,4320.0,-4.45,370600.0
2005-10-25,4290.0,4400.0,4280.0,4290.0,-4.42,418300.0
2005-10-26,4330.0,4390.0,4300.0,4330.0,-4.46,235800.0
2005-10-27,4310.0,4460.0,4290.0,4450.0,-4.58,503900.0
2005-10-28,4420.0,4480.0,4400.0,4420.0,-4.55,528600.0
2005-10-31,4460.0,4600.0,4440.0,4590.0,-4.73,425800.0
2005-11-01,4650.0,4750.0,4650.0,4730.0,-4.87,352500.0
2005-11-02,4760.0,4860.0,4710.0,4810.0,-4.96,625200.0
2005-11-03,4810.0,4850.0,4810.0,4850.0,-5.0,625200.0
2005-11-04,4850.0,4920.0,4720.0,4850.0,-5.0,351700.0
2005-11-07,4880.0,4880.0,4810.0,4860.0,-5.01,292200.0
2005-11-08,4840.0,4860.0,4710.0,4730.0,-4.87,300800.0
2005-11-09,4570.0,4580.0,4450.0,4490.0,-4.63,523400.0
2005-11-10,4420.0,4450.0,4180.0,4290.0,-4.42,920600.0
2005-11-11,4440.0,4720.0,4370.0,4700.0,-4.84,1296900.0
2005-11-14,4730.0,4800.0,4520.0,4640.0,-4.78,796800.0
2005-11-15,4510.0,4580.0,4480.0,4540.0,-4.68,380400.0
2005-11-16,4500.0,4680.0,4460.0,4680.0,-4.82,422900.0
2005-11-17,4680.0,4690.0,4610.0,4650.0,-4.79,308300.0
2005-11-18,4660.0,4740.0,4600.0,4650.0,-4.79,382600.0
2005-11-21,4630.0,4630.0,4490.0,4510.0,-4.65,372700.0
2005-11-22,4470.0,4540.0,4410.0,4450.0,-4.58,319800.0
2005-11-24,4440.0,4450.0,4250.0,4290.0,-4.42,455600.0
2005-11-25,4270.0,4450.0,4210.0,4440.0,-4.57,442600.0
2005-11-28,4450.0,4450.0,4320.0,4400.0,-4.53,246200.0
2005-11-29,4360.0,4410.0,4320.0,4330.0,-4.46,235300.0
2005-11-30,4380.0,4540.0,4330.0,4480.0,-4.62,548900.0
2005-12-01,4520.0,4590.0,4440.0,4590.0,-4.73,408400.0
2005-12-02,4620.0,4670.0,4560.0,4620.0,-4.76,433400.0
2005-12-05,4670.0,4750.0,4640.0,4720.0,-4.86,314000.0
2005-12-06,4730.0,4740.0,4560.0,4570.0,-4.71,244900.0
2005-12-07,4580.0,4640.0,4520.0,4540.0,-4.68,221300.0
2005-12-08,4550.0,4550.0,4390.0,4420.0,-4.55,316900.0
2005-12-12,4640.0,4680.0,4580.0,4630.0,-4.77,278700.0
2005-12-13,4630.0,4630.0,4540.0,4600.0,-4.74,220600.0
2005-12-14,4600.0,4600.0,4430.0,4470.0,-4.61,467900.0
2005-12-15,4490.0,4560.0,4430.0,4530.0,-4.67,170000.0
2005-12-16,4530.0,4650.0,4480.0,4610.0,-4.75,335700.0
2005-12-19,4630.0,4770.0,4620.0,4760.0,-4.9,540400.0
2005-12-20,4760.0,4960.0,4730.0,4960.0,-5.11,1035600.0
2005-12-21,5060.0,5170.0,5010.0,5060.0,-5.21,1070800.0
2005-12-27,5300.0,5350.0,5120.0,5280.0,-5.44,521000.0
2005-12-28,5380.0,5380.0,5210.0,5240.0,-5.4,249500.0
2005-12-29,5280.0,5430.0,5240.0,5320.0,-5.48,411000.0
2005-12-30,5390.0,5390.0,5250.0,5260.0,-5.42,243200.0
2006-01-04,5330.0,5400.0,5270.0,5280.0,-5.44,251400.0
2006-01-05,5210.0,5260.0,5160.0,5220.0,-5.38,220200.0
2006-01-06,5150.0,5340.0,5150.0,5230.0,-5.39,337100.0
2006-01-10,5190.0,5280.0,5050.0,5180.0,-5.34,357000.0
2006-01-11,5100.0,5240.0,5100.0,5220.0,-5.38,189700.0
2006-01-12,5290.0,5290.0,5190.0,5270.0,-5.43,156300.0
2006-01-13,5220.0,5320.0,5200.0,5260.0,-5.42,219500.0
2006-01-16,5270.0,5330.0,5210.0,5300.0,-5.46,273700.0
2006-01-17,5160.0,5240.0,4930.0,5020.0,-5.17,287400.0
2006-01-18,4720.0,4920.0,4200.0,4920.0,-5.07,567700.0
2006-01-19,4720.0,5150.0,4720.0,4990.0,-5.14,546300.0
2006-01-20,5080.0,5090.0,4770.0,4970.0,-5.12,266300.0
2006-01-23,4670.0,4830.0,4610.0,4620.0,-4.76,233300.0
2006-01-24,4700.0,4880.0,4630.0,4870.0,-5.02,284900.0
2006-01-25,4950.0,4990.0,4830.0,4880.0,-5.03,256900.0
2006-01-26,4870.0,4940.0,4770.0,4790.0,-4.94,306300.0
2006-01-27,4870.0,4950.0,4840.0,4930.0,-5.08,255900.0
2006-01-30,5130.0,5430.0,5100.0,5370.0,-5.53,801000.0
2006-01-31,5300.0,5360.0,5160.0,5360.0,-5.52,336000.0
2006-02-01,5360.0,5480.0,5110.0,5140.0,-5.3,693700.0
2006-02-02,5150.0,5230.0,4950.0,5120.0,-5.28,848900.0
2006-02-03,5020.0,5230.0,5020.0,5190.0,-5.35,368600.0
2006-02-06,5110.0,5110.0,4810.0,4940.0,-5.09,1447300.0
2006-02-07,4960.0,5180.0,4860.0,5060.0,-5.21,940000.0
2006-02-08,5080.0,5120.0,4940.0,4960.0,-5.11,446900.0
2006-02-09,4990.0,5060.0,4930.0,4990.0,-5.14,348900.0
2006-02-10,4950.0,4990.0,4710.0,4840.0,-4.99,600000.0
2006-02-13,4860.0,4860.0,4550.0,4570.0,-4.71,673900.0
2006-02-14,4550.0,4780.0,4320.0,4720.0,-4.86,521600.0
2006-02-15,4790.0,4830.0,4540.0,4590.0,-4.73,388900.0
2006-02-16,4570.0,4620.0,4420.0,4550.0,-4.69,288000.0
2006-02-17,4500.0,4640.0,4460.0,4570.0,-4.71,549200.0
2006-02-20,4420.0,4470.0,4330.0,4420.0,-4.55,397600.0
2006-02-21,4430.0,4640.0,4420.0,4620.0,-4.76,487300.0
2006-02-22,4580.0,4620.0,4440.0,4490.0,-4.63,313400.0
2006-02-23,4500.0,4660.0,4450.0,4600.0,-4.74,635300.0
2006-02-24,4600.0,4800.0,4600.0,4700.0,-4.84,614800.0
2006-02-27,4750.0,4890.0,4720.0,4810.0,-4.96,507300.0
2006-02-28,4780.0,4790.0,4680.0,4760.0,-4.9,334400.0
2006-03-01,4700.0,4740.0,4660.0,4720.0,-4.86,190300.0
2006-03-02,4670.0,4720.0,4520.0,4570.0,-4.71,332200.0
2006-03-03,4520.0,4570.0,4470.0,4520.0,-4.66,282200.0
2006-03-06,4530.0,4670.0,4450.0,4670.0,-4.81,284500.0
2006-03-07,4680.0,4710.0,4630.0,4670.0,-4.81,226000.0
2006-03-08,4660.0,4840.0,4610.0,4820.0,-4.97,243400.0
2006-03-09,4830.0,5190.0,4830.0,5140.0,-5.3,680600.0
2006-03-10,5140.0,5230.0,5030.0,5170.0,-5.33,420300.0
2006-03-13,5180.0,5250.0,5110.0,5240.0,-5.4,317500.0
2006-03-14,5250.0,5360.0,5220.0,5280.0,-5.44,444500.0
2006-03-15,5290.0,5290.0,5090.0,5170.0,-5.33,401500.0
2006-03-16,5140.0,5160.0,5040.0,5090.0,-5.24,295200.0
2006-03-17,5100.0,5210.0,5080.0,5150.0,-5.31,161300.0
2006-03-20,5160.0,5190.0,5120.0,5140.0,-5.3,186500.0
2006-03-22,5190.0,5230.0,5120.0,5210.0,-5.37,242700.0
2006-03-23,5260.0,5270.0,5180.0,5190.0,-5.35,174400.0
2006-03-24,5200.0,5240.0,5200.0,5210.0,-5.37,113600.0
2006-03-27,5210.0,5230.0,5190.0,5210.0,-5.37,105900.0
2006-03-28,5220.0,5280.0,5200.0,5260.0,-6.71,128400.0
2006-03-29,5240.0,5410.0,5240.0,5370.0,-6.85,224100.0
2006-03-30,5430.0,5500.0,5390.0,5450.0,-6.95,283300.0
2006-03-31,5540.0,5540.0,5480.0,5490.0,-7.0,175700.0
2006-04-03,5490.0,5640.0,5460.0,5600.0,-7.14,396400.0
2006-04-04,5700.0,5720.0,5630.0,5640.0,-7.19,266600.0
2006-04-05,5690.0,5690.0,5520.0,5540.0,-7.06,126100.0
2006-04-06,5520.0,5670.0,5500.0,5670.0,-7.23,173500.0
2006-04-07,5670.0,5680.0,5570.0,5670.0,-7.23,256000.0
2006-04-10,5700.0,5880.0,5650.0,5860.0,-7.47,457500.0
2006-04-11,5880.0,6000.0,5780.0,5960.0,-7.6,451800.0
2006-04-12,5940.0,5980.0,5830.0,5960.0,-7.6,217600.0
2006-04-13,5960.0,5960.0,5800.0,5830.0,-7.43,279100.0
2006-04-14,5880.0,5880.0,5720.0,5830.0,-7.43,161900.0
2006-04-17,5810.0,5820.0,5590.0,5610.0,-7.15,138100.0
2006-04-18,5620.0,5800.0,5610.0,5780.0,-7.37,138400.0
2006-04-19,5800.0,5820.0,5690.0,5770.0,-7.36,174900.0
2006-04-20,5740.0,5780.0,5690.0,5730.0,-7.31,248400.0
2006-04-21,5630.0,5650.0,5350.0,5400.0,-6.89,498000.0
2006-04-24,5200.0,5290.0,5080.0,5090.0,-6.49,577100.0
2006-04-25,5160.0,5300.0,5100.0,5270.0,-6.72,489700.0
2006-04-26,5330.0,5350.0,5130.0,5190.0,-6.62,298000.0
2006-04-27,5200.0,5230.0,5100.0,5170.0,-6.59,361500.0
2006-04-28,5160.0,5320.0,5070.0,5280.0,-6.73,301700.0
2006-05-01,5330.0,5330.0,5210.0,5240.0,-6.68,282000.0
2006-05-02,5230.0,5310.0,5230.0,5300.0,-6.76,225600.0
2006-05-08,5560.0,5560.0,5430.0,5480.0,-6.99,255900.0
2006-05-09,5530.0,5600.0,5510.0,5530.0,-7.05,263100.0
2006-05-10,5550.0,5570.0,5280.0,5400.0,-6.89,351100.0
2006-05-11,5500.0,5540.0,5050.0,5090.0,-6.49,1102600.0
2006-05-12,4900.0,4900.0,4660.0,4720.0,-6.02,1406100.0
2006-05-15,4740.0,4840.0,4730.0,4770.0,-6.08,811900.0
2006-05-16,4820.0,4890.0,4500.0,4510.0,-5.75,585500.0
2006-05-17,4540.0,4580.0,4270.0,4410.0,-5.62,899900.0
2006-05-22,4410.0,4410.0,4300.0,4300.0,-5.48,899900.0
2006-05-23,4300.0,4410.0,4250.0,4310.0,-5.5,250500.0
2006-05-24,4400.0,4410.0,4210.0,4320.0,-5.51,397900.0
2006-05-25,4320.0,4400.0,4260.0,4360.0,-5.56,516200.0
2006-05-26,4410.0,4540.0,4360.0,4540.0,-5.79,541400.0
2006-05-30,4580.0,4650.0,4450.0,4650.0,-5.93,621100.0
2006-05-31,4580.0,4780.0,4550.0,4710.0,-6.01,1613000.0
2006-06-01,4740.0,4780.0,4390.0,4430.0,-5.65,519900.0
2006-06-02,4450.0,4650.0,4100.0,4620.0,-5.89,678900.0
2006-06-05,4470.0,4610.0,4450.0,4500.0,-5.74,394400.0
2006-06-06,4400.0,4480.0,4350.0,4470.0,-5.7,283900.0
2006-06-07,4420.0,4480.0,4150.0,4160.0,-5.3,396800.0
2006-06-08,4010.0,4130.0,3900.0,4100.0,-5.23,697100.0
2006-06-09,4170.0,4240.0,3910.0,4070.0,-5.19,812600.0
2006-06-12,4080.0,4130.0,3970.0,4130.0,-5.27,286000.0
2006-06-13,4080.0,4140.0,4000.0,4000.0,-5.1,182200.0
2006-06-14,4000.0,4130.0,4000.0,4130.0,-5.27,182200.0
2006-06-15,4130.0,4230.0,4110.0,4210.0,-5.37,319500.0
2006-06-16,4360.0,4370.0,4280.0,4320.0,-5.51,241900.0
2006-06-19,4320.0,4390.0,4280.0,4350.0,-5.55,195500.0
2006-06-20,4330.0,4400.0,4230.0,4250.0,-5.42,253900.0
2006-06-21,4230.0,4250.0,4090.0,4160.0,-5.3,352500.0
2006-06-22,4160.0,4200.0,4130.0,4170.0,-5.32,247600.0
2006-06-23,4160.0,4270.0,4140.0,4270.0,-5.44,396000.0
2006-06-26,4220.0,4230.0,4150.0,4180.0,-5.33,253700.0
2006-06-27,4190.0,4200.0,4090.0,4100.0,-5.23,285800.0
2006-06-28,4030.0,4070.0,4000.0,4050.0,-5.16,400200.0
2006-06-29,4040.0,4070.0,3970.0,3980.0,-5.07,468000.0
2006-06-30,4050.0,4100.0,4010.0,4080.0,-5.2,324400.0
2006-07-03,4100.0,4240.0,4080.0,4200.0,-5.36,320700.0
2006-07-04,4270.0,4320.0,4230.0,4260.0,-5.43,325200.0
2006-07-05,4160.0,4260.0,4150.0,4260.0,-5.43,233700.0
2006-07-06,4220.0,4220.0,4120.0,4160.0,-5.3,185900.0
2006-07-07,4280.0,4410.0,4240.0,4300.0,-5.48,962700.0
2006-07-10,4300.0,4300.0,4190.0,4190.0,-5.34,962700.0
2006-07-11,4190.0,4220.0,4110.0,4140.0,-5.28,467900.0
2006-07-12,4140.0,4320.0,4140.0,4290.0,-5.47,557900.0
2006-07-13,4240.0,4490.0,4220.0,4470.0,-5.7,807000.0
2006-07-14,4400.0,4410.0,4240.0,4300.0,-5.48,940200.0
2006-07-17,4300.0,4300.0,4250.0,4250.0,-5.42,940200.0
2006-07-18,4250.0,4260.0,4020.0,4170.0,-5.32,930200.0
2006-07-19,4160.0,4240.0,4060.0,4090.0,-5.21,359800.0
2006-07-20,4290.0,4390.0,4250.0,4360.0,-5.56,333400.0
2006-07-21,4300.0,4410.0,4270.0,4390.0,-5.6,286200.0
2006-07-24,4380.0,4410.0,4280.0,4380.0,-5.58,224800.0
2006-07-25,4480.0,4600.0,4450.0,4570.0,-5.83,544900.0
2006-07-28,4370.0,4550.0,4310.0,4530.0,-5.78,284100.0
2006-07-31,4470.0,4650.0,4430.0,4620.0,-5.89,494500.0
2006-08-01,4570.0,4590.0,4480.0,4490.0,-5.73,343100.0
2006-08-02,4390.0,4420.0,4270.0,4310.0,-5.5,898700.0
2006-08-03,4350.0,4430.0,4290.0,4380.0,-5.58,577000.0
2006-08-04,4390.0,4470.0,4340.0,4390.0,-5.6,538600.0
2006-08-07,4420.0,4450.0,4380.0,4400.0,-5.61,344900.0
2006-08-08,4400.0,4510.0,4380.0,4480.0,-5.71,395000.0
2006-08-09,4430.0,4440.0,4330.0,4420.0,-5.64,243000.0
2006-08-10,4400.0,4510.0,4400.0,4460.0,-5.69,356000.0
2006-08-11,4510.0,4510.0,4440.0,4460.0,-5.69,202000.0
2006-08-14,4480.0,4580.0,4460.0,4570.0,-5.83,261600.0
2006-08-15,4610.0,4820.0,4600.0,4760.0,-6.07,495200.0
2006-08-16,4810.0,4860.0,4710.0,4730.0,-6.03,217500.0
2006-08-17,4800.0,4800.0,4730.0,4740.0,-6.04,184900.0
2006-08-18,4750.0,4760.0,4670.0,4710.0,-6.01,126200.0
2006-08-21,4700.0,4740.0,4640.0,4640.0,-5.92,98900.0
2006-08-22,4610.0,4690.0,4610.0,4650.0,-5.93,187000.0
2006-08-23,4630.0,4650.0,4600.0,4620.0,-5.89,129000.0
2006-08-24,4610.0,4630.0,4550.0,4590.0,-5.85,143300.0
2006-08-25,4610.0,4630.0,4570.0,4580.0,-5.84,113800.0
2006-08-28,4590.0,4710.0,4580.0,4590.0,-5.85,209800.0
2006-08-29,4630.0,4630.0,4550.0,4590.0,-5.85,160200.0
2006-08-30,4590.0,4600.0,4520.0,4600.0,-5.87,246600.0
2006-08-31,4610.0,4730.0,4600.0,4700.0,-5.99,315400.0
2006-09-01,4660.0,4700.0,4640.0,4650.0,-5.93,77000.0
2006-09-04,4660.0,4690.0,4570.0,4590.0,-5.85,261300.0
2006-09-05,4590.0,4600.0,4530.0,4550.0,-5.8,258100.0
2006-09-06,4580.0,4600.0,4550.0,4560.0,-5.81,171500.0
2006-09-07,4510.0,4560.0,4510.0,4550.0,-5.8,135300.0
2006-09-08,4580.0,4740.0,4560.0,4720.0,-6.02,602400.0
2006-09-11,4670.0,4700.0,4600.0,4600.0,-5.87,251300.0
2006-09-12,4650.0,4670.0,4610.0,4610.0,-5.88,187100.0
2006-09-13,4610.0,4650.0,4570.0,4610.0,-5.88,221900.0
2006-09-14,4610.0,4640.0,4550.0,4560.0,-5.81,152400.0
2006-09-15,4570.0,4680.0,4520.0,4650.0,-5.93,550800.0
2006-09-19,4600.0,4640.0,4570.0,4600.0,-5.87,175400.0
2006-09-20,4560.0,4630.0,4540.0,4610.0,-5.88,145000.0
2006-09-21,4600.0,4610.0,4440.0,4480.0,-5.71,215100.0
2006-09-22,4460.0,4470.0,4320.0,4340.0,-5.53,358500.0
2006-09-25,4250.0,4310.0,4190.0,4290.0,-5.47,301800.0
2006-09-26,4320.0,4360.0,4260.0,4280.0,-7.12,116000.0
2006-09-27,4330.0,4330.0,4230.0,4280.0,-7.12,247600.0
2006-09-28,4280.0,4330.0,4270.0,4280.0,-7.12,156500.0
2006-09-29,4330.0,4360.0,4270.0,4280.0,-7.12,195400.0
2006-10-02,4280.0,4300.0,4250.0,4260.0,-7.08,271000.0
2006-10-03,4270.0,4330.0,4260.0,4260.0,-7.08,165300.0
2006-10-04,4270.0,4290.0,4200.0,4200.0,-6.98,200800.0
2006-10-05,4200.0,4280.0,4200.0,4280.0,-7.12,200800.0
2006-10-06,4280.0,4320.0,4240.0,4290.0,-7.13,179700.0
2006-10-10,4320.0,4370.0,4210.0,4250.0,-7.07,515200.0
2006-10-11,4290.0,4290.0,4060.0,4230.0,-7.03,341900.0
2006-10-12,4200.0,4250.0,4190.0,4210.0,-7.0,159300.0
2006-10-13,4220.0,4260.0,4130.0,4170.0,-6.93,527600.0
2006-10-16,4220.0,4270.0,4170.0,4270.0,-7.1,201100.0
2006-10-17,4290.0,4310.0,4250.0,4300.0,-7.15,315300.0
2006-10-18,4290.0,4320.0,4220.0,4290.0,-7.13,269100.0
