Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,1490.0,1500.0,1485.0,1488.0,1073.21,339000
2000-01-05,1485.0,1499.0,1462.0,1498.0,1080.43,391000
2000-01-06,1478.0,1519.0,1465.0,1519.0,1095.57,525000
2000-01-07,1549.0,1619.0,1535.0,1616.0,1165.53,1258000
2000-01-10,1616.0,1616.0,1616.0,1616.0,1165.53,0
2000-01-11,1620.0,1648.0,1620.0,1630.0,1175.63,1433000
2000-01-12,1570.0,1597.0,1560.0,1580.0,1139.57,676000
2000-01-13,1590.0,1620.0,1580.0,1608.0,1159.76,530000
2000-01-14,1608.0,1615.0,1595.0,1608.0,1159.76,702000
2000-01-17,1608.0,1660.0,1600.0,1644.0,1185.73,658000
2000-01-18,1655.0,1674.0,1644.0,1650.0,1190.06,1163000
2000-01-19,1620.0,1621.0,1594.0,1617.0,1166.25,501000
2000-01-20,1646.0,1646.0,1624.0,1645.0,1186.45,368000
2000-01-21,1645.0,1646.0,1620.0,1626.0,1172.75,404000
2000-01-24,1592.0,1630.0,1587.0,1626.0,1172.75,769000
2000-01-25,1575.0,1598.0,1560.0,1565.0,1128.75,764000
2000-01-26,1554.0,1565.0,1510.0,1535.0,1107.11,790000
2000-01-27,1505.0,1540.0,1500.0,1518.0,1094.85,731000
2000-01-28,1488.0,1500.0,1470.0,1470.0,1060.23,1117000
2000-01-31,1475.0,1509.0,1475.0,1480.0,1067.44,687000
2000-02-01,1480.0,1488.0,1453.0,1458.0,1051.58,1206000
2000-02-02,1455.0,1468.0,1436.0,1450.0,1045.81,1206000
2000-02-03,1430.0,1440.0,1401.0,1409.0,1016.24,1259000
2000-02-04,1420.0,1444.0,1411.0,1411.0,1017.68,716000
2000-02-07,1411.0,1438.0,1402.0,1405.0,1013.35,654000
2000-02-08,1401.0,1405.0,1366.0,1390.0,1002.53,1372000
2000-02-09,1385.0,1399.0,1381.0,1398.0,1008.3,718000
2000-02-10,1386.0,1392.0,1365.0,1380.0,995.32,919000
2000-02-11,1380.0,1380.0,1380.0,1380.0,995.32,0
2000-02-14,1405.0,1405.0,1370.0,1371.0,988.83,954000
2000-02-15,1351.0,1361.0,1321.0,1336.0,963.58,1129000
2000-02-16,1325.0,1329.0,1274.0,1300.0,937.62,1191000
2000-02-17,1320.0,1374.0,1313.0,1374.0,990.99,1626000
2000-02-18,1334.0,1334.0,1290.0,1311.0,945.55,967000
2000-02-21,1311.0,1315.0,1275.0,1280.0,923.19,1154000
2000-02-22,1262.0,1270.0,1250.0,1265.0,912.38,1147000
2000-02-23,1260.0,1260.0,1240.0,1250.0,901.56,1195000
2000-02-24,1254.0,1273.0,1246.0,1262.0,910.21,927000
2000-02-25,1260.0,1270.0,1240.0,1270.0,915.98,1686000
2000-02-28,1276.0,1300.0,1270.0,1289.0,929.69,537000
2000-02-29,1309.0,1334.0,1301.0,1322.0,953.49,957000
2000-03-01,1323.0,1330.0,1266.0,1281.0,923.92,678000
2000-03-02,1280.0,1316.0,1272.0,1295.0,934.01,495000
2000-03-03,1324.0,1351.0,1312.0,1312.0,946.28,935000
2000-03-06,1352.0,1369.0,1345.0,1345.0,970.08,959000
2000-03-07,1350.0,1410.0,1348.0,1410.0,1016.96,1343000
2000-03-08,1388.0,1400.0,1363.0,1395.0,1006.14,429000
2000-03-09,1360.0,1375.0,1325.0,1359.0,980.17,557000
2000-03-10,1338.0,1356.0,1323.0,1325.0,955.65,1002000
2000-03-13,1349.0,1372.0,1328.0,1330.0,959.26,552000
2000-03-14,1333.0,1347.0,1321.0,1347.0,971.52,393000
2000-03-15,1327.0,1345.0,1310.0,1345.0,970.08,420000
2000-03-16,1345.0,1371.0,1330.0,1357.0,978.73,570000
2000-03-17,1374.0,1374.0,1336.0,1345.0,970.08,416000
2000-03-20,1345.0,1345.0,1345.0,1345.0,970.08,0
2000-03-21,1345.0,1358.0,1335.0,1357.0,978.73,457000
2000-03-22,1369.0,1370.0,1356.0,1362.0,982.34,373000
2000-03-23,1360.0,1360.0,1340.0,1359.0,980.17,499000
2000-03-24,1355.0,1356.0,1330.0,1345.0,970.08,566000
2000-03-27,1350.0,1350.0,1336.0,1348.0,972.24,461000
2000-03-28,1348.0,1352.0,1338.0,1338.0,970.06,481000
2000-03-29,1339.0,1375.0,1339.0,1375.0,996.89,513000
2000-03-30,1395.0,1415.0,1380.0,1385.0,1004.14,1175000
2000-03-31,1380.0,1415.0,1371.0,1395.0,1011.39,773000
2000-04-03,1415.0,1415.0,1393.0,1393.0,1009.94,678000
