Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,5540.0,5700.0,5440.0,5700.0,0.04,33500.0
2000-01-05,5600.0,5700.0,5480.0,5480.0,0.04,92500.0
2000-01-06,5520.0,5680.0,5520.0,5540.0,0.04,41500.0
2000-01-07,5540.0,5560.0,5460.0,5500.0,0.04,54500.0
2000-01-11,5500.0,5680.0,5500.0,5600.0,0.04,33500.0
2000-01-12,5560.0,5600.0,5100.0,5340.0,0.04,31000.0
2000-01-13,5340.0,5360.0,5300.0,5320.0,0.04,29000.0
2000-01-14,5300.0,5600.0,5300.0,5600.0,0.04,36000.0
2000-01-17,5800.0,5960.0,5760.0,5920.0,0.05,163500.0
2000-01-18,6000.0,6000.0,5800.0,5800.0,0.05,148000.0
2000-01-19,5980.0,6000.0,5800.0,5880.0,0.05,60500.0
2000-01-20,5900.0,5960.0,5800.0,5920.0,0.05,54000.0
2000-01-21,5820.0,5920.0,5700.0,5780.0,0.05,65000.0
2000-01-24,5820.0,5820.0,5620.0,5700.0,0.04,26000.0
2000-01-25,5700.0,5800.0,5400.0,5520.0,0.04,24500.0
2000-01-26,5620.0,5700.0,5500.0,5540.0,0.04,24000.0
2000-01-27,5660.0,5720.0,5520.0,5520.0,0.04,40500.0
2000-01-28,5600.0,5620.0,5560.0,5560.0,0.04,25500.0
2000-01-31,5600.0,5700.0,5600.0,5600.0,0.04,64500.0
2000-02-01,5720.0,5800.0,5660.0,5780.0,0.05,67000.0
2000-02-02,5800.0,5900.0,5760.0,5900.0,0.05,117000.0
2000-02-03,5980.0,6000.0,5900.0,6000.0,0.05,155500.0
2000-02-04,6000.0,6200.0,6000.0,6060.0,0.05,138000.0
2000-02-07,6180.0,6200.0,6000.0,6180.0,0.05,139000.0
2000-02-08,6280.0,6300.0,6200.0,6220.0,0.05,125000.0
2000-02-09,6260.0,6660.0,6260.0,6500.0,0.05,218000.0
2000-02-10,6700.0,7160.0,6600.0,7100.0,0.06,357000.0
2000-02-14,7000.0,7760.0,6980.0,7500.0,0.06,714500.0
2000-02-15,7700.0,7700.0,6800.0,6800.0,0.05,304500.0
2000-02-16,6700.0,6800.0,6400.0,6800.0,0.05,118000.0
2000-02-17,6620.0,7200.0,6620.0,6900.0,0.05,73000.0
2000-02-18,7020.0,7160.0,6800.0,6900.0,0.05,62000.0
2000-02-21,6700.0,6800.0,6480.0,6520.0,0.05,68000.0
2000-02-22,6480.0,6520.0,6400.0,6480.0,0.05,68500.0
2000-02-23,6400.0,6600.0,6220.0,6600.0,0.05,31500.0
2000-02-24,6620.0,6800.0,6580.0,6600.0,0.05,26000.0
2000-02-25,6700.0,6700.0,6600.0,6640.0,0.05,27500.0
2000-02-28,6600.0,6700.0,6400.0,6420.0,0.05,51500.0
2000-02-29,6760.0,6760.0,6620.0,6660.0,0.05,32000.0
2000-03-01,6800.0,7200.0,6720.0,7020.0,0.06,83000.0
2000-03-02,7420.0,7700.0,7200.0,7700.0,0.06,354500.0
2000-03-03,7900.0,7900.0,7340.0,7560.0,0.06,317000.0
2000-03-06,7980.0,8000.0,7700.0,7740.0,0.06,260500.0
2000-03-07,7700.0,7700.0,7420.0,7440.0,0.06,125500.0
2000-03-08,7440.0,7800.0,7400.0,7800.0,0.06,104000.0
2000-03-09,7980.0,8000.0,7800.0,7980.0,0.06,254500.0
2000-03-10,8000.0,8000.0,7800.0,7800.0,0.06,123000.0
2000-03-13,7800.0,7900.0,6800.0,7100.0,0.06,119500.0
2000-03-14,7000.0,7600.0,7000.0,7300.0,0.06,70000.0
2000-03-15,7400.0,7560.0,7200.0,7400.0,0.06,64500.0
2000-03-16,7500.0,8000.0,7500.0,7920.0,0.06,138000.0
2000-03-17,8600.0,8600.0,8340.0,8400.0,0.07,426000.0
2000-03-21,8960.0,9680.0,8900.0,9400.0,0.07,490000.0
2000-03-22,9800.0,10180.0,9700.0,9840.0,0.08,643000.0
2000-03-23,9840.0,10000.0,9300.0,9500.0,0.07,208000.0
2000-03-24,9620.0,9800.0,9460.0,9500.0,0.07,163500.0
2000-03-27,9700.0,9920.0,9700.0,9800.0,0.08,248500.0
2000-03-28,9900.0,9900.0,9720.0,9800.0,0.08,136500.0
2000-03-29,9720.0,9900.0,9600.0,9800.0,0.08,114000.0
2000-03-30,9900.0,9900.0,9780.0,9800.0,0.08,171500.0
2000-03-31,9900.0,10000.0,9800.0,10000.0,0.08,121500.0
2000-04-03,10000.0,10000.0,9540.0,9620.0,0.08,167000.0
2000-04-04,9220.0,9500.0,9200.0,9340.0,0.07,105500.0
2000-04-05,9040.0,9140.0,8960.0,9000.0,0.07,104500.0
