Date,Open,High,Low,Close,Adj Close,Volume
2013-07-03,3120.0,3195.0,3110.0,3145.0,2852.678711,30955900
2013-07-04,3185.0,3225.0,3170.0,3200.0,2902.566406,10257500
2013-07-05,3240.0,3255.0,3230.0,3255.0,2952.454102,5027900
2013-07-08,3260.0,3290.0,3260.0,3275.0,2970.595459,4042600
2013-07-09,3315.0,3380.0,3285.0,3375.0,3061.300537,6918900
2013-07-10,3390.0,3495.0,3385.0,3470.0,3147.470459,10608300
2013-07-11,3495.0,3690.0,3470.0,3690.0,3347.021729,13462700
2013-07-12,3750.0,3785.0,3505.0,3570.0,3238.175293,12562400
2013-07-16,3650.0,3650.0,3570.0,3635.0,3297.134033,6438200
2013-07-17,3615.0,3720.0,3580.0,3720.0,3374.233398,17465800
2013-07-18,3670.0,3720.0,3670.0,3695.0,3351.556885,17680700
2013-07-19,3700.0,3700.0,3565.0,3640.0,3301.668945,3459300
2013-07-22,3680.0,3680.0,3540.0,3565.0,3233.6403809999997,1935300
2013-07-23,3510.0,3530.0,3480.0,3505.0,3179.217041,2285000
2013-07-24,3455.0,3460.0,3400.0,3450.0,3129.329102,2960500
2013-07-25,3415.0,3530.0,3395.0,3525.0,3197.358154,2751500
2013-07-26,3495.0,3515.0,3440.0,3450.0,3129.329102,1081900
2013-07-29,3400.0,3430.0,3340.0,3360.0,3047.69458,1174800
2013-07-30,3390.0,3465.0,3380.0,3405.0,3088.511963,1301500
2013-07-31,3435.0,3485.0,3395.0,3450.0,3129.329102,1174100
2013-08-01,3480.0,3550.0,3465.0,3550.0,3220.034424,1758400
2013-08-02,3590.0,3600.0,3515.0,3550.0,3220.034424,1304000
2013-08-05,3585.0,3590.0,3545.0,3575.0,3242.710693,989500
2013-08-06,3590.0,3645.0,3585.0,3640.0,3301.668945,3091400
2013-08-07,3580.0,3595.0,3485.0,3535.0,3206.428711,2449100
2013-08-08,3520.0,3585.0,3520.0,3570.0,3238.175293,1151500
2013-08-09,3580.0,3590.0,3555.0,3565.0,3233.6403809999997,717000
2013-08-12,3560.0,3580.0,3535.0,3555.0,3224.5698239999997,686000
2013-08-13,3560.0,3585.0,3545.0,3585.0,3251.78125,626700
2013-08-14,3590.0,3600.0,3580.0,3585.0,3251.78125,707300
2013-08-15,3580.0,3580.0,3540.0,3550.0,3220.034424,492700
2013-08-16,3540.0,3550.0,3500.0,3520.0,3192.823486,889100
2013-08-19,3510.0,3585.0,3500.0,3575.0,3242.710693,648600
2013-08-20,3535.0,3565.0,3535.0,3560.0,3229.105225,621900
2013-08-21,3560.0,3565.0,3530.0,3560.0,3229.105225,879200
2013-08-22,3540.0,3595.0,3535.0,3590.0,3256.316406,1603600
2013-08-23,3595.0,3615.0,3590.0,3605.0,3269.922607,2013900
2013-08-26,3615.0,3620.0,3600.0,3605.0,3269.922607,1723200
2013-08-27,3590.0,3600.0,3570.0,3600.0,3265.386963,1071900
2013-08-28,3550.0,3585.0,3530.0,3575.0,3242.710693,1732200
2013-08-29,3600.0,3620.0,3510.0,3560.0,3229.105225,7829800
2013-08-30,3550.0,3560.0,3445.0,3515.0,3188.287598,5205200
2013-09-02,3480.0,3515.0,3475.0,3480.0,3156.540771,924300
2013-09-03,3490.0,3500.0,3450.0,3460.0,3138.400146,1055100
2013-09-04,3425.0,3430.0,3370.0,3395.0,3079.441406,1652700
2013-09-05,3410.0,3465.0,3400.0,3455.0,3133.864746,1234700
2013-09-06,3480.0,3515.0,3470.0,3500.0,3174.681885,1498700
2013-09-09,3540.0,3545.0,3505.0,3515.0,3188.287598,854000
2013-09-10,3545.0,3550.0,3530.0,3535.0,3206.428711,968400
2013-09-11,3530.0,3530.0,3490.0,3495.0,3170.146729,836700
2013-09-12,3480.0,3500.0,3445.0,3490.0,3165.611572,1045600
2013-09-13,3505.0,3505.0,3460.0,3480.0,3156.540771,675500
2013-09-17,3460.0,3485.0,3435.0,3450.0,3129.329102,636500
2013-09-18,3480.0,3480.0,3420.0,3435.0,3115.723389,633300
2013-09-19,3440.0,3440.0,3400.0,3405.0,3088.511963,1345300
2013-09-20,3400.0,3410.0,3365.0,3370.0,3056.7651370000003,1526400
2013-09-24,3365.0,3405.0,3350.0,3400.0,3083.976807,837900
2013-09-25,3380.0,3410.0,3370.0,3390.0,3074.90625,551500
2013-09-26,3380.0,3385.0,3355.0,3380.0,3065.835693,664400
2013-09-27,3360.0,3375.0,3350.0,3370.0,3056.7651370000003,886300
2013-09-30,3340.0,3345.0,3310.0,3315.0,3006.877441,976800
2013-10-01,3300.0,3310.0,3300.0,3310.0,3002.341797,1276500
2013-10-02,3300.0,3310.0,3230.0,3245.0,2943.383545,1325500
2013-10-03,3245.0,3285.0,3200.0,3250.0,2947.918945,1076900
2013-10-04,3210.0,3220.0,3185.0,3190.0,2893.496094,1314500
2013-10-07,3195.0,3225.0,3190.0,3215.0,2916.1716309999997,778600
2013-10-08,3200.0,3215.0,3165.0,3170.0,2875.35498,844600
2013-10-09,3160.0,3190.0,3090.0,3190.0,2893.496094,1346000
2013-10-10,3225.0,3300.0,3225.0,3290.0,2984.200928,970000
2013-10-11,3320.0,3320.0,3285.0,3315.0,3006.877441,717200
2013-10-15,3315.0,3315.0,3290.0,3310.0,3002.341797,587600
2013-10-16,3280.0,3300.0,3255.0,3260.0,2956.989014,396400
2013-10-17,3270.0,3290.0,3260.0,3290.0,2984.200928,574700
2013-10-18,3295.0,3310.0,3285.0,3310.0,3002.341797,621900
2013-10-21,3315.0,3365.0,3315.0,3365.0,3052.230225,714800
2013-10-22,3370.0,3380.0,3340.0,3370.0,3056.7651370000003,696600
2013-10-23,3375.0,3390.0,3360.0,3375.0,3061.300537,534800
2013-10-24,3360.0,3360.0,3305.0,3330.0,3020.482666,519300
2013-10-25,3335.0,3340.0,3275.0,3280.0,2975.130371,417900
2013-10-28,3310.0,3330.0,3285.0,3325.0,3015.94751,374000
2013-10-29,3325.0,3325.0,3260.0,3270.0,2966.060059,573300
2013-10-30,3295.0,3300.0,3250.0,3255.0,2952.454102,569200
2013-10-31,3260.0,3275.0,3230.0,3230.0,2929.778076,644600
2013-11-01,3225.0,3230.0,3180.0,3200.0,2902.566406,634100
2013-11-05,3210.0,3265.0,3195.0,3255.0,2952.454102,713800
2013-11-06,3255.0,3270.0,3240.0,3260.0,2956.989014,410900
2013-11-07,3170.0,3290.0,3160.0,3245.0,2943.383545,2049900
2013-11-08,3240.0,3275.0,3225.0,3250.0,2947.918945,713000
2013-11-11,3265.0,3280.0,3220.0,3225.0,2925.242432,606700
2013-11-12,3225.0,3225.0,3185.0,3200.0,2902.566406,1086500
2013-11-13,3210.0,3265.0,3210.0,3225.0,2925.242432,837000
2013-11-14,3255.0,3255.0,3220.0,3235.0,2934.313477,821100
2013-11-15,3245.0,3260.0,3230.0,3250.0,2947.918945,776000
2013-11-18,3250.0,3260.0,3225.0,3230.0,2929.778076,810100
2013-11-19,3235.0,3245.0,3220.0,3225.0,2925.242432,578400
2013-11-20,3225.0,3245.0,3220.0,3225.0,2925.242432,465900
2013-11-21,3240.0,3240.0,3220.0,3225.0,2925.242432,564400
2013-11-22,3230.0,3245.0,3225.0,3240.0,2938.848389,848500
2013-11-25,3250.0,3250.0,3235.0,3245.0,2943.383545,478700
2013-11-26,3235.0,3240.0,3220.0,3220.0,2920.707275,589700
2013-11-27,3225.0,3240.0,3220.0,3235.0,2934.313477,761600
