Date,Open,High,Low,Close,Adj Close,Volume
2004-04-05,6.84,6.84,6.64,6.68,19642.839844,991000000
2004-04-06,6.72,6.72,6.52,6.6,19407.595703,1027250000
2004-04-07,6.6,6.64,6.48,6.48,19054.736328,1138750000
2004-04-08,6.48,6.56,6.4,6.52,19172.351563,1202750000
2004-04-09,6.48,6.52,6.44,6.44,18937.107422,693500000
2004-04-12,6.44,6.6,6.36,6.56,19289.976563,883000000
2004-04-13,6.56,6.64,6.48,6.6,19407.595703,1032000000
2004-04-14,6.56,6.6,6.48,6.56,19289.976563,580250000
2004-04-15,6.6,6.6,6.2,6.32,18584.244141,1421500000
2004-04-16,6.32,6.36,6.12,6.2,18231.380859,1162250000
2004-04-19,6.2,6.2,6.0,6.08,17878.519531,787500000
2004-04-20,6.16,6.44,6.16,6.36,18701.865234,1167250000
2004-04-21,6.44,6.44,6.28,6.32,18584.244141,848000000
2004-04-22,6.44,6.48,6.32,6.44,18937.107422,905750000
2004-04-23,6.44,6.44,6.24,6.36,18701.865234,847750000
2004-04-26,6.4,6.4,6.16,6.2,18231.380859,1207750000
2004-04-27,6.12,6.24,6.04,6.24,18348.998047,1168750000
2004-04-28,6.32,6.56,6.28,6.48,19054.736328,1876250000
2004-04-29,6.48,6.48,6.48,6.48,19054.736328,0
2004-04-30,6.4,6.4,6.08,6.28,18466.623047,2055000000
2004-05-03,6.28,6.28,6.28,6.28,18466.623047,0
2004-05-04,6.28,6.28,6.28,6.28,18466.623047,0
2004-05-05,6.28,6.28,6.28,6.28,18466.623047,0
2004-05-06,6.32,6.36,6.2,6.2,18231.380859,982750000
2004-05-07,6.28,6.4,6.16,6.2,18231.380859,1220000000
2004-05-10,6.08,6.12,5.52,5.56,16349.433594,-1956967296
2004-05-11,5.6,5.8,5.56,5.72,16819.919922,1169750000
2004-05-12,5.92,5.96,5.8,5.88,17290.404297,1580500000
2004-05-13,5.92,6.04,5.76,5.84,17172.78125,1296750000
2004-05-14,5.76,5.88,5.56,5.64,16584.669922,1919250000
2004-05-17,5.52,5.52,5.12,5.16,15173.212891,2038000000
2004-05-18,5.24,5.4,5.2,5.32,15643.696288999998,1919500000
2004-05-19,5.4,5.64,5.4,5.64,16584.669922,1737000000
2004-05-20,5.68,5.88,5.64,5.76,16937.542969,1448750000
2004-05-21,5.84,6.0,5.84,6.0,17643.271484,1164750000
2004-05-24,6.04,6.2,5.96,6.08,17878.519531,1104000000
2004-05-25,5.96,6.0,5.8,5.8,17055.162109,703250000
2004-05-26,5.88,5.96,5.84,5.84,17172.78125,667250000
2004-05-27,5.8,5.84,5.68,5.76,16937.542969,559750000
2004-05-28,5.76,5.88,5.68,5.72,16819.919922,1326250000
2004-05-31,5.76,5.88,5.76,5.88,17290.404297,567750000
2004-06-01,5.88,5.96,5.8,5.96,17525.650391,391750000
2004-06-02,6.0,6.08,5.96,6.04,17760.892578,1141250000
2004-06-03,6.0,6.0,5.84,5.84,17172.78125,578500000
2004-06-04,5.84,5.88,5.8,5.84,17172.78125,425000000
2004-06-07,5.88,6.12,5.88,6.08,17878.519531,937500000
2004-06-08,6.24,6.36,6.2,6.24,18348.998047,1133000000
2004-06-09,6.12,6.16,6.04,6.12,17996.134766,1759500000
2004-06-10,6.28,6.52,6.28,6.48,19054.736328,-1097467296
2004-06-11,6.56,6.56,6.28,6.36,18701.865234,-2018217296
2004-06-14,6.4,6.56,6.36,6.56,19289.976563,1012000000
2004-06-15,6.44,6.48,6.32,6.36,18701.865234,773500000
2004-06-16,6.48,6.52,6.44,6.52,19172.351563,608500000
2004-06-17,6.48,6.52,6.4,6.44,18937.107422,504000000
2004-06-18,6.4,6.44,6.24,6.24,18348.998047,600250000
2004-06-21,6.36,6.44,6.24,6.32,18584.244141,1335250000
2004-06-22,6.36,6.36,6.2,6.36,18701.865234,679250000
2004-06-23,6.28,6.32,6.08,6.16,18113.757813,1025000000
2004-06-24,6.2,6.32,6.16,6.28,18466.623047,744500000
2004-06-25,6.24,6.32,6.12,6.32,18584.244141,783500000
2004-06-28,6.32,6.36,6.28,6.36,18701.865234,443000000
2004-06-29,6.4,6.44,6.32,6.4,18819.486328,660000000
2004-06-30,6.36,6.48,6.36,6.48,19054.736328,597500000
