Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,400.0,403.0,396.0,396.0,298.13,511000
2000-01-05,403.0,410.0,398.0,405.0,304.91,2098000
2000-01-06,410.0,412.0,397.0,397.0,298.89,3030000
2000-01-07,402.0,418.0,402.0,414.0,311.69,1503000
2000-01-10,414.0,414.0,414.0,414.0,311.69,0
2000-01-11,422.0,423.0,415.0,419.0,315.45,1727000
2000-01-12,421.0,429.0,420.0,420.0,316.2,2852000
2000-01-13,430.0,460.0,430.0,453.0,341.05,3981000
2000-01-14,461.0,480.0,458.0,479.0,360.62,6416000
2000-01-17,482.0,484.0,469.0,471.0,354.6,3270000
2000-01-18,473.0,474.0,463.0,474.0,356.86,3680000
2000-01-19,470.0,470.0,458.0,459.0,345.57,2876000
2000-01-20,456.0,459.0,447.0,450.0,338.79,2377000
2000-01-21,445.0,460.0,444.0,450.0,338.79,2304000
2000-01-24,464.0,480.0,455.0,474.0,356.86,2876000
2000-01-25,469.0,476.0,464.0,465.0,350.08,2498000
2000-01-26,460.0,470.0,454.0,460.0,346.32,2429000
2000-01-27,451.0,461.0,448.0,461.0,347.07,2742000
2000-01-28,450.0,456.0,440.0,441.0,332.01,2989000
2000-01-31,446.0,465.0,446.0,456.0,343.31,2650000
2000-02-01,452.0,454.0,437.0,441.0,332.01,2933000
2000-02-02,450.0,453.0,447.0,449.0,338.04,1829000
2000-02-03,440.0,445.0,434.0,439.0,330.51,2915000
2000-02-04,444.0,447.0,435.0,440.0,331.26,1786000
2000-02-07,435.0,435.0,427.0,430.0,323.73,2683000
2000-02-08,425.0,426.0,415.0,425.0,319.97,2618000
2000-02-09,415.0,417.0,402.0,409.0,307.92,5107000
2000-02-10,404.0,407.0,397.0,399.0,300.39,6702000
2000-02-11,399.0,399.0,399.0,399.0,300.39,0
2000-02-14,396.0,398.0,374.0,379.0,285.34,6432000
2000-02-15,379.0,382.0,371.0,374.0,281.57,5554000
2000-02-16,372.0,374.0,368.0,369.0,277.81,4692000
2000-02-17,370.0,376.0,365.0,365.0,274.8,5506000
2000-02-18,365.0,372.0,360.0,363.0,273.29,5787000
2000-02-21,360.0,362.0,333.0,341.0,256.73,6998000
2000-02-22,332.0,339.0,326.0,330.0,248.45,6952000
2000-02-23,334.0,369.0,334.0,369.0,277.81,5448000
2000-02-24,355.0,370.0,350.0,350.0,263.5,4508000
2000-02-25,353.0,358.0,340.0,350.0,263.5,5735000
2000-02-28,351.0,359.0,350.0,353.0,265.76,2411000
2000-02-29,351.0,355.0,345.0,350.0,263.5,2828000
2000-03-01,350.0,353.0,335.0,336.0,252.96,4608000
2000-03-02,340.0,346.0,336.0,336.0,252.96,2640000
2000-03-03,337.0,345.0,336.0,340.0,255.97,4360000
2000-03-06,345.0,364.0,341.0,360.0,271.03,3074000
2000-03-07,365.0,377.0,362.0,370.0,278.56,4627000
2000-03-08,368.0,368.0,349.0,355.0,267.27,3795000
2000-03-09,352.0,359.0,343.0,351.0,264.26,3289000
2000-03-10,358.0,365.0,351.0,365.0,274.8,5091000
2000-03-13,375.0,385.0,368.0,379.0,285.34,4650000
2000-03-14,379.0,380.0,356.0,363.0,273.29,2415000
2000-03-15,360.0,362.0,336.0,346.0,260.49,4791000
2000-03-16,352.0,359.0,348.0,359.0,270.28,2208000
2000-03-17,365.0,365.0,352.0,360.0,271.03,1845000
2000-03-20,360.0,360.0,360.0,360.0,271.03,0
2000-03-21,364.0,364.0,356.0,363.0,273.29,2127000
2000-03-22,363.0,363.0,351.0,351.0,264.26,2933000
2000-03-23,350.0,363.0,344.0,358.0,269.53,4062000
2000-03-24,363.0,375.0,360.0,370.0,278.56,2700000
2000-03-27,385.0,390.0,379.0,390.0,293.62,3000000
2000-03-28,390.0,397.0,385.0,396.0,300.83,2808000
2000-03-29,396.0,398.0,390.0,392.0,297.8,2227000
2000-03-30,395.0,403.0,393.0,395.0,300.07,3072000
2000-03-31,397.0,400.0,396.0,396.0,300.83,1375000
2000-04-03,396.0,418.0,396.0,410.0,311.47,3357000
2000-04-04,415.0,417.0,407.0,408.0,309.95,2620000
2000-04-05,413.0,428.0,412.0,422.0,320.59,3913000
2000-04-06,418.0,424.0,408.0,412.0,312.99,2555000
2000-04-07,412.0,413.0,400.0,400.0,303.87,3103000
2000-04-10,404.0,407.0,398.0,404.0,306.91,1764000
2000-04-11,404.0,406.0,392.0,395.0,300.07,2400000
2000-04-12,399.0,404.0,390.0,398.0,302.35,2265000
2000-04-13,401.0,405.0,399.0,405.0,307.67,2059000
2000-04-14,405.0,414.0,405.0,409.0,310.71,2725000
2000-04-17,389.0,398.0,385.0,394.0,299.32,4482000
2000-04-18,389.0,408.0,389.0,408.0,309.95,3814000
2000-04-19,410.0,415.0,401.0,405.0,307.67,3086000
2000-04-20,405.0,415.0,405.0,410.0,311.47,3080000
2000-04-21,406.0,409.0,382.0,382.0,290.2,4208000
2000-04-24,390.0,405.0,385.0,396.0,300.83,2040000
2000-04-25,405.0,406.0,400.0,402.0,305.39,1461000
2000-04-26,405.0,407.0,384.0,390.0,296.28,2212000
2000-04-27,386.0,386.0,374.0,374.0,284.12,3051000
2000-04-28,388.0,399.0,385.0,392.0,297.8,1998000
2000-05-01,390.0,390.0,380.0,383.0,290.96,2188000
2000-05-02,388.0,392.0,382.0,385.0,292.48,2470000
2000-05-03,385.0,385.0,385.0,385.0,292.48,0
2000-05-04,385.0,385.0,385.0,385.0,292.48,0
2000-05-05,385.0,385.0,385.0,385.0,292.48,0
2000-05-08,400.0,410.0,400.0,407.0,309.19,3368000
2000-05-09,407.0,407.0,407.0,407.0,309.19,0
2000-05-10,405.0,407.0,397.0,402.0,305.39,2351000
2000-05-11,400.0,400.0,391.0,391.0,297.04,1655000
2000-05-12,395.0,399.0,388.0,394.0,299.32,2863000
2000-05-15,409.0,418.0,407.0,413.0,313.75,5157000
2000-05-16,417.0,428.0,415.0,425.0,322.87,4617000
2000-05-17,430.0,432.0,421.0,426.0,323.63,3528000
2000-05-18,431.0,431.0,419.0,422.0,320.59,2839000
2000-05-19,412.0,417.0,390.0,401.0,304.63,6529000
2000-05-22,400.0,417.0,400.0,412.0,312.99,3260000
2000-05-23,414.0,426.0,413.0,426.0,323.63,3658000
2000-05-24,420.0,423.0,408.0,410.0,311.47,3748000
2000-05-25,426.0,430.0,419.0,421.0,319.83,4743000
2000-05-26,428.0,430.0,420.0,425.0,322.87,3375000
2000-05-29,415.0,421.0,415.0,418.0,317.55,1154000
2000-05-30,418.0,418.0,418.0,418.0,317.55,0
2000-05-31,420.0,420.0,410.0,410.0,311.47,1301000
2000-06-01,405.0,406.0,402.0,405.0,307.67,2506000
2000-06-02,406.0,407.0,397.0,400.0,303.87,2969000
2000-06-05,401.0,405.0,401.0,403.0,306.15,2784000
2000-06-06,402.0,406.0,399.0,405.0,307.67,3193000
2000-06-07,411.0,419.0,411.0,415.0,315.27,3179000
2000-06-08,420.0,432.0,418.0,424.0,322.11,6507000
2000-06-09,421.0,436.0,421.0,436.0,331.22,5153000
2000-06-12,440.0,442.0,433.0,434.0,329.7,2348000
2000-06-13,436.0,443.0,435.0,442.0,335.78,2804000
2000-06-14,443.0,444.0,432.0,436.0,331.22,2037000
2000-06-15,427.0,427.0,420.0,420.0,319.07,2296000
2000-06-16,425.0,432.0,420.0,429.0,325.9,1503000
2000-06-19,429.0,429.0,420.0,426.0,323.63,1026000
2000-06-20,427.0,433.0,425.0,433.0,328.94,982000
2000-06-21,438.0,438.0,425.0,430.0,326.66,1332000
2000-06-22,425.0,425.0,419.0,420.0,319.07,3477000
2000-06-23,415.0,425.0,413.0,416.0,316.03,2649000
2000-06-26,420.0,420.0,411.0,420.0,319.07,1663000
2000-06-27,424.0,430.0,420.0,429.0,325.9,1627000
2000-06-28,434.0,435.0,429.0,432.0,328.18,2421000
2000-06-29,435.0,435.0,425.0,428.0,325.14,1630000
2000-06-30,428.0,436.0,425.0,430.0,326.66,1584000
2000-07-03,440.0,448.0,438.0,444.0,337.3,4115000
2000-07-04,449.0,455.0,438.0,444.0,337.3,4380000
2000-07-05,439.0,441.0,432.0,435.0,330.46,2066000
2000-07-06,430.0,434.0,423.0,426.0,323.63,3591000
2000-07-07,427.0,429.0,420.0,425.0,322.87,3242000
