Date,Open,High,Low,Close,Adj Close,Volume
2016-10-21,727.0,852.5,727.0,852.5,852.5,10256400
2016-10-24,870.0,886.25,793.75,816.25,816.25,3705200
2016-10-25,808.75,821.25,727.75,750.0,750.0,1712800
2016-10-26,772.5,790.0,739.0,775.0,775.0,1045600
2016-10-27,762.5,775.0,743.25,757.5,757.5,481200
2016-10-28,761.25,761.25,747.75,750.0,750.0,543600
2016-10-31,762.5,780.0,750.0,757.5,757.5,364000
2016-11-01,752.5,755.0,740.25,748.75,748.75,275200
2016-11-02,740.0,744.5,662.5,677.75,677.75,809600
2016-11-04,650.0,657.5,637.5,639.75,639.75,500000
2016-11-07,640.0,659.5,637.5,638.25,638.25,171600
2016-11-08,650.75,675.75,645.5,675.5,675.5,256000
2016-11-09,688.0,688.0,638.75,675.5,675.5,210000
2016-11-10,742.5,801.25,710.75,801.25,801.25,1147200
2016-11-11,787.5,835.0,751.25,822.5,822.5,1224400
2016-11-14,813.75,825.0,778.75,780.0,780.0,224400
2016-11-15,780.0,780.0,742.5,767.5,767.5,199600
2016-11-16,782.5,836.25,762.5,822.5,822.5,346000
2016-11-17,788.75,822.5,775.0,822.5,822.5,168400
2016-11-18,836.25,855.0,806.25,806.25,806.25,418800
2016-11-21,807.5,811.25,755.0,772.5,772.5,198000
2016-11-22,765.0,786.25,750.0,782.5,782.5,207200
2016-11-24,787.5,787.5,768.75,771.25,771.25,57600
2016-11-25,765.0,768.75,715.75,734.5,734.5,212800
2016-11-28,735.75,750.0,728.75,745.5,745.5,90800
2016-11-29,733.0,748.75,733.0,736.25,736.25,82800
2016-11-30,737.5,778.75,737.5,753.75,753.75,181200
2016-12-01,755.0,757.5,740.5,749.25,749.25,119200
2016-12-02,747.5,748.75,725.5,736.75,736.75,100400
2016-12-05,749.25,767.5,745.0,758.75,758.75,199600
2016-12-06,758.75,763.75,749.0,750.0,750.0,84400
2016-12-07,745.0,746.5,728.25,730.75,730.75,133600
2016-12-08,725.5,729.75,713.25,724.25,724.25,127200
2016-12-09,715.75,724.25,709.25,712.5,712.5,152800
2016-12-12,712.75,732.5,710.0,725.0,725.0,56000
2016-12-13,725.0,742.5,716.25,740.75,740.75,49600
2016-12-14,733.5,749.25,733.5,736.75,736.75,67600
